input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_mismatched,csp_domains_,final_url
alpha-explorer-api.routerprotocol.com,,200,680,alpha-explorer-api.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-07T10:35:44Z,2023-07-06T10:35:43Z,CN=alpha-explorer-api.routerprotocol.com,alpha-explorer-api.routerprotocol.com,alpha-explorer-api.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3066ad05cb9532518dbdc67331aee34a,73bccdc85be66fb627c86ec06a081c0c903bc083269ceff38c4da842f318132a,ctls,alpha-explorer-api.routerprotocol.com,443,https://alpha-explorer-api.routerprotocol.com:443,https,nginx,text/html,GET,15.206.195.67,/,1988649527,15.206.195.67,Nginx,36,False,,,,,,,
alpha-faucet-ui.routerprotocol.com,,200,4677,alpha-faucet-ui.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-10T02:36:35Z,2023-08-08T02:36:34Z,CN=alpha-faucet-ui.routerprotocol.com,alpha-faucet-ui.routerprotocol.com,alpha-faucet-ui.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6653d2862af112b03611fafbcbf8d0af,a704e192cae260485b6099f13df8176669c4f9c8b112ef1831656492d52b3c66,ctls,alpha-faucet-ui.routerprotocol.com,443,https://alpha-faucet-ui.routerprotocol.com:443,https,nginx,text/html,GET,3.110.19.140,/,-578308605,3.110.19.140,webpack,1,False,,,,,,,
alpha-router-station.routerprotocol.com,Router station,200,2238,alpha-router-station.routerprotocol.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-04-13T23:59:59Z,CN=*.routerprotocol.com,*.routerprotocol.com,*.routerprotocol.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,12e141dd2dcaf0e13fd1f14245fb590d,ae3a739ac6fbe9290f88dcac4c153726ed974744b2552d6198dcea7eacabb983,ctls,alpha-router-station.routerprotocol.com,443,https://alpha-router-station.routerprotocol.com:443,https,AmazonS3,text/html,GET,13.224.189.44,/,909536006,13.224.189.66,Amazon Web Services,1,False,True,cloudfront,True,,,,
api.devnet-course-student.routerprotocol.com,502 Bad Gateway,502,150,api.devnet-course-student.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T09:44:54Z,2023-05-25T09:44:53Z,CN=api.devnet-course-student.routerprotocol.com,api.devnet-course-student.routerprotocol.com,api.devnet-course-student.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1a721023c7b0490dfdde56470de4eae7,24b18b6be0bc9d7ca06892e627e6ae6a451ce1f7bbc39c04723becb836e05183,ctls,api.devnet-course-student.routerprotocol.com,443,https://api.devnet-course-student.routerprotocol.com:443,https,nginx,text/html,GET,15.206.195.67,/,-803400545,15.206.195.67,Nginx,8,False,,,,True,,,
api.liquidity-reserves.routerprotocol.com,502 Bad Gateway,502,150,api.liquidity-reserves.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-07T08:43:49Z,2023-09-05T08:43:48Z,CN=api.liquidity-reserves.routerprotocol.com,api.liquidity-reserves.routerprotocol.com,api.liquidity-reserves.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ff02e90c387f9cabd0e83754c3677afd,a5a7293ef68fe63d03f905f8393e2ba05aa98d40f84ebe08de088bc8757bfa1f,ctls,api.liquidity-reserves.routerprotocol.com,443,https://api.liquidity-reserves.routerprotocol.com:443,https,nginx,text/html,GET,54.254.57.121,/,-803400545,54.254.57.121,Nginx,8,False,,,,,,,
api.pathfinder.routerprotocol.com,,200,2,api.pathfinder.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-25T23:59:59Z,CN=api.pathfinder.routerprotocol.com,api.pathfinder.routerprotocol.com,api.pathfinder.routerprotocol.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4a68fd7935ad69dec024d94ea8d5f5dc,ac352e935091ef7c2eb955cf026daa494eb6fa77a468c037237d00dcee97f97f,ctls,api.pathfinder.routerprotocol.com,443,https://api.pathfinder.routerprotocol.com:443,https,,text/plain,GET,52.76.145.228,/,-738705486,54.254.60.167,,1,False,,,,,,,
api.rebalancing.routerprotocol.com,Error,500,1333,api.rebalancing.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-07T08:44:02Z,2023-09-05T08:44:01Z,CN=api.rebalancing.routerprotocol.com,api.rebalancing.routerprotocol.com,api.rebalancing.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1cf5c118caa868c3b7ccac2cbabfda12,374493b244b60ad0b73e448b686b510b359c0cf6dda99c6071988ccc730b406b,ctls,api.rebalancing.routerprotocol.com,443,https://api.rebalancing.routerprotocol.com:443,https,nginx,text/html,GET,54.254.57.121,/,434570838,54.254.57.121,Node.js,11,False,,,,,,,
api.rfq.routerprotocol.com,502 Bad Gateway,502,150,api.rfq.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-07T08:44:17Z,2023-09-05T08:44:16Z,CN=api.rfq.routerprotocol.com,api.rfq.routerprotocol.com,api.rfq.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,be832130841c40c0054fdab8ae168c51,1b9e2ffdfea1bdac4d4a3a5a4585f5fb23a723d64c6ded7865c709a9894bdbef,ctls,api.rfq.routerprotocol.com,443,https://api.rfq.routerprotocol.com:443,https,nginx,text/html,GET,54.254.57.121,/,-803400545,54.254.57.121,Nginx,8,False,,,,,,,
api.routerprotocol.com,,200,16,api.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-10T18:39:32Z,2023-09-08T18:39:31Z,CN=api.routerprotocol.com,api.routerprotocol.com,api.routerprotocol.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3369af133300beb246f3f42ad2b088d5,4bc030a84c60aeef2768f1616c9db796b1ac056db48e98d556b2f394126efec5,ctls,api.routerprotocol.com,443,https://api.routerprotocol.com:443,https,nginx,text/html,GET,54.255.18.35,/,1593207841,54.255.18.35,Node.js,1,False,,,,,,,
api.stats.routerprotocol.com,,200,2,api.stats.routerprotocol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-25T23:59:59Z,CN=api.stats.routerprotocol.com,api.stats.routerprotocol.com,api.stats.routerprotocol.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fb18d4ebdcde8cc0a51114470bd96d78,2adcf9364be8d29c56001f9305c95dea2e26eb9984696425ece435a9650e46ac,ctls,api.stats.routerprotocol.com,443,https://api.stats.routerprotocol.com:443,https,,text/plain,GET,52.76.145.228,/,-738705486,54.254.60.167,HSTS,1,False,,,,,,https:,
