new,host,ttl,a,aaaa,soa,status_code,cname,mx,ns,txt,caa
[x],betterscience.org,3600,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:1,"{'name': 'betterscience.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,"ns2.schokokeks-dns.de, ns3.schokokeks-dns.de, ns1.schokokeks-dns.de",v=spf1 -all,"letsencrypt.org, ;"
[x],fuzzing-project.org,3600,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:104b,"{'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,"ns2.schokokeks-dns.de, ns1.schokokeks-dns.de, ns3.schokokeks-dns.de",,
[x],hboeck.de,3600,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:34,"{'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}",NOERROR,,zucker.schokokeks.org,"ns1.routing.net, ns2.routing.net, ns3.routing.net",v=spf1 a mx include:_spf.schokokeks-dns.de ~all,
,autoconfig.hboeck.de,180,178.63.68.96,,"{'name': 'schokokeks.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024092800, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'schokokeks.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024092800, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'schokokeks.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024092800, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'schokokeks.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024092800, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'schokokeks.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024092800, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}",NOERROR,autoconfig.schokokeks.org,,,,
,bilder.hboeck.de,2512,178.63.68.96,,"{'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}",NOERROR,,,,,
,blog.fuzzing-project.org,3600,178.63.68.96,,"{'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,
,blog.hboeck.de,3600,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:d7c,"{'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}",NOERROR,,,,,
,config.hboeck.de,2700,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:1402,"{'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}",NOERROR,,,,,
,crashes.fuzzing-project.org,2518,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:104d,"{'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}, {'name': 'fuzzing-project.org', 'ns': 'ns1.schokokeks-dns.de', 'mailbox': 'hostmaster.schokokeks.org', 'serial': 2024091400, 'refresh': 36000, 'retry': 3600, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,
,fancynossl.hboeck.de,3600,178.63.68.96,2a01:4f8:121:1ffe:1:1008:0:c1b,"{'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}, {'name': 'hboeck.de', 'ns': 'ns1.routing.net', 'mailbox': 'hostmaster.hboeck.de', 'serial': 2024082600, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 900}",NOERROR,,,,,
