input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched
academy.binary.com,Home - Blog,200,120379,blog.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T01:27:45Z,2023-08-23T01:27:44Z,CN=deriv.com,deriv.com,,*.deriv.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4183ea6325e1e32f2bc56437f471edf0,ff2c5fdd2cc01f493e0c09db1d749f3f4b35d493fbbec2c7f851a80f63143297,True,ctls,blog.deriv.com,cloudflare,443,https://academy.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1357628951,2606:4700:10::6814:1732,WordPress.com,1366,False,True,https://blog.deriv.com/,
admin.binary.com,MyAffiliates - Administration,200,5108,admin.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T00:00:00Z,2024-06-10T23:59:59Z,"CN=admin.binary.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",admin.binary.com,"Cloudflare, Inc.",admin.binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d345f7a53ca684bed7b0f5edf97c7863,b5e18f06c493fee1c493ab6b608c0f882ddb5364e5eaec30b2b0ddce6f36ea16,,ctls,admin.binary.com,cloudflare,443,https://admin.binary.com:443,https,cloudflare,text/html,GET,104.20.23.50,/,2111529398,2606:4700:10::6814:1732,HTTP/3,135,False,True,https://admin.binary.com/login.php,
affiliates.binary.com,Affiliate and IB Programmes | Binary.com,200,58583,www.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T09:27:16Z,2023-09-02T09:27:15Z,CN=www.binary.com,www.binary.com,,www.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a64d806447134f342b457b9cc4ea66f4,b032a813bcfefd4f9650d62559c7821239335a7eb47b218b5c003e46bf096589,,ctls,www.binary.com,cloudflare,443,https://affiliates.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,1901837751,2606:4700:10::6814:1632,HTTP/3,13,False,True,https://www.binary.com/en/affiliate-ib,
api.binary.com,Binary.com Developers,200,4902,developers.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T06:04:38Z,2023-10-18T06:04:37Z,CN=developers.binary.com,developers.binary.com,,developers.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9280e51343c003ead5b6f0e3d9c42a8e,dd9967b93c7e617d0fba787e97d5f0c91fd4149c4c70a82636846be7ce0529cd,,ctls,developers.binary.com,cloudflare,443,https://api.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1719609912,2606:4700:10::6814:1632,HTTP/3,108,False,True,https://developers.binary.com/,
backoffice.binary.com,,403,16,backoffice.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,backoffice.binary.com,cloudflare,443,https://backoffice.binary.com:443,https,cloudflare,text/plain,GET,104.20.23.50,/,1253481126,2606:4700:10::6814:1632,HTTP/3,1,False,True,,
banners.binary.com,"Online trading platform | Forex, commodities, synthetic indices, stocks, and stock indices | Deriv",200,254112,eu.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T01:27:45Z,2023-08-23T01:27:44Z,CN=deriv.com,deriv.com,,*.deriv.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4183ea6325e1e32f2bc56437f471edf0,ff2c5fdd2cc01f493e0c09db1d749f3f4b35d493fbbec2c7f851a80f63143297,True,ctls,eu.deriv.com,cloudflare,443,https://banners.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-817258732,2606:4700:10::6814:1732,webpack,184,False,True,https://eu.deriv.com/,
binary.com,Binary.com,200,4398,www.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T09:27:16Z,2023-09-02T09:27:15Z,CN=www.binary.com,www.binary.com,,www.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a64d806447134f342b457b9cc4ea66f4,b032a813bcfefd4f9650d62559c7821239335a7eb47b218b5c003e46bf096589,,ctls,www.binary.com,cloudflare,443,https://binary.com:443,https,cloudflare,text/html,GET,104.20.23.50,/,-1719609912,2606:4700:10::6814:1732,HTTP/3,94,False,True,https://www.binary.com/,
bot.binary.com,Bot trading |  Automated trading system – Deriv,200,5826,bot.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T09:22:01Z,2023-10-04T09:22:00Z,CN=bot.deriv.com,bot.deriv.com,,bot.deriv.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4c2b7d57e53e05709c5a6008b5475dab,b541a37e3f27dcec75e5a6193d46bf688d67169f5ab9a34357a8e406e78dbc19,,ctls,bot.deriv.com,cloudflare,443,https://bot.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1711014436,2606:4700:10::6814:1732,HTTP/3,108,False,True,https://bot.deriv.com,
careers.binary.com,Deriv Careers | Join and grow with us,200,236471,eu.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T01:27:45Z,2023-08-23T01:27:44Z,CN=deriv.com,deriv.com,,*.deriv.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4183ea6325e1e32f2bc56437f471edf0,ff2c5fdd2cc01f493e0c09db1d749f3f4b35d493fbbec2c7f851a80f63143297,True,ctls,eu.deriv.com,cloudflare,443,https://careers.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1840324437,2606:4700:10::6814:1732,webpack,251,False,True,https://eu.deriv.com/careers/,
cashier-staging.binary.com,IIS 10.0 Detailed Error - 403.14 - Forbidden,403,5024,cashier-staging.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,cashier-staging.binary.com,cloudflare,443,https://cashier-staging.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-792936169,2606:4700:10::6814:1732,Microsoft ASP.NET,94,False,True,,
crypto-cashier.binary.com,Not Found,200,80,crypto-cashier.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,crypto-cashier.binary.com,cloudflare,443,https://crypto-cashier.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1456402987,2606:4700:10::6814:1632,HTTP/3,9,False,True,,
dfadmin-staging.binary.com,,403,16,dfadmin-staging.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,dfadmin-staging.binary.com,cloudflare,443,https://dfadmin-staging.binary.com:443,https,cloudflare,text/plain,GET,104.20.22.50,/,1253481126,2606:4700:10::6814:1632,HTTP/3,1,False,True,,
email.mailgun.binary.com,,404,19,email.mailgun.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,,ctls,email.mailgun.binary.com,google,443,https://email.mailgun.binary.com:443,https,,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,True,,True
js.binary.com,403 Forbidden,403,153,js.partnershipsprogram.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T00:00:00Z,2024-06-10T23:59:59Z,"CN=js.partnershipsprogram.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",js.partnershipsprogram.com,"Cloudflare, Inc.",js.partnershipsprogram.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9170bdb41b9a8b870b5a608b1c26b86d,b3001ae5c4e01faceb6ff8b2fd9a66e0cdc42aa822ac805770c9468adf7f1c3f,,ctls,js.partnershipsprogram.com,cloudflare,443,https://js.binary.com:443,https,cloudflare,text/html,GET,104.18.191.136,/,-2084782407,104.18.192.136,HTTP/3,8,False,True,https://js.partnershipsprogram.com/,
marketing.binary.com,"Online trading platform | Forex, commodities, synthetic indices, stocks, and stock indices | Deriv",200,254112,eu.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T01:27:45Z,2023-08-23T01:27:44Z,CN=deriv.com,deriv.com,,*.deriv.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4183ea6325e1e32f2bc56437f471edf0,ff2c5fdd2cc01f493e0c09db1d749f3f4b35d493fbbec2c7f851a80f63143297,True,ctls,eu.deriv.com,cloudflare,443,https://marketing.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-817258732,2606:4700:10::6814:1732,webpack,184,False,True,https://eu.deriv.com/,
me.binary.com,Binary.com,200,4398,me.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T10:45:03Z,2023-09-02T10:45:02Z,CN=me.binary.com,me.binary.com,,me.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,886947d027dbeb82bf34ebe9af6a6863,84f908a31a6a3889235f278330bcbfe3f51fa4413229a93b285e481ff5527fdc,,ctls,me.binary.com,cloudflare,443,https://me.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1719609912,2606:4700:10::6814:1732,HTTP/3,94,False,True,,
media.binary.com,404 Not Found,404,355,media.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-18T23:59:59Z,"CN=media.binary.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",media.binary.com,"Cloudflare, Inc.",media.binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c62d45da48d8209f6217e39a5016d4a8,20350e04f3798825764ddfb613e3125ae58c08157a04b8822187b93fa6ea0e09,,ctls,media.binary.com,cloudflare,443,https://media.binary.com:443,https,cloudflare,text/html,GET,104.18.189.136,/,820146135,104.18.192.136,Cloudflare,15,False,True,,
mt5-af.binary.com,Terminal: Deriv Limited,200,2987,mt5-af.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T11:57:00Z,2026-06-26T11:57:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",*.mt5.deriv.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",8389679f77ad52ee59d2ff0e01af41d9,c266bae84ad119981689186e51bb4e9f5926be28b525b53da2a572f11c884c86,True,ctls,mt5-af.binary.com,,443,https://mt5-af.binary.com:443,https,,text/html,GET,3.33.131.212,/,-933281129,15.197.155.152,HSTS,1,False,,https://mt5-af.binary.com/terminal,True
