new,host,ttl,soa,status_code,cname,aaaa,a,has_internal_ips,internal_ips,ns,txt,cdn,cdn-name,mx
[x],binary.com,300,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700:10::6814:1632, 2606:4700:10::6814:1732",,,,,,,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com"
,203-114-184-59.sta.inspire.net.binary.com,1800,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,,
,61-113-57-181.user.binary.com,1800,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,,
,academy.binary.com,300,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"104.20.23.50, 104.20.22.50",,,,,,,
,admin.binary.com,300,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700:10::6814:1632, 2606:4700:10::6814:1732","104.20.22.50, 104.20.23.50",,,,,,,
,aff.binary.com,1800,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,,
,affiliate.binary.com,1800,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,,
,affiliates.binary.com,300,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700:10::6814:1632, 2606:4700:10::6814:1732","104.20.22.50, 104.20.23.50",,,,,,,
,affiliatetes.binary.com,1800,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,,
,affiliattes.binary.com,1800,"{'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'binary.com', 'ns': 'lola.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349016915, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,,
