new,host,ttl,a,aaaa,soa,txt,status_code,cname,caa,ns,cdn,cdn-name,mx
[x],login.moneybird.com,60,,,"{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",,NOERROR,,,,,,
[x],mail-182-171.moneybird.com,60,,,"{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",,NOERROR,,,,,,
[x],moneybird.com,60,"18.193.161.212, 52.28.159.39, 35.156.210.43","2a05:d014:779:4b01:f68b:ec0d:5fe6:d6bd, 2a05:d014:779:4b02:9a40:cb0e:9b14:b45c, 2a05:d014:779:4b00:9a2c:2953:4e78:a0ca","{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}","MS=ms75515495, QuoVadis=2a249d25-1e7e-4ee8-a640-f11b28740489, google-site-verification=xwEcsK0rqvowgKC0W9eCr9Gx40jnkisSkqKIop9SPNs, v=spf1 ip4:141.193.32.144 ip4:69.169.228.128/30 include:_spf.google.com include:spf.post.atech.io -all, Digicert=p19smpgtz9wfmvt24kg697pr50p5zr1n",NOERROR,,,,,,"alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com"
[x],moneybirdstorage.com,60,"18.193.161.212, 52.28.159.39, 35.156.210.43","2a05:d014:779:4b01:f68b:ec0d:5fe6:d6bd, 2a05:d014:779:4b00:9a2c:2953:4e78:a0ca, 2a05:d014:779:4b02:9a40:cb0e:9b14:b45c","{'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 -all,NOERROR,,,"ns-1895.awsdns-44.co.uk, ns-451.awsdns-56.com, ns-818.awsdns-38.net, ns-1211.awsdns-23.org",,,
[x],qlever.moneybird.com,60,,,"{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",,NOERROR,,,,,,
[x],signup.moneybird.com,60,,,"{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",,NOERROR,,,,,,
[x],status.moneybird.com,60,"151.101.1.91, 151.101.65.91, 151.101.129.91, 151.101.193.91",,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,NOERROR,"520b1fb7.sorryapp.com, dualstack.n.sni.global.fastly.net",,,True,fastly,
[x],support.moneybird.com,60,,"2606:50c0:8001::153, 2606:50c0:8003::153, 2606:50c0:8002::153, 2606:50c0:8000::153","{'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",,NOERROR,moneybird.github.io,"sectigo.com, letsencrypt.org, digicert.com",,,,
[x],www.moneybird.com,60,"35.156.210.43, 52.28.159.39, 18.193.161.212","2a05:d014:779:4b00:9a2c:2953:4e78:a0ca, 2a05:d014:779:4b02:9a40:cb0e:9b14:b45c, 2a05:d014:779:4b01:f68b:ec0d:5fe6:d6bd","{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",v=spf1 -all,NOERROR,,,,,,
[x],www.moneybirdstorage.com,900,,,"{'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'moneybirdstorage.com', 'ns': 'ns-451.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,NOERROR,,,,,,
[x],www.somention.moneybird.com,60,,,"{'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'moneybird.com', 'ns': 'ns-80.awsdns-10.com', 'mailbox': 'dns.moneybird.com', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",,NOERROR,,,,,,
