input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,cdn,csp_domains_,final_url,tls_mismatched,tls_subject_org_
academy.lemlist.com,CNAME Cross-User Banned | Cloudflare,403,6281,academy.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,academy.lemlist.com,443,https://academy.lemlist.com:443,https,text/html,GET,188.114.96.3,/,-622276451,2a06:98c1:3120::3,HTTP/3,92,False,True,cloudflare,cloudflare,True,,,,
api.lemlist.com,lemlist,200,5307,api.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,api.lemlist.com,443,https://api.lemlist.com:443,https,text/html,GET,172.67.184.223,/,-1840324437,2606:4700:3036::ac43:b8df,Node.js,57,False,True,cloudflare,cloudflare,True,https://*.hsappstatic.net,,,
app.lemlist.com,lemlist,200,5309,app.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,app.lemlist.com,443,https://app.lemlist.com:443,https,text/html,GET,172.67.184.223,/,-1840324437,2606:4700:3036::6815:3871,Node.js,57,False,True,cloudflare,cloudflare,True,https://*.lemlist.com,,,
blog.lemlist.com,lemlist Blog,200,83921,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-13T06:11:39Z,2023-08-11T06:11:38Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8cc64186a5b72318616976b15f7bab9d,379540edcb814e18237a0cf226f19c8ab5f15967e9f6f1af61cbbfe500177621,ctls,www.lemlist.com,443,https://blog.lemlist.com:443,https,text/html,GET,149.202.81.155,/,-2121649096,149.202.81.155,Webflow,207,False,,,,,,https://www.lemlist.com/blog,,
cust2.lemlist.com,Custom domain check,200,390,cust2.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:27:10Z,2023-09-17T15:27:09Z,CN=cust2.lemlist.com,cust2.lemlist.com,cust2.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,88d99d5e9db789752ebce3578b903cba,2a03352662b4384913a374d569d5193735b741dcaa6ef647f715531e2c373734,ctls,cust2.lemlist.com,443,https://cust2.lemlist.com:443,https,text/html,GET,46.105.54.36,/,-1840324437,46.105.54.36,HTTP/3,21,False,,,,,,,,
custom.lemlist.com,Custom domain check,200,390,custom.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2023-08-21T23:59:59Z,CN=custom.lemlist.com,custom.lemlist.com,custom.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,66c3959ef51ed3e21fb46658d8ea52db,bdd7e32556b3f3f5078f175fffdd3114c0e38b1cf77a884e0a568dc94b9328a4,ctls,custom.lemlist.com,443,https://custom.lemlist.com:443,https,text/html,GET,51.254.243.65,/,-1840324437,51.254.243.65,HTTP/3,21,False,,,,,,,,
custom.staging.lemlist.com,Custom domain check,200,390,custom.staging.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2023-08-21T23:59:59Z,CN=custom.staging.lemlist.com,custom.staging.lemlist.com,custom.staging.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,847b17891952cc998561f4a4fc1d4ca8,6a0c363b94da1475b5d7272c70f429a47440bb32d20da68bdcf0cf247b674c9d,ctls,custom.staging.lemlist.com,443,https://custom.staging.lemlist.com:443,https,text/html,GET,141.94.218.125,/,-1840324437,141.94.218.125,HTTP/3,21,False,,,,,,,,
custom.staging1.lemlist.com,Custom domain check,200,390,custom.staging1.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-09T00:00:00Z,2023-10-07T23:59:59Z,CN=custom.staging1.lemlist.com,custom.staging1.lemlist.com,custom.staging1.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,4fe24b83a0c3a90f23e9226d2f84a443,bdc73e756a2ce3f2c6a0e41f13887c545608b0b8d0c8b0ab308bf9813746f0aa,ctls,custom.staging1.lemlist.com,443,https://custom.staging1.lemlist.com:443,https,text/html,GET,54.36.176.86,/,-1840324437,2001:41d0:303:4656::,HTTP/3,21,False,,,,,,,,
custom2.lemlist.com,Custom domain check,200,390,custom2.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-07T00:00:00Z,2023-09-05T23:59:59Z,CN=custom2.lemlist.com,custom2.lemlist.com,custom2.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,2a19f7411dc4cc8df0a60921dc927a69,519e025e2dc05b47bf724eca6733bf81116e9448376ca28194d42ceed4af1a4c,ctls,custom2.lemlist.com,443,https://custom2.lemlist.com:443,https,text/html,GET,188.165.46.132,/,-1840324437,188.165.46.132,HTTP/3,21,False,,,,,,,,
db.lemlist.com,Custom domain check,200,390,db.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T08:30:01Z,2023-09-04T08:30:00Z,CN=db.lemlist.com,db.lemlist.com,db.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17b14210ca8c3f6ad5e86896c37bbe27,afffa02f889c0b6c59e2382eab369ad05b7c20ff6c812a2df49806c920f338c4,ctls,db.lemlist.com,443,https://db.lemlist.com:443,https,text/html,GET,51.91.17.130,/,-1840324437,51.91.17.130,HTTP/3,21,False,,,,,,,,
