input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate
api.grofers.com,,403,16,api.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,api.grofers.com,cloudflare,443,https://api.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,-1644060773,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
api2.grofers.com,,403,16,api2.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,api2.grofers.com,cloudflare,443,https://api2.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,-1644060773,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
bidashboard.grofers.com,,403,16,bidashboard.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,bidashboard.grofers.com,cloudflare,443,https://bidashboard.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,-583529601,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
brands.grofers.com,,403,16,brands.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,brands.grofers.com,cloudflare,443,https://brands.grofers.com:443,https,cloudflare,text/plain,GET,104.16.8.45,/,1440918336,104.16.9.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
cloudflare.grofers.com,,403,16,cloudflare.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,cloudflare.grofers.com,cloudflare,443,https://cloudflare.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,-1504255049,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
cms.grofers.com,,403,16,cms.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,cms.grofers.com,cloudflare,443,https://cms.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,-796531859,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
cmsapp.grofers.com,,403,16,cmsapp.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,cmsapp.grofers.com,cloudflare,443,https://cmsapp.grofers.com:443,https,cloudflare,text/plain,GET,104.16.8.45,/,-869429328,104.16.9.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
elite.grofers.com,,403,16,elite.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,elite.grofers.com,cloudflare,443,https://elite.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,461253765,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
grafana-v2.grofers.com,,403,16,grafana-v2.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,grafana-v2.grofers.com,cloudflare,443,https://grafana-v2.grofers.com:443,https,cloudflare,text/plain,GET,104.16.8.45,/,1913282958,104.16.9.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
grafana.grofers.com,,403,16,grafana.grofers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.grofers.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ef00fcc28b1e2992107612ec9f6dcb3,d698f5283d107174917df2ec06554b27f0ba871f9ed007214e1e6c6aa9aef6b8,ctls,grafana.grofers.com,cloudflare,443,https://grafana.grofers.com:443,https,cloudflare,text/plain,GET,104.16.9.45,/,-748883629,104.16.8.45,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True
