input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed
blog.observu.com,Observu Site and Server Monitoring Blog,200,32707,blog.observu.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-19T09:57:11Z,2023-08-17T09:57:10Z,CN=blog.observu.com,blog.observu.com,blog.observu.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d9aa205bd479004a01bb226c6b401f9b,8e66186eab73ebddf8411bd8475a970a5d668c851fb75f88cf10d6b9a5737e3b,ctls,blog.observu.com,443,https://blog.observu.com:443,https,nginx,text/html,GET,37.48.122.137,/,858867588,37.48.122.137,Yoast SEO:3.7.0,372,False
observu.com,Site and Server Monitoring Dashboard - Observu,200,16770,observu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-12T00:00:00Z,2024-03-14T23:59:59Z,CN=observu.com,observu.com,www.observu.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,08d163ed046185c0a56d8100855659ae,0ca3ac563b50ebeb1634559caad5bb434e838310d3eec8f09769a482ed519d3c,ctls,observu.com,443,https://observu.com:443,https,nginx,text/html,GET,52.45.110.95,/,858867588,52.45.110.95,PHP,274,False
