input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_self_signed,tls_subject_org_,final_url,csp_domains_
001-z4vmzjfbyttj34bt.affiliate.resellerclub.com,403 Forbidden,403,151,001-z4vmzjfbyttj34bt.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,001-z4vmzjfbyttj34bt.affiliate.resellerclub.com,cloudflare,443,https://001-z4vmzjfbyttj34bt.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.90.10,/,1210513009,2606:4700::6812:5a0a,Cloudflare,8,False,True,,,,,
007zuqiubifentaojinyingkaihu.affiliate.resellerclub.com,403 Forbidden,403,151,007zuqiubifentaojinyingkaihu.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,007zuqiubifentaojinyingkaihu.affiliate.resellerclub.com,cloudflare,443,https://007zuqiubifentaojinyingkaihu.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.87.10,/,1210513009,2606:4700::6812:580a,Cloudflare,8,False,True,,,,,
00d2.affiliate.resellerclub.com,403 Forbidden,403,151,00d2.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,00d2.affiliate.resellerclub.com,cloudflare,443,https://00d2.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.86.10,/,1210513009,2606:4700::6812:560a,Cloudflare,8,False,True,,,,,
017-43-8.affiliate.resellerclub.com,403 Forbidden,403,151,017-43-8.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,017-43-8.affiliate.resellerclub.com,cloudflare,443,https://017-43-8.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.86.10,/,1210513009,2606:4700::6812:560a,Cloudflare,8,False,True,,,,,
05-3-43-1.affiliate.resellerclub.com,403 Forbidden,403,151,05-3-43-1.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,05-3-43-1.affiliate.resellerclub.com,cloudflare,443,https://05-3-43-1.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.89.10,/,1210513009,2606:4700::6812:5a0a,Cloudflare,8,False,True,,,,,
07a.affiliate.resellerclub.com,403 Forbidden,403,151,07a.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,07a.affiliate.resellerclub.com,cloudflare,443,https://07a.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.86.10,/,1210513009,2606:4700::6812:580a,Cloudflare,8,False,True,,,,,
1-19.affiliate.resellerclub.com,403 Forbidden,403,151,1-19.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,1-19.affiliate.resellerclub.com,cloudflare,443,https://1-19.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.88.10,/,1210513009,2606:4700::6812:560a,Cloudflare,8,False,True,,,,,
107-okta-redirector-metrics-s3p-nldev-v-v15-services.affiliate.resellerclub.com,403 Forbidden,403,151,107-okta-redirector-metrics-s3p-nldev-v-v15-services.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,107-okta-redirector-metrics-s3p-nldev-v-v15-services.affiliate.resellerclub.com,cloudflare,443,https://107-okta-redirector-metrics-s3p-nldev-v-v15-services.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.87.10,/,1210513009,2606:4700::6812:570a,Cloudflare,8,False,True,,,,,
13-3-17.affiliate.resellerclub.com,403 Forbidden,403,151,13-3-17.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,13-3-17.affiliate.resellerclub.com,cloudflare,443,https://13-3-17.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.89.10,/,1210513009,2606:4700::6812:560a,Cloudflare,8,False,True,,,,,
155-9-210-25.affiliate.resellerclub.com,403 Forbidden,403,151,155-9-210-25.affiliate.resellerclub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,ssl903578.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,56db706b44102e475d736d45c9745597,de555a46ce2c6c1a745cdc81171b7621e48608417425d470b7daecfdd5d0f86a,ctls,155-9-210-25.affiliate.resellerclub.com,cloudflare,443,https://155-9-210-25.affiliate.resellerclub.com:443,https,cloudflare,text/html,GET,104.18.89.10,/,1210513009,2606:4700::6812:5a0a,Cloudflare,8,False,True,,,,,
