new,host,a,soa,status_code,aaaa
,ncc-sts.rechtspraak.nl,159.46.198.81,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,ncc-zaakbeheer-acc.rechtspraak.nl,159.46.198.85,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,ncc.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,onderhoud.rechtspraak.nl,159.46.204.182,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,owa01.rechtspraak.nl,159.46.197.228,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,pki.rechtspraak.nl,159.46.204.183,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:183
,portaal.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,rechtspraaklogin.rechtspraak.nl,159.46.204.53,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:53
,redirect.rechtspraak.nl,159.46.196.45,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,rep100.rechtspraak.nl,159.46.201.68,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,rep20.rechtspraak.nl,159.46.201.66,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,reptoegang.rechtspraak.nl,159.46.196.138,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,rmw.rechtspraak.nl,159.46.196.223,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,roljournaalhandelgerechtshoven.rechtspraak.nl,159.46.204.4,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:4
,sip01.rechtspraak.nl,"159.46.201.213, 159.46.201.210","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,sip02.rechtspraak.nl,"159.46.201.216, 159.46.201.219","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,splunkhfwd.rechtspraak.nl,159.46.204.212,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,static.rechtspraak.nl,159.46.196.45,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,statistiek.rechtspraak.nl,159.46.204.24,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:7c:6:0
,stats-tag.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,sts.rechtspraak.nl,159.46.196.137,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,telewerken.rechtspraak.nl,159.46.198.60,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,toegang.rechtspraak.nl,159.46.204.54,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:54
,toezichtcbm.rechtspraak.nl,159.46.204.168,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:168
,toezichtwsnp.rechtspraak.nl,159.46.204.19,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:19
,uitspraken.rechtspraak.nl,159.46.204.52,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:52
,vcse.rechtspraak.nl,159.46.201.4,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,watismijnip.rechtspraak.nl,159.46.204.182,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,webcon01.rechtspraak.nl,159.46.201.210,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,webconf01.rechtspraak.nl,"159.46.201.214, 159.46.201.211","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,webconf02.rechtspraak.nl,"159.46.201.217, 159.46.201.220","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,webext01.rechtspraak.nl,159.46.197.228,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,webext02.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,www.rechtspraak.nl,"80.239.137.161, 62.115.252.74","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,"2001:2030:21::50ef:89a1, 2001:2030:21::3e73:fc4a"
