input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_expired,final_url
lookback.remitano.com,Look back 2022 | Remitano,200,1067,lookback.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-30T00:00:00Z,2023-12-30T23:59:59Z,CN=*.remitano.com,*.remitano.com,*.remitano.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3de4c7c74273de0c1be4e8fecd87a5a9,e406d66a9aa5670505111c918afc9ede7db2ce66be92bf4f635e6cc1cc4d70d6,ctls,lookback.remitano.com,cloudfront,443,https://lookback.remitano.com:443,https,AmazonS3,text/html,GET,18.66.147.5,/,-2009722838,2600:9000:225e:4200:11:e668:8300:93a1,Amazon Web Services,1,False,True,True,,,
lucky-draw.remitano.com,Remitano Lucky Draw,200,1066,lucky-draw.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-11-05T23:59:59Z,CN=lucky-draw.remitano.com,lucky-draw.remitano.com,crypto-quiz.remitano.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cfe9f0de802b6f2d40e98dff6d4903fe,30b7c9ca1eb688cf4464cd26849f0419450dfa7558d74e944d6031bdc5c59435,ctls,lucky-draw.remitano.com,cloudfront,443,https://lucky-draw.remitano.com:443,https,AmazonS3,text/html,GET,18.66.147.123,/,-782424168,2600:9000:225e:fe00:c:70be:6d80:93a1,Amazon Web Services,1,False,True,,,,
luckycoin.remitano.com,Account Suspended,200,7775,luckycoin.remitano.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2019-08-08T00:00:00Z,2019-11-06T23:59:59Z,CN=danluan.info,danluan.info,www.danluan.info,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",562f77cfd328d83388847f86cf70d91b,1973cfd4d8c7f499bdef74290138d6b7af0ef5762740791da6bf265a55df8618,ctls,luckycoin.remitano.com,,443,https://luckycoin.remitano.com:443,https,LiteSpeed,text/html,GET,45.122.221.122,/,-1744771853,45.122.221.122,LiteSpeed,125,False,,,True,True,https://luckycoin.remitano.com/cgi-sys/suspendedpage.cgi
mail.remitano.com,Just a moment...,403,7160,mail.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,mail.remitano.com,cloudflare,443,https://mail.remitano.com:443,https,cloudflare,text/html,GET,104.18.28.12,/,-1675087238,2606:4700::6812:1c0c,Cloudflare Bot Management,87,False,True,True,,,
metrics.remitano.com,403 Forbidden,403,520,metrics.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-29T23:59:59Z,CN=metrics.remitano.com,metrics.remitano.com,metrics.remitano.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aa91bdf6b9653115ca2772bd20af738e,6252524633d67ca38911622052c36501e3a7ec8acdab4705536e9a73dd08f488,ctls,metrics.remitano.com,,443,https://metrics.remitano.com:443,https,awselb/2.0,text/html,GET,3.33.156.14,/,2095155567,15.197.142.117,,13,False,,,,,
remitano.com,Just a moment...,403,7031,remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,remitano.com,cloudflare,443,https://remitano.com:443,https,cloudflare,text/html,GET,104.18.28.12,/,1631033263,2606:4700::6812:1c0c,Cloudflare Bot Management,87,False,True,True,,,
s3.remitano.com,,403,243,s3.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-27T23:59:59Z,CN=remitano.com,remitano.com,*.remitano.us,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bcc9808522530a0642ef39d906cdd082,197f5e3b5ccf4f91ca3434dbdcdec7c8b7b9ef963a906621552e98e5e03e9573,ctls,s3.remitano.com,cloudfront,443,https://s3.remitano.com:443,https,AmazonS3,application/xml,GET,13.32.121.40,/,2066742517,2600:9000:2240:5e00:16:ffd5:f800:93a1,Amazon Web Services,2,False,True,True,True,,
security.remitano.com,Just a moment...,403,7144,security.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,security.remitano.com,cloudflare,443,https://security.remitano.com:443,https,cloudflare,text/html,GET,104.18.28.12,/,1884644593,2606:4700::6812:1d0c,Cloudflare Bot Management,87,False,True,True,,,
stats.remitano.com,Just a moment...,403,7025,stats.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,stats.remitano.com,cloudflare,443,https://stats.remitano.com:443,https,cloudflare,text/html,GET,104.18.28.12,/,198181689,2606:4700::6812:1d0c,Cloudflare Bot Management,87,False,True,True,,,
status.remitano.com,Remitano Status,200,63855,status.remitano.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T17:55:40Z,2023-07-16T17:55:39Z,CN=status-us3.sysdig.com,status-us3.sysdig.com,www.tebexstatus.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,33b44c18169d068ef9472d2e76c51974,11bdfef6312cff61b846c481dd5109d7729cce6e56f0585956c72fdf46bf305a,ctls,status.remitano.com,,443,https://status.remitano.com:443,https,,text/html,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,1791,False,,,,,
support.remitano.com,Just a moment...,403,7274,support.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,support.remitano.com,cloudflare,443,https://support.remitano.com:443,https,cloudflare,text/html,GET,104.18.29.12,/,1193654501,2606:4700::6812:1d0c,Cloudflare Bot Management,87,False,True,True,,,
vn.cdn.remitano.com,,403,243,vn.cdn.remitano.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-09-23T00:00:00Z,2022-09-23T23:59:59Z,CN=vn.cdn.remitano.com,vn.cdn.remitano.com,www.vn.cdn.remitano.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,d81eade95c228e639980ce208e859e0a,020abbccd5af706d88c6825d8e91b7f45c909bfc516440a6413cd22023dce06d,ctls,vn.cdn.remitano.com,,443,https://vn.cdn.remitano.com:443,https,AmazonS3,application/xml,GET,103.90.223.139,/,1035476442,103.183.108.3,GotiPath,2,False,,,,True,
vn.s3.remitano.com,,403,243,vn.s3.remitano.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-13T00:00:00Z,2023-11-12T23:59:59Z,CN=vn.s3.remitano.com,vn.s3.remitano.com,www.vn.s3.remitano.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3546fc2ed329acbaf3be6ff9552a5fc4,ed2481618fc081839cd8d8deec548bb410c4bf94385b358e55afd948c5098cdf,ctls,vn.s3.remitano.com,,443,https://vn.s3.remitano.com:443,https,AmazonS3,application/xml,GET,103.183.108.8,/,-1343609077,103.161.22.147,GotiPath,2,False,,,,,
wholesale.remitano.com,Just a moment...,403,6903,wholesale.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,wholesale.remitano.com,cloudflare,443,https://wholesale.remitano.com:443,https,cloudflare,text/html,GET,104.18.28.12,/,511537589,2606:4700::6812:1d0c,Cloudflare Bot Management,87,False,True,True,,,
worldcup.remitano.com,Aim for the Victory,200,657,worldcup.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-20T00:00:00Z,2023-12-19T23:59:59Z,CN=worldcup.remitano.com,worldcup.remitano.com,worldcup.remitano.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,618473882b9232dcb9598b5dc6e25b2c,a5e1d7b46de43642990dbfc3460796bdb3345d0c79cd991d7e9659dcb49d992b,ctls,worldcup.remitano.com,cloudfront,443,https://worldcup.remitano.com:443,https,AmazonS3,text/html,GET,52.222.236.129,/,-2009722838,2600:9000:223e:e000:1:9fa5:3680:93a1,React,1,False,True,,,,
www.remitano.com,Just a moment...,403,7011,www.remitano.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T12:21:11Z,2023-08-04T12:21:10Z,CN=remitano.com,remitano.com,*.remitano.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd47d1099de9b873f71654a1065f2403,4af2bb39a8fb9a6d9a1a0ac694492f3c99c3668fdfcf073d86ad398284df221a,ctls,www.remitano.com,cloudflare,443,https://www.remitano.com:443,https,cloudflare,text/html,GET,104.18.28.12,/,139878363,2606:4700::6812:1c0c,Cloudflare Bot Management,87,False,True,True,,,
