new,host,ttl,soa,status_code,a,ns,has_internal_ips,internal_ips,cdn,cdn-name,cname,aaaa,mx,txt,caa
[x],1398ae4c2889c79ca5fb5a1d2fa07a163854743f.ack.me.sony.com,535,"{'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,,
[x],1afx.spe.sony.com,3600,"{'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,208.84.227.173,,,,,,,,,,
[x],1pass-scim.infra.sie.sony.com,300,"{'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'infra.sie.sony.com', 'ns': 'swlext-ibsn-c01n01.infra.sie.sony.com', 'mailbox': 'root.scea.com', 'serial': 13, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}",NOERROR,35.155.47.27,,,,,,,,,,
[x],2fa-qa.spe.sony.com,86400,"{'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,208.84.225.111,,,,,,,,,,
[x],2fa.spe.sony.com,86400,"{'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'spe.sony.com', 'ns': 'udns1.ultradns.net', 'mailbox': 'gns.spe.sony.com', 'serial': 2012124757, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,208.84.225.112,,,,,,,,,,
[x],6a1b523abf4a1880e1f8fa4ea70e149899fa5c7e.ack.me.sony.com,60,"{'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'ack.me.sony.com', 'ns': 'ns-896.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"44.226.230.191, 52.37.97.51",,,,,,,,,,
[x],account-qa-lvs.station.sony.com,3600,"{'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,,,,,,,
[x],account-qa.station.sony.com,85,"{'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,,,,,,,
[x],account-test.station.sony.com,2570,"{'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,,,,,,,
[x],account-ws-livetest.station.sony.com,3600,"{'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'station.sony.com', 'ns': 'ns1.sonyonline.net', 'mailbox': 'mis.station.sony.com', 'serial': 2024080401, 'refresh': 600, 'retry': 300, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,,,,,"sdt-mx1.daybreakgames.com, lae-mx1.daybreakgames.com, sdt-mx2.daybreakgames.com, lae-mx2.daybreakgames.com",,
