new,host,ttl,aaaa,soa,ns,txt,status_code,a,cname,mx
[x],cryptography.io,300,"2606:4700::6810:fe78, 2606:4700::6810:fd78","{'name': 'cryptography.io', 'ns': 'boyd.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2286789280, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 3600}, {'name': 'cryptography.io', 'ns': 'boyd.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2286789280, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 3600}, {'name': 'cryptography.io', 'ns': 'boyd.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2286789280, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 3600}","boyd.ns.cloudflare.com, brit.ns.cloudflare.com",v=spf1 -all,NOERROR,,,
[x],pyopenssl.org,300,"2606:4700::6810:fe78, 2606:4700::6810:fd78","{'name': 'pyopenssl.org', 'ns': 'ns1.variomedia.de', 'mailbox': 'support.variomedia.de', 'serial': 2024052520, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'pyopenssl.org', 'ns': 'ns1.variomedia.de', 'mailbox': 'support.variomedia.de', 'serial': 2024052520, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}","ns1.variomedia.de, ns2.variomedia.de",v=spf1 -all,NOERROR,"104.16.253.120, 104.16.254.120",,
,www.pyopenssl.org,2813,"2606:4700::6810:fd78, 2606:4700::6810:fe78","{'name': 'readthedocs.io', 'ns': 'ivan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352843522, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'readthedocs.io', 'ns': 'ivan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352843522, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"104.16.254.120, 104.16.253.120",readthedocs.io,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com"
