input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,final_url,tls_expired
00-1-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.elementor.com,,404,19,00-1-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.elementor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=elementor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",elementor.com,"Cloudflare, Inc.",*.elementor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1599037b1dfa0de0f9b6e7aaed8b125b,40d93de7e3fc42f5169cf72ec3677feedef656eecee86d15d5b3b3fa18dff89d,True,ctls,00-1-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.elementor.com,cloudflare,443,https://00-1-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.elementor.com:443,https,cloudflare,text/plain,GET,104.16.142.62,/,-138391155,2606:4700::6810:8f3e,Cloudflare Bot Management,2,False,True,,,,
000.okta-self-service.00000.001005.00003.php.7010.blog.dev.900005.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.00000.001005.00003.php.7010.blog.dev.900005.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8e3e,Cloudflare Bot Management,1,False,True,,,,
000.okta-self-service.00000.002005.00003.0010-1.0010.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.00000.002005.00003.0010-1.0010.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8f3e,Cloudflare Bot Management,1,False,True,,,,
000.okta-self-service.00000.020005.00003.81b24b6c.0010secure.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.00000.020005.00003.81b24b6c.0010secure.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8e3e,Cloudflare Bot Management,1,False,True,,,,
000.okta-self-service.00000.k8s.00003.php.7010.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.00000.k8s.00003.php.7010.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8f3e,Cloudflare Bot Management,1,False,True,,,,
000.okta-self-service.00400.000005.00003.dev.40010.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.00400.000005.00003.dev.40010.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8f3e,Cloudflare Bot Management,1,False,True,,,,
000.okta-self-service.50000.000005edge.00003.0000sexygia.0010.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.50000.000005edge.00003.0000sexygia.0010.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.143.62,/,633091339,2606:4700::6810:8f3e,Cloudflare Bot Management,1,False,True,,,,
000.okta-self-service.ntp0.ntp05.00003.0000sexygia.0010.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.okta-self-service.ntp0.ntp05.00003.0000sexygia.0010.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8e3e,Cloudflare Bot Management,1,False,True,,,,
000.pay.okta-self-service.00000.000005.00003.0000sexygia.7010.blog.dev.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000.pay.okta-self-service.00000.000005.00003.0000sexygia.7010.blog.dev.elementor.com:80,http,cloudflare,text/plain,GET,104.16.143.62,/,633091339,2606:4700::6810:8f3e,Cloudflare Bot Management,1,False,True,,,,
000000.000.okta-self-service.0000sexygia.0010.blog.elementor.com,,429,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000000.000.okta-self-service.0000sexygia.0010.blog.elementor.com:80,http,cloudflare,text/plain,GET,104.16.142.62,/,633091339,2606:4700::6810:8f3e,Cloudflare Bot Management,1,False,True,,,,
