input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_self_signed,tls_mismatched,tls_subject_org_,cdn_name,webserver,cdn,final_url,tls_wildcard_certificate,csp_domains_
accounts-staging.letsbuild.com,,404,,accounts-staging.letsbuild.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-07T23:59:59Z,CN=*.letsbuild.com,*.letsbuild.com,*.letsbuild.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3e2290a9f7a2b27995a9c1a932b8999f,eff7fe956ed118d6dfc3f1b08ee1b616bd5045089c8f7576a625015d1bb1aee6,ctls,accounts-staging.letsbuild.com,80,http://accounts-staging.letsbuild.com:80,http,,GET,52.31.181.224,/,-1840324437,52.19.128.218,Microsoft ASP.NET,1,False,,,,,Kestrel,,https://accounts-staging.letsbuild.com:443/,True,
accounts.letsbuild.com,,404,,accounts.letsbuild.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-07T23:59:59Z,CN=*.letsbuild.com,*.letsbuild.com,*.letsbuild.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3e2290a9f7a2b27995a9c1a932b8999f,eff7fe956ed118d6dfc3f1b08ee1b616bd5045089c8f7576a625015d1bb1aee6,ctls,accounts.letsbuild.com,443,https://accounts.letsbuild.com:443,https,,GET,54.74.80.115,/,-1840324437,34.255.88.88,Microsoft ASP.NET,1,False,,,,,Kestrel,,,True,
admin-dev.site-diary.letsbuild.com,Site Diary Admin,200,504,admin-dev.site-diary.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-18T22:14:36Z,2023-06-16T22:14:35Z,CN=www.appikorn.com,www.appikorn.com,xn--santogrocorretora-eqb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3df0f6f47af9326f9ae8246c8cf4706c,906aa0f9cb106f92239bbf45f1be4452bca2e4409d2edf0ffe8df17b06b7471a,ctls,admin-dev.site-diary.letsbuild.com,443,https://admin-dev.site-diary.letsbuild.com:443,https,text/html,GET,199.36.158.100,/,914112755,199.36.158.100,HTTP/3,17,False,,,,,,,,,
api.app.letsbuild.com,404 Not Found,404,146,api.app.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T08:49:07Z,2023-08-07T08:49:06Z,CN=*.production.prod1.eu-west-1.aws.prod.lb4.co,*.production.prod1.eu-west-1.aws.prod.lb4.co,production.prod1.eu-west-1.aws.prod.lb4.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f08e800bd204c9afb29d81193a5442b6,2a0636fbf144b5b4e3f749d50af259674704fac7b4c7ab55f6a864179cc34fa0,ctls,api.app.letsbuild.com,80,http://api.app.letsbuild.com:80,http,text/html,GET,34.243.66.103,/,1494302000,52.215.151.93,HSTS,8,False,,,,,,,https://api.app.letsbuild.com,True,
dev.site-diary.letsbuild.com,LB Site Diary,200,462,dev.site-diary.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T00:56:42Z,2023-06-21T00:56:41Z,CN=site-diary.letsbuild.com,site-diary.letsbuild.com,site-diary.letsbuild.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1aefdcf96e7756e6a4cf064a4e9ec85f,f9cfc1201879fb3fb2799ec5707b65bebab86624c67041f7c5070e7817ab4665,ctls,dev.site-diary.letsbuild.com,443,https://dev.site-diary.letsbuild.com:443,https,text/html,GET,199.36.158.100,/,-2057890205,199.36.158.100,HTTP/3,16,False,,,,,,,,,
help.letsbuild.com,Help Center,200,43528,help.letsbuild.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-12-24T23:59:59Z,CN=*.letsbuild.com,*.letsbuild.com,*.letsbuild.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,eecb63e1ddb0223951397b800200b458,a08b6497a85c85a0087dd1d1b58dd9d216827d4336c62c4cf6cba939aa020777,ctls,help.letsbuild.com,443,https://help.letsbuild.com:443,https,text/html,GET,13.32.99.73,/,-1840324437,13.32.99.43,Nginx,22,False,,,,cloudfront,nginx,True,https://help.letsbuild.com/en/,True,https://intercom-sheets.com
https://lh3.googleusercontent.com,Error 400 (Bad Request)!!1,400,1555,lh3.googleusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:35Z,2023-07-17T12:00:34Z,CN=*.googleusercontent.com,*.googleusercontent.com,*.cloudshell.googleusercontent.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6461eaaf691819771d7ccad1bae69fa4,9488d7f1fb756a9e7a23a0335176ab7e3d5a5589112d18d822385b74c4711e82,ctls,lh3.googleusercontent.com,443,https://lh3.googleusercontent.com:443,https,text/html,GET,142.250.181.225,/,1427279934,2a00:1450:4001:82f::2001,HTTP/3,12,False,,,,,fife,,,True,
https://s3-eu-west-1.amazonaws.com/accounts-production-prod1-letsbuild-prod-eu-west-1/,,403,243,s3-eu-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-23T23:59:59Z,CN=*.s3-eu-west-1.amazonaws.com,*.s3-eu-west-1.amazonaws.com,s3-deprecated.eu-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dba3bcc77feab1ffec648cb31369669c,91394148d95c68f2025f01cd351e5417fcae30a7a1538465a84f6fc036f41ccc,ctls,s3-eu-west-1.amazonaws.com,443,https://s3-eu-west-1.amazonaws.com:443/accounts-production-prod1-letsbuild-prod-eu-west-1/,https,application/xml,GET,52.218.29.19,/accounts-production-prod1-letsbuild-prod-eu-west-1/,1762342891,52.218.0.243,Amazon Web Services,2,False,,,,,AmazonS3,,,True,
integrations-core.letsbuild.com,LetsBuild Integrations,200,3996,integrations-core.letsbuild.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-10-11T23:59:59Z,CN=integrations-core.letsbuild.com,integrations-core.letsbuild.com,integrations-core.letsbuild.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496d5baf87e20c164c90eb9761c9377e,f0ccc6bec141fefe2f05c65a78723b89c3c0a89e65773192da74068efdada669,ctls,integrations-core.letsbuild.com,443,https://integrations-core.letsbuild.com:443,https,text/html,GET,13.224.189.108,/,723160754,13.224.189.118,Amazon Web Services,1,False,,,,cloudfront,AmazonS3,True,,,
myaccount.app.letsbuild.com,- LetsBuild Accounts,200,5364,myaccount.app.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T08:49:07Z,2023-08-07T08:49:06Z,CN=*.production.prod1.eu-west-1.aws.prod.lb4.co,*.production.prod1.eu-west-1.aws.prod.lb4.co,production.prod1.eu-west-1.aws.prod.lb4.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f08e800bd204c9afb29d81193a5442b6,2a0636fbf144b5b4e3f749d50af259674704fac7b4c7ab55f6a864179cc34fa0,ctls,myaccount.app.letsbuild.com,80,http://myaccount.app.letsbuild.com:80,http,text/html,GET,34.243.66.103,/,-1632981164,52.215.151.93,Microsoft ASP.NET,103,False,,,,,,,https://myaccount.app.letsbuild.com,True,https://s3-eu-west-1.amazonaws.com/accounts-production-prod1-letsbuild-prod-eu-west-1/
