input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_mismatched,tls_wildcard_certificate,csp_domains_,final_url,webserver,favicon,tls_subject_org_
alma-mtls.osl2.oda.com,400 No required SSL certificate was sent,400,230,alma-mtls.osl2.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-03T06:58:13Z,2025-04-03T06:58:12Z,CN=alma-mtls.osl2.oda.com,alma-mtls.osl2.oda.com,alma-mtls.osl2.oda.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,ceac7b17cdf4e1f4549572b16e0e8e33,1d4991790ed28c556943f0e9f6f898215c9c588883efc8ac4c29d25912f2abd2,ctls,alma-mtls.osl2.oda.com,google,443,https://alma-mtls.osl2.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,,9,False,True,error,0,,,,,,,
alma.ber1.oda.com,Page not found!,404,887,alma.ber1.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-05T19:39:32Z,2025-04-05T19:39:31Z,CN=prod.nube.tech,prod.nube.tech,prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,382886d565dfa6dbf65b7e25f5581942,0ebd7019185bab08757d7bb7aabda45b9f01ce1b7d78c23cd0e582dcb2238a02,ctls,alma.ber1.oda.com,google,443,https://alma.ber1.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,True,True,,,,,
alma.got1.oda.com,Page not found!,404,887,alma.got1.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2024-11-04T08:00:43Z,2025-02-02T08:00:42Z,CN=alma.got1.oda.com,alma.got1.oda.com,alma.got1.oda.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,43158cf154c2fa8cc38e83578e13c12f,83c8282093d31362444120ce37fa237b36ad82c44eba3cf408cc5effd5bfa642,ctls,alma.got1.oda.com,google,443,https://alma.got1.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,,,,,,,
alma.hel1.oda.com,Page not found!,404,887,alma.hel1.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-05T19:39:32Z,2025-04-05T19:39:31Z,CN=prod.nube.tech,prod.nube.tech,prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,382886d565dfa6dbf65b7e25f5581942,0ebd7019185bab08757d7bb7aabda45b9f01ce1b7d78c23cd0e582dcb2238a02,ctls,alma.hel1.oda.com,google,443,https://alma.hel1.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,True,True,,,,,
alma.mmx1.oda.com,Page not found!,404,887,alma.mmx1.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-05T19:39:32Z,2025-04-05T19:39:31Z,CN=prod.nube.tech,prod.nube.tech,prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,382886d565dfa6dbf65b7e25f5581942,0ebd7019185bab08757d7bb7aabda45b9f01ce1b7d78c23cd0e582dcb2238a02,ctls,alma.mmx1.oda.com,google,443,https://alma.mmx1.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,True,True,,,,,
alma.osl2.oda.com,Authentication - Login portal,200,2430,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://alma.osl2.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,*.ingest.sentry.io,https://login.prod.nube.tech/authentication/?rd=https://alma.osl2.oda.com%2F,,,
alma.rd1.oda.com,Page not found!,404,887,alma.rd1.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-05T19:39:32Z,2025-04-05T19:39:31Z,CN=prod.nube.tech,prod.nube.tech,prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,382886d565dfa6dbf65b7e25f5581942,0ebd7019185bab08757d7bb7aabda45b9f01ce1b7d78c23cd0e582dcb2238a02,ctls,alma.rd1.oda.com,google,443,https://alma.rd1.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,True,True,,,,,
alma.sto1.oda.com,Authentication - Login portal,200,2430,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://alma.sto1.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,cdn.jsdelivr.net,https://login.prod.nube.tech/authentication/?rd=https://alma.sto1.oda.com%2F,,,
assets.oda.com,"imgix - Image Processing On-Demand, Served By CDN",200,3779,assets.oda.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2025-02-09T23:17:32Z,2025-03-11T23:17:31Z,CN=assets.oda.com,assets.oda.com,assets.oda.com,"CN=Certainly Intermediate R1, O=Certainly, C=US",Certainly Intermediate R1,Certainly,96b3500dd112039b2aaf9833228e81ef,44ac71213e15383f28d04ead593a988438f55feeb6f915c8fb80628155fb4e6c,ctls,assets.oda.com,fastly,443,https://assets.oda.com,https,text/html,GET,151.101.2.208,/,/favicon.ico,2a04:4e42:200::720,,53,False,True,nonerror,0,,,,,Varnish,,
auth-staging.oda.com,Page not found!,404,887,auth-staging.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-20T10:44:03Z,2025-04-20T10:44:02Z,CN=staging.nube.tech,staging.nube.tech,staging.nube.tech,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,0101ea20852f8114e81e43a72c119ab9,c234848b060a4e5c79a858db0af844fa8eca62ef364f70e9657cb9d09943b986,ctls,auth-staging.oda.com,google,443,https://auth-staging.oda.com,https,text/html,GET,35.204.198.107,/,/favicon.ico,35.204.198.107,HSTS,49,False,True,nonerror,0,True,True,,,,,
