new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips,aaaa,txt
[x],admin-partners.gojekapi.com,10.202.71.253,"ns-2024.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.202.71.253,,
[x],aether-staging-id-em.gopayapi.com,34.101.111.245,"ns-939.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],agent.gojekapi.com,34.120.226.254,"ns-2024.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],agreement-system-staging.findaya.co.id,35.219.48.88,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],agreement-system.findaya.co.id,35.219.65.247,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],airflow.findaya.co.id,172.30.151.138,"ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-dataserv-airflows-b7a9bd02ad-d6d3039d9b12cada.elb.ap-southeast-3.amazonaws.com,,,True,172.30.151.138,,
[x],airflow.mab.co.id,172.32.0.68,"ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-dataserv-airflows-3745116bf5-bd85ebadb4ab92a6.elb.ap-southeast-3.amazonaws.com,,,,,,
[x],alpha-collect.gopayapi.com,13.228.102.56,"ns-939.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],am.gopayapi.com,"18.136.41.80, 46.137.212.193, 54.251.4.96","ns-939.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-ams-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-ams-loanplatform.findaya.co.id,35.219.92.155,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-ams-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-auditservice-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-auditservice-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-auth-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-auth-loanplatform.findaya.co.id,35.219.92.155,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-auth-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-bcn-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-bcn-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-boss-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-boss-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-cpe-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-cpe-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-crs-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-crs-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-dcs-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-dcs-loanplatform.mab.co.id,35.219.2.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-dr.auth.loanplatform.findaya.com,103.93.67.66,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,api-dr.loanplatform.findaya.com,,,,,,
[x],api-dr.boss.loanplatform.findaya.com,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,api-dr.loanplatform.findaya.com,,,,,,
[x],api-dr.loanplatform.findaya.com,103.93.67.66,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],api-dr.los.loanplatform.findaya.com,103.93.67.66,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,api-dr.loanplatform.findaya.com,,,,,,
[x],api-dr.lss.loanplatform.findaya.com,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,api-dr.loanplatform.findaya.com,,,,,,
[x],api-foa-loanplatform-external-staging.mab.co.id,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],api-foa-loanplatform-staging.mab.co.id,35.219.45.95,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
