input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_expired,csp_domains_,tls_mismatched,tls_subject_org_,final_url
aether-staging-id-em.gopayapi.com,,403,19,aether-staging-id-em.gopayapi.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T05:17:28Z,2023-06-28T05:17:27Z,CN=aether-staging-id-em.gopayapi.com,aether-staging-id-em.gopayapi.com,aether-staging-id-em.gopayapi.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17580c3c7fc3b29cf467c99d08b261e0,2729cb382dd6539ec0b5ca805e8e830bf388396e5989cd4518a1a213e2242dc9,,ctls,aether-staging-id-em.gopayapi.com,google,443,https://aether-staging-id-em.gopayapi.com:443,https,text/plain,GET,34.101.111.245,/,419813485,34.101.111.245,,1,False,True,istio-envoy,,,,,
agent.gojekapi.com,,404,48,agent.gojekapi.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,CN=*.gojekapi.com,*.gojekapi.com,gojekapi.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,d3b0d1950e60c52f7dbe1a10a728c00d,18c88f22d4699ab1101d57333bc7dba7c09d388d211d02602e80c01c2831a744,True,ctls,agent.gojekapi.com,google,443,https://agent.gojekapi.com:443,https,application/json,GET,34.120.226.254,/,834205737,34.120.226.254,HTTP/3,1,False,True,,,,,,
agreement-system-staging.findaya.co.id,HTTP Status 404 – Not Found,404,427,agreement-system-staging.findaya.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T15:02:11Z,2023-07-22T15:52:43Z,CN=agreement-system-staging.findaya.co.id,agreement-system-staging.findaya.co.id,agreement-system-staging.findaya.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,69613214ebb8d085ab21e9dab7aa6d8c,0ac5afb219fd27d245b133200090c620686cadc8ccabe6615c8f69896bc1790c,,ctls,agreement-system-staging.findaya.co.id,google,443,https://agreement-system-staging.findaya.co.id:443,https,text/html,GET,35.219.48.88,/,-230353730,35.219.48.88,HTTP/3,1,False,True,,,,,,
agreement-system.findaya.co.id,HTTP Status 404 – Not Found,404,427,agreement-system.findaya.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T12:58:02Z,2023-07-04T13:45:31Z,CN=agreement-system.findaya.co.id,agreement-system.findaya.co.id,sentry.findaya.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ec85358c6c67e3431d8886c12ab768aa,f77b0551dc67f88c2378b3268c2f5103401106587e940ccb7e88f30c02e8e50c,,ctls,agreement-system.findaya.co.id,google,443,https://agreement-system.findaya.co.id:443,https,text/html,GET,35.219.65.247,/,-230353730,35.219.65.247,HTTP/3,1,False,True,,,,,,
alpha-collect.gopayapi.com,,503,57,alpha-collect.gopayapi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2023-07-09T23:59:59Z,CN=gopayapi.com,gopayapi.com,pertamina.gopayapi.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,6596721631fbb08ac651d6ca84a21b43,c4d8b6dcdaecab9dddbdea38a9bc1fce8e21dc5df7d73c43aca345a520c54621,,ctls,alpha-collect.gopayapi.com,,443,https://alpha-collect.gopayapi.com:443,https,text/plain,GET,13.228.102.56,/,1338268594,13.228.102.56,Envoy,1,False,,envoy,,,,,
am.gopayapi.com,,403,19,am.gopayapi.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2023-07-08T23:59:59Z,CN=am.gopayapi.com,am.gopayapi.com,am.gopayapi.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,90499044bfe0e8c973bf2e917fd4a473,e887788465b8bdb5940de581a1caf12604d1c4ce4fe02666bda94bbbe100ca4d,,ctls,am.gopayapi.com,,443,https://am.gopayapi.com:443,https,text/plain,GET,46.137.212.193,/,419813485,54.251.4.96,,1,False,,istio-envoy,,,,,
api-ams-loanplatform-staging.mab.co.id,403,403,134,api-ams-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-ams-loanplatform-staging.mab.co.id,google,443,https://api-ams-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-ams-loanplatform.findaya.co.id,403,403,134,api-ams-loanplatform.findaya.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T06:26:48Z,2023-08-03T07:17:20Z,CN=api-ams-loanplatform.findaya.co.id,api-ams-loanplatform.findaya.co.id,api-dcs-loanplatform.findaya.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,2be2876affce5f8e926c0860b4c24f78,b1f2050276503acd363edbbe38e72feff6365f31cf1c1c7f7f75ad5a385c58c6,,ctls,api-ams-loanplatform.findaya.co.id,google,443,https://api-ams-loanplatform.findaya.co.id:443,https,text/html,GET,35.219.92.155,/,1723221432,35.219.92.155,HTTP/3,1,False,True,,,,,,
api-ams-loanplatform.mab.co.id,403,403,134,api-ams-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T07:16:53Z,2023-06-18T08:07:45Z,CN=api-ams-loanplatform.mab.co.id,api-ams-loanplatform.mab.co.id,api-ams-loanplatform.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,65d89bbc712257bdf141a3466894d035,dc8608147d02fdc7cb2a223f9e6200d44600ab8335969ebf6ad6cf9995443aca,,ctls,api-ams-loanplatform.mab.co.id,google,443,https://api-ams-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-auditservice-loanplatform-staging.mab.co.id,403,403,134,api-auditservice-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-auditservice-loanplatform-staging.mab.co.id,google,443,https://api-auditservice-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-auditservice-loanplatform.mab.co.id,403,403,134,api-auditservice-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-auditservice-loanplatform.mab.co.id,google,443,https://api-auditservice-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
