input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
airflow-dev.circle.com,,403,16,airflow-dev.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,airflow-dev.circle.com,cloudflare,443,https://airflow-dev.circle.com:443,https,cloudflare,text/plain,GET,104.18.16.80,/,1268003052,104.18.17.80,Cloudflare,1,False,True,,,,
airflow-pre.circle.com,,403,16,airflow-pre.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,airflow-pre.circle.com,cloudflare,443,https://airflow-pre.circle.com:443,https,cloudflare,text/plain,GET,104.18.16.80,/,1268003052,104.18.17.80,Cloudflare,1,False,True,,,,
airflow.cybavo.com,Sign In - Airflow,200,17248,airflow.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T01:28:21Z,2023-08-03T02:21:14Z,CN=airflow.cybavo.com,airflow.cybavo.com,,superset.cybavo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,23b05d9919020c173ae7f9ee1108411d,470a7292dcd312603c334fffcee619ec541d7c9c94043437df0f52fbd9ee77cd,,ctls,airflow.cybavo.com,google,443,https://airflow.cybavo.com:443,https,gunicorn,text/html,GET,34.110.184.30,/,1530488800,34.110.184.30,gunicorn,332,False,True,,https://airflow.cybavo.com/login/?next=http%3A%2F%2Fairflow.cybavo.com%2Fhome,,
analysis-moon.cybavo.com,,200,,analysis-moon.cybavo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-08-24T23:59:59Z,CN=analysis-moon.cybavo.com,analysis-moon.cybavo.com,,analysis-moon.cybavo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cd2699fbfe37174fa5fa8fce53daf147,b61f249c4d7cb893c85b1331f4d35a3d9580a579e3246d4c4c7e55f67d86fd77,,ctls,analysis-moon.cybavo.com,,443,https://analysis-moon.cybavo.com:443,https,cybavo,text/html,GET,54.92.43.38,/,1494302000,13.113.151.74,HSTS,1,False,,,,,
api-data-platform.circle.com,,200,2,api-data-platform.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,api-data-platform.circle.com,cloudflare,443,https://api-data-platform.circle.com:443,https,cloudflare,text/plain,GET,104.18.16.80,/,-1840324437,104.18.17.80,HSTS,1,False,True,,,,
api-ecosystem.circle.com,Error 404 Not Found,404,418,api-ecosystem.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,api-ecosystem.circle.com,cloudflare,443,https://api-ecosystem.circle.com:443,https,cloudflare,text/html,GET,104.18.16.80,/,-432328209,104.18.17.80,HSTS,16,False,True,,,,
api-sandbox.checkout.circle.com,,401,26,api-sandbox.checkout.circle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-09-30T23:59:59Z,CN=*.checkout.circle.com,*.checkout.circle.com,,*.checkout.circle.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0e5082f3bba0547ba61d8403fed13d2e,522151d359d20ffa3f56861d4120370c21b36b05c8653d401f5097ff1fbc11db,True,ctls,api-sandbox.checkout.circle.com,,443,https://api-sandbox.checkout.circle.com:443,https,,application/json,GET,54.185.111.179,/,478243331,52.34.9.129,,1,False,,,,,
api-sandbox.circle.com,Circle,200,379088,developers.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-10-26T23:59:59Z,"CN=developers.circle.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",developers.circle.com,"Cloudflare, Inc.",developers.circle.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5ed65f3304bf86086da02b41b402099c,548272b3f6153f79e39c342b5a00b8daafdf268fbb344d5179020a99feef8b6f,,ctls,developers.circle.com,cloudflare,443,https://api-sandbox.circle.com:443,https,cloudflare,text/html,GET,104.18.16.80,/,1647716653,104.18.17.80,Heroku,419,False,True,,https://developers.circle.com,,
api.circle.com,Circle,200,379731,developers.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-10-26T23:59:59Z,"CN=developers.circle.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",developers.circle.com,"Cloudflare, Inc.",developers.circle.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5ed65f3304bf86086da02b41b402099c,548272b3f6153f79e39c342b5a00b8daafdf268fbb344d5179020a99feef8b6f,,ctls,developers.circle.com,cloudflare,443,https://api.circle.com:443,https,cloudflare,text/html,GET,104.16.30.32,/,1647716653,104.16.31.32,Heroku,423,False,True,,https://developers.circle.com,,
api.ledger.cybavo.com,403 Forbidden,403,146,api.ledger.cybavo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-01-19T06:37:00Z,2036-01-16T06:37:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",ledger.cybavo.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",5a95d25e80f797c327e423f57804c884,df751dcc7a624189e1eac035435fd765e68b5baf1edadbb469827c4f066c6ec5,True,ctls,api.ledger.cybavo.com,,443,https://api.ledger.cybavo.com:443,https,cybavo,text/html,GET,139.162.65.204,/,-1561873722,139.162.65.204,HSTS,8,False,,,,,
