new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,caa,has_internal_ips,internal_ips,txt,mx
[x],550g.trellix.com,136.179.57.108,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],550int.trellix.com,10.44.93.36,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.44.93.36,,
[x],account.manage.trellix.com,"54.69.130.184, 52.33.251.125",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],agentm-dr.trellix.com,136.179.56.54,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],agile.trellix.com,136.179.57.122,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],agilefile.qa.trellix.com,136.179.57.104,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],agilefile.trellix.com,136.179.57.127,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ah-usw003.manage.trellix.com,"54.148.69.92, 52.27.119.65",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],alpha.xconsole.trellix.com,"13.225.78.8, 13.225.78.82, 13.225.78.86, 13.225.78.24",,"ns-219.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1030.awsdns-00.org, ns-1627.awsdns-11.co.uk, ns-219.awsdns-27.com, ns-933.awsdns-52.net",,,,,,
[x],amcore-ens.rest.gti.trellix.com,"3.70.147.89, 3.76.92.48","rest.gtiservice.trellix.akadns.net, rest-trellix-lb-frankfurt.gtinative.cloudplatform.mcafee.com","ns-751.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],analytics.trellix.com,35.155.179.68,,"ns-900.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-900.awsdns-48.net, ns-1717.awsdns-22.co.uk, ns-1214.awsdns-23.org, ns-158.awsdns-19.com",,,,,,
[x],api.soc.trellix.com,"35.160.131.59, 44.238.229.144, 52.43.72.2","api-edrusw.edrusw.ccs-trellix.com, k8s-edrusw-kong3alb-78a673b859-1539499038.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apihub-org.manage.trellix.com,"52.11.89.255, 54.203.146.98, 54.71.158.13",a9ea75f1-mvprodorg-kongkon-7359-683107744.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,,,,,
