input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_self_signed,tls_subject_org_,csp_domains_,final_url,tls_expired
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,233508,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-01T22:48:17Z,2024-08-01T22:48:16Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,e2cf93ffcf944cf9e8c9aa33befafff0,4a38f0a030270163bdcc9c20b265b45aea7fd7a1627ffd4cbd883100f4e82b50,,ctls,www.mapbox.com,443,https://mapbox.com:443,https,text/html,GET,151.101.64.143,/,1556104729,151.101.192.143,Webflow,2359,False,fastly,,True,,,https://webflow.com,https://www.mapbox.com/,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,885976,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,True,ctls,mixpanel.com,443,https://mixpanel.com:443,https,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,google,nginx,True,,,https://*.clarity.ms,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,233508,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-01T22:48:17Z,2024-08-01T22:48:16Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,e2cf93ffcf944cf9e8c9aa33befafff0,4a38f0a030270163bdcc9c20b265b45aea7fd7a1627ffd4cbd883100f4e82b50,,ctls,www.mapbox.com,443,https://tiles.mapbox.com:443,https,text/html,GET,199.232.192.143,/,71544021,199.232.196.143,Webflow,2359,False,fastly,,True,,,https://webflow.com,https://www.mapbox.com,
account.metafi-dev.codefi.network,,403,42,account.metafi-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a1bea8cee4bd16218a2566927f36d4ad,5ad02ba610dd30a514d460e52005386217b646ce62c8c9f7164b8f9d11868523,True,ctls,account.metafi-dev.codefi.network,443,https://account.metafi-dev.codefi.network:443,https,application/json,GET,104.18.12.27,/,768769774,2606:4700::6812:d1b,HSTS,1,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
account.metaswap.codefi.network,,200,64,account.metaswap.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-20T00:00:00Z,2024-02-19T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,metaswap.codefi.network,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3f76c8e79d4ea02ee941e35e739e165f,d286c2e3c160f955893cd97fb95026b43f4c6133addafe52a8a88529fc7f213d,True,ctls,account.metaswap.codefi.network,443,https://account.metaswap.codefi.network:443,https,application/json,GET,104.18.31.68,/,1593207841,2606:4700::6812:1e44,HSTS,1,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
activate-dev.codefi.network,401 Authorization Required,401,172,activate-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-17T00:00:00Z,2024-06-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3f890c0b4cbe847a505e28894692a5f2,1608ce0dd4e4f7d9e5ddd50f72efe1c2094d45418d60619cc749365b557a8bf6,,ctls,activate-dev.codefi.network,443,https://activate-dev.codefi.network:443,https,text/html,GET,104.22.12.141,/,-1710455754,2606:4700:10::ac43:41a,HSTS,8,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
alertmanager.eu-north-1.aws.staking-dev.codefi.network,Origin DNS error | alertmanager.eu-north-1.aws.staking-dev.codefi.network | Cloudflare,530,6312,alertmanager.eu-north-1.aws.staking-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-30T10:06:29Z,2023-09-28T10:06:28Z,CN=alertmanager.eu-north-1.aws.staking-dev.codefi.network,alertmanager.eu-north-1.aws.staking-dev.codefi.network,alertmanager.eu-north-1.aws.staking-dev.codefi.network,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,4c125b3bdd7a67e3f05330bf0143fb19,d571e165896a1fca99dac6a25feb5a9064c7da40f2c4d4678ab81cf90c89c028,,ctls,alertmanager.eu-north-1.aws.staking-dev.codefi.network,443,https://alertmanager.eu-north-1.aws.staking-dev.codefi.network:443,https,text/html,GET,104.18.20.195,/,1728547464,2606:4700::6812:15c3,HSTS,92,False,cloudflare,cloudflare,True,,,,,
alertmanager.metafi-dev.codefi.network,Consensys - Sign In,200,17972,consensys.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,True,ctls,consensys.okta.com,443,https://alertmanager.metafi-dev.codefi.network:443,https,text/html,GET,104.18.12.27,/,2004336600,2606:4700::6812:c1b,Nginx,462,False,cloudflare,nginx,True,,"Okta, Inc.",fonts.gstatic.com,https://consensys.okta.com/login/login.htm?fromURI=/oauth2/v1/authorize/redirect?okta_key=81vRtH1_u5eFOKqBpdIpLWbQ82J7bg-jpJtNpAKpWSI,
alertmanager.metaswap.codefi.network,Sign in - Google Accounts,200,603526,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,443,https://alertmanager.metaswap.codefi.network:443,https,text/html,GET,104.18.30.68,/,106948898,2606:4700::6812:1f44,HTTP/3,76,False,cloudflare,ESF,True,,,,https://accounts.google.com/v3/signin/identifier?opparams=%253F&dsh=S-1358599434%3A1690708800241788&access_type=offline&client_id=191331918248-vdv1od89tfjs5ku03p22pj31bhig8416.apps.googleusercontent.com&o2v=2&prompt=select_account+consent&redirect_uri=https%3A%2F%2Fauthenticate.metaswap.codefi.network%2Foauth2%2Fcallback&response_type=code&scope=openid+profile+email&service=lso&state=U2t5SllRK0pGdnBsK0FkZG5NVzZZMGlRcGFWRFhWYXBuM1hPQWRtQ3pHYmppT2ZVdENOWDY0UURQTG5SeEdON1AzRTk3NnZoSmx4a2ZpMW5WdThYUWc9PXwxNjkwNzA4ODAwfEDmXsxT8MrTinSRmLp65SbOHP1IBewRstDl1G-c_qmo0MRAmVaYmzrVgUUK--L6C3Pz_hzm2Sm-S7NxfYVTx6GcqgrSYJfZ4MS4turWQE5eyow3atu_VSX9yy2KfRpq95Czh2qRpEj9h85dgbgN1u5YwhnmV_TAmqul-9wi9kS2pbhR9GHctdkcUwFcvRQYydr5zGv1EiFTm9E58OJOGyLfoUrk5rZ8qe-N9JH5uXZxFKd7plYZWa7HOgmCjYidfuUPdVRM1dg74GWUTB08zXYQqwSt3ih8XUv9WySQAcSc51zJETNtXiHkcZ1JxF32zFp4bAilOtkZsoOVMlVUps0h3HUZmpdqLgWnH6xlYszjKNApiXkLIEU1juZwy8Q98rCk4B_0JcQ5GMFOz0FiaKU-wBK1TkMi7NdBiiTtRbvsAoZN17lScbfaClGYZ8jXqNLx47B4EaLMYywwlQ-3utfa_0H6j5NV&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hANbW6gDPz2pdh3vUcYAT2Qw52BGa-z8q2i_9ShB_MzwPDcjsWUH5Lt2vHXLv8FFVhOGoLvgHbg4fGhLyKi-tCRp1XoLkboFr9pPWd8HKe6ADG3GWm1bkp_hC_a3IkGk-Pc-rimrNZNyEQVPxaoMlS83Uky7Zog-svCapT1xt14MMjobzXez8GK6IAF5BBWEqb5wgkmHyBl3Uk-hmzM6SRiu7jTPAEGCWu-yiPqLUH8JHhotr2uavqHqzDcUrFGeTGZZyQ0PYyKEUP-n3sRJzc_UKeTPdPn7Dq5rYah_rs4X265uRoqTmSPdbz44gyL-jA2CH5MXehriixMTLHeOzEgpPky0bhRQpItTp_rpcmbrfDwyx09QusyZk0LDLjFvFe5skas_VOkpc8T-SA-44jqLsSfcWGasomqcptYyTdZZlajnk8tf65cfiPLBcTQOrBSUxLgWTZBcWixV8oKZlB_-hABifFpB_wTxuLGnTMaoZf1cGMsLZBIxsNkgD4wQOsoDcxhg%26as%3DS-1358599434%253A1690708800241788%26client_id%3D191331918248-vdv1od89tfjs5ku03p22pj31bhig8416.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fauthenticate.metaswap.codefi.network&rart=ANgoxcfNDzCpc6zDtY_b-7lH5lucFAh5Mp2zRLZYeAEaot1jq8gY9mhhEztuTteVvnjYkMatmYNaeIZyMPN9suTsmRkohiSKoQ,
alertmanager.prodtech.codefi.network,Sign in - Google Accounts,200,598268,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,443,https://alertmanager.prodtech.codefi.network:443,https,text/html,GET,15.237.164.78,/,-388166499,13.36.17.13,HTTP/3,76,False,,ESF,,,,,https://accounts.google.com/v3/signin/identifier?opparams=%253Facr_values&dsh=S1577751845%3A1690708799676343&access_type=offline&approval_prompt=force&client_id=812222720690-aui6sl1rfr2mgr4916bdb3mc4edh4b8q.apps.googleusercontent.com&o2v=1&redirect_uri=https%3A%2F%2Fauth.prodtech.codefi.network%2Foauth2%2Fcallback&response_type=code&scope=profile+email&service=lso&state=5446ffff614b186148715f662d668777%3A%2F&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAOWZ9vISndDzbeNYaz_djGRNs9tFv70iSOPph85ygBFP2V9fDxwrg_fQ1JkBfis9J33rXlv8FjyrUVg6UzaQppuuAhlefvLTNpyfemmbcDdqrV22QCD51hUFvKPI-ztgszxTDTXll9tG_w5lX1WWUobqXNNuKwuLUS8lh1mmcPG2M9oTVvTrXjg9il6VbMdMqdE5edgCcTnPICxQCfuLuonnZrDxQQBW0ZzS9WghBfuj1uIMk8ujLjHtc5LCOFjRZQrGhxpaZ-fsQ_BpPlns5mzNKSIxFSWdD1F_QBTG_r_0yu8xH5WBe1FTNTcEH2kkkottHrU0Qc_buSV83j92TCLWsKd5AHdMKtAhZsDRUFMa3RWPnB395ilgjFyzTYsKXqJWYYjKgwAhG5IuUCslbPslpdOzaUhImge9MLWNockzErUDY9XD3SsBPhGiLaSQLTNL_2wQLf90Jbv9u2_-YlhZSiAHjfZutVSHLVvNOa9uZCLwBw%26as%3DS1577751845%253A1690708799676343%26client_id%3D812222720690-aui6sl1rfr2mgr4916bdb3mc4edh4b8q.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fauth.prodtech.codefi.network&rart=ANgoxcdV0YmfuJjvB-JY6ywT6szpJivHDCjhMBTTdcauLi5vPYDuiRYDLBCm4b4m-EbcvyKztidz0X3QMU3vQYiATwJg7fgOrQ,
