new,host,a,aaaa,soa,status_code,cdn,cdn-name,caa,cname,mx,ns,txt
,futures-staging.difx.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,cname.vercel-dns.com,,,
,help.difx.com,"188.114.99.224, 188.114.98.224","2606:4700:10::6816:146a, 2606:4700:10::6816:156a, 2606:4700:10::ac43:70e","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,lyncdiscover.difx.com,"188.114.99.229, 188.114.98.229","2a06:98c1:3123:e000::, 2a06:98c1:3122:e000::","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,media.difx.com,"104.22.21.106, 172.67.7.14, 104.22.20.106",,"jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,mm.difx.com,"172.67.7.14, 104.22.21.106, 104.22.20.106","2606:4700:10::6816:156a, 2606:4700:10::6816:146a, 2606:4700:10::ac43:70e","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,msoid.difx.com,"104.22.21.106, 104.22.20.106, 172.67.7.14","2606:4700:10::ac43:70e, 2606:4700:10::6816:146a, 2606:4700:10::6816:156a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,prod.difx.com,,,"jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,public-api.difx.com,"172.67.7.14, 104.22.20.106, 104.22.21.106","2606:4700:10::6816:156a, 2606:4700:10::6816:146a, 2606:4700:10::ac43:70e","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,public-staging-api.difx.com,"104.22.20.106, 172.67.7.14, 104.22.21.106","2606:4700:10::6816:146a, 2606:4700:10::ac43:70e, 2606:4700:10::6816:156a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,requests.difx.com,44.214.112.154,2600:1f18:421f:6301:493d:b059:8519:ba82,"ns-669.awsdns-19.net, awsdns-hostmaster.amazon.com",NOERROR,,,,cname.canny.io,,,
,spotdev.difx.com,"104.22.21.106, 104.22.20.106, 172.67.7.14","2606:4700:10::6816:146a, 2606:4700:10::ac43:70e, 2606:4700:10::6816:156a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,staging-api.difx.com,"104.22.21.106, 104.22.20.106, 172.67.7.14","2606:4700:10::ac43:70e, 2606:4700:10::6816:146a, 2606:4700:10::6816:156a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,staging-v2.difx.com,,,"jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,staging.difx.com,"172.67.7.14, 104.22.20.106, 104.22.21.106","2606:4700:10::6816:156a, 2606:4700:10::ac43:70e, 2606:4700:10::6816:146a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,terminal.difx.com,"104.22.20.106, 104.22.21.106, 172.67.7.14","2606:4700:10::6816:146a, 2606:4700:10::6816:156a, 2606:4700:10::ac43:70e","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,test-api.difx.com,"104.22.21.106, 104.22.20.106, 172.67.7.14","2606:4700:10::ac43:70e, 2606:4700:10::6816:146a, 2606:4700:10::6816:156a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,test1.difx.com,"104.22.21.106, 104.22.20.106, 172.67.7.14","2606:4700:10::ac43:70e, 2606:4700:10::6816:146a, 2606:4700:10::6816:156a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,www.difx.com,"172.67.7.14, 104.22.20.106, 104.22.21.106","2606:4700:10::6816:156a, 2606:4700:10::ac43:70e, 2606:4700:10::6816:146a","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
