input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url
ads.takealot.com,,200,48,ads.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,ads.takealot.com,cloudflare,443,https://ads.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:ae3d,HSTS,1,False,True,,
blitz.takealot.com,Attention Required! | Cloudflare,403,4514,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,google,443,https://blitz.takealot.com:443,https,cloudflare,text/html,GET,34.77.94.112,/,1032148013,34.77.94.112,HSTS,94,False,True,,https://www.takealot.com
clicks.takealot.com,404 Not Found,404,143,clicks.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,clicks.takealot.com,cloudflare,443,https://clicks.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1593207841,2606:4700::6813:af3d,HSTS,8,False,True,,
em.takealot.com,TAKEALOT,200,3502,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,google,443,https://em.takealot.com:443,https,cloudflare,text/html,GET,34.77.94.112,/,58717860,34.77.94.112,HSTS,101,False,True,,https://www.takealot.com/account/newsletters/
emails.takealot.com,404 - File or directory not found.,404,1245,emails.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-12T00:00:00Z,2024-08-11T23:59:59Z,"CN=page.takealot.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",page.takealot.com,page.takealot.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,a4915cf04855078e2c9c8d35c922bc39,a48d755d05d6295f1844a191de556b5830bea8a9b64a4a1daefeea832f3d6c6f,,ctls,emails.takealot.com,,443,https://emails.takealot.com:443,https,,text/html,GET,13.111.150.233,/,1631801191,13.111.150.233,,30,False,,"Salesforce.com, Inc.",
hangtight.takealot.com,Error 404,404,1951,hangtight.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-16T00:00:00Z,2023-09-25T23:59:59Z,CN=sslcertificate1.queue-it.net,sslcertificate1.queue-it.net,waitingroom.adidas.co.id,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b3b2bbd5cfccbd41c7c17be748c5031a,67c083b2605dbb1cac2e4651f8e9fb6d282d96f9b766361327b048953d2c74e8,,ctls,hangtight.takealot.com,,443,https://hangtight.takealot.com:443,https,Kestrel,text/html,GET,54.72.216.82,/,-1378628694,54.77.39.175,Microsoft ASP.NET,56,False,,,
help.takealot.com,Security check,403,7342,help.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-24T23:37:39Z,2023-09-22T23:37:38Z,CN=help.takealot.com,help.takealot.com,help.takealot.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c73a1e5b48f3295faa9928048b7e678f,f8341210f35fb04a729862b711321c0d0a13b627b7a117a04d9e1add604c86c1,,ctls,help.takealot.com,cloudflare,443,https://help.takealot.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,98,False,True,,https://help.takealot.com/hc/en-us
img99.takealot.com,404 Not Found,404,143,img99.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,img99.takealot.com,cloudflare,443,https://img99.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1022194223,2606:4700::6813:af3d,HSTS,8,False,True,,
kofax.takealot.com,IIS Windows Server,200,692,kofax.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,kofax.takealot.com,cloudflare,443,https://kofax.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,-1171069591,2606:4700::6813:ae3d,Microsoft ASP.NET,32,False,True,,
links.email.takealot.com,Anti-Spam and Privacy,200,3323,links.email.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-19T00:00:00Z,2024-05-28T23:59:59Z,"CN=*.acoustic-adm.com, O=Acoustic\, L.P., L=Atlanta, ST=Georgia, C=US",*.acoustic-adm.com,acoustic-adm.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,27fe9597e880b7afde1d00b0810d1dc0,93bffb3dcd3f40d86bdaa888f5389f82b05d1a14a791283b82c57f1b117a8396,True,ctls,links.email.takealot.com,,443,https://links.email.takealot.com:443,https,Apache,text/html,GET,35.169.253.76,/,-1182956792,35.169.253.76,HSTS,149,False,,"Acoustic, L.P.",
maintenance-new.takealot.com,Temporary Technical Glitch,512,26395,maintenance-new.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,maintenance-new.takealot.com,cloudflare,443,https://maintenance-new.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1759790432,2606:4700::6813:af3d,HSTS,90,False,True,,
media-int.takealot.com,,200,48,media-int.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,media-int.takealot.com,cloudfront,443,https://media-int.takealot.com:443,https,cloudflare,text/plain,GET,13.32.118.155,/,-1840324437,13.32.118.37,Cloudflare,1,False,True,,
