input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url
demo.openmage.org,Madison Island,200,90001,demo.openmage.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T05:04:32Z,2023-08-14T05:04:31Z,CN=demo.openmage.org,demo.openmage.org,demo.openmage.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,365a56edcbafd44ee8a609b65bc944f9,5821628be1ff71f05597109b2279a8ddb6531622e20daefa04b220646abcdf52,ctls,demo.openmage.org,443,https://demo.openmage.org:443,https,nginx,text/html,GET,185.145.13.131,/,-583469424,185.145.13.131,Nginx,538,False,
migrate.openmage.org,,200,4980,migrate.openmage.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-20T00:50:00Z,2023-07-19T00:49:59Z,CN=migrate.openmage.org,migrate.openmage.org,migrate.openmage.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b262ce7334632db89fc26326b832c404,2bf1bb0576e03d2e4173c1fa07ac410da48884d7de2167b2be46c8fc9f40fb22,ctls,migrate.openmage.org,443,https://migrate.openmage.org:443,https,GitHub.com,text/html,GET,185.199.108.153,/,-1700323260,2606:50c0:8003::153,Varnish,161,False,
openmage.org,OpenMage LTS - A community-driven fork of Magento Community Edition - OpenMage LTS,200,51577,www.openmage.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-20T22:43:09Z,2023-08-18T22:43:08Z,CN=www.openmage.org,www.openmage.org,www.openmage.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4228e83b51daad8aa91a37aa0a4be71e,3bd63291a2dc40279961850dfe508f2a58b45296002ce23fe1731309cbc897b3,ctls,www.openmage.org,443,https://openmage.org:443,https,GitHub.com,text/html,GET,185.199.108.153,/,406237469,185.199.111.153,jQuery,917,False,https://www.openmage.org/
