new,host,ttl,aaaa,cname,soa,status_code,cdn,cdn-name,a,ns,caa,txt
[x],admin.youtube.com,300,"2607:f8b0:4004:c08::64, 2607:f8b0:4004:c08::65, 2607:f8b0:4004:c08::8b, 2607:f8b0:4004:c08::66",www3.l.google.com,"{'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,142.250.179.206,,,
[x],ads.youtube.com,300,,www3.l.google.com,"{'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,,,,
[x],app.youtube.com,300,"2a00:1450:400e:802::200e, 2a00:1450:400e:803::200e, 2a00:1450:400e:810::200e, 2a00:1450:400e:801::200e",youtube-ui.l.google.com,"{'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,"172.217.18.14, 142.250.186.110, 172.217.16.206, 216.58.212.174, 142.250.74.206, 142.250.186.78, 172.217.23.110, 142.250.184.238, 142.250.184.206, 142.250.181.238, 142.250.186.174, 216.58.206.46, 172.217.16.142, 142.250.186.142, 216.58.206.78, 142.250.186.46",,,
[x],calendar.openmage.org,14400,2a00:1450:4001:80f::2013,ghs.google.com,"{'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,142.250.184.243,,,
[x],corp.youtube.com,300,2a00:1450:4025:402::81,,"{'name': 'corp.youtube.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'corp.youtube.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'corp.youtube.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'corp.youtube.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'corp.youtube.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,142.250.27.129,"ns2.google.com, ns3.google.com, ns1.google.com, ns4.google.com",,
[x],demo.openmage.org,2313,,,"{'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,185.145.13.131,,,
[x],live.youtube.com,235,"2a00:1450:4001:810::200e, 2a00:1450:4001:828::200e, 2a00:1450:4001:80f::200e, 2a00:1450:4001:80e::200e","youtube-ui.l.google.com, wide-youtube.l.google.com","{'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'l.google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,,,,
[x],mail.openmage.org,14400,2a00:1450:4007:80e::2013,ghs.google.com,"{'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676340640, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 676775357, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,142.250.185.179,,,
[x],migrate.openmage.org,13117,"2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",openmage.github.io,"{'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,"185.199.108.153, 185.199.109.153, 185.199.111.153, 185.199.110.153",,,
[x],nginxdemo-admin.openmage.org,14400,,,"{'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'openmage.org', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'dns-admin.google.com', 'serial': 46, 'refresh': 21600, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,23.92.71.98,,,
