new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],0-5-8.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],0-7.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],0-71-5.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],0-9-12.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],0-90.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],0-cgnt-ny1.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],001-zdwryf4ireoblhxr.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],001-zyiy6u6wqmucxujn.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],007huangjiaduchang.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],01-14.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],01-2-5.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],01-5-4.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],01-zgs7hqtrgfgnbhlh.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],01-zhmfur6bn5arotas.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],010system-com.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],017-4-01.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],017-43.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],03-49.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],03-512-8.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],03-9-5.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],038-v3-client.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],04-02-92.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],04-029-9.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],04-28.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],04-37-7.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],04-43.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],042-v3-client.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],042b.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],04www-testabmail.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-1-21.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-3-40.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-3-43-1.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-3-92-2.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-4-0-6.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-7-4-8-6.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1b8e, 2606:4700::6812:1a8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-74-1.factory.nestle.com,"104.18.26.142, 104.18.27.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],05-89-1.factory.nestle.com,"104.18.27.142, 104.18.26.142","2606:4700::6812:1a8e, 2606:4700::6812:1b8e",*.factory.nestle.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
