new,host,ttl,a,cname,soa,status_code,has_internal_ips,internal_ips,txt,aaaa,ns,cdn,cdn-name,mx,caa
[x],59165.thomsonreuters.com,300,"167.89.115.28, 167.89.115.150, 167.89.115.56, 167.89.118.95, 167.89.115.120, 167.89.118.128, 167.89.118.109, 167.89.115.61, 167.89.118.52, 167.89.115.52, 167.89.118.83, 167.89.118.120, 208.94.148.4, 208.80.124.4, 208.80.126.4, 208.80.125.4, 208.80.127.4, 208.94.149.4",sendgrid.net,"{'name': 'sendgrid.net', 'ns': 'ns10.dnsmadeeasy.com', 'mailbox': 'dns.dnsmadeeasy.com', 'serial': 2011274118, 'refresh': 14400, 'retry': 600, 'expire': 1728000, 'minttl': 180}, {'name': 'sendgrid.net', 'ns': 'ns10.dnsmadeeasy.com', 'mailbox': 'dns.dnsmadeeasy.com', 'serial': 2011274118, 'refresh': 14400, 'retry': 600, 'expire': 1728000, 'minttl': 180}",NOERROR,,,"google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, i52uk89q4nfe1mpgqv5qsmsj3j, mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all","2600:1800:10::1, 2600:1801:11::1, 2600:1802:12::1, 2600:1801:13::1, 2600:1802:14::1, 2600:1800:15::1","ns12.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com",,,"mx.sendgrid.net, mx2.sendgrid.net","godaddy.com, amazonaws.com"
[x],apigee-api-entitlement-prod.8528.aws.thomsonreuters.com,60,"52.2.25.92, 3.93.18.236",,"{'name': '8528.aws.thomsonreuters.com', 'ns': 'ns-1774.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8528.aws.thomsonreuters.com', 'ns': 'ns-1774.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8528.aws.thomsonreuters.com', 'ns': 'ns-1774.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8528.aws.thomsonreuters.com', 'ns': 'ns-1774.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8528.aws.thomsonreuters.com', 'ns': 'ns-1774.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8528.aws.thomsonreuters.com', 'ns': 'ns-1774.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],apigee-api-entitlement-sandbox.8335.aws.thomsonreuters.com,180,"3.224.38.191, 3.229.81.61",,"{'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '8335.aws.thomsonreuters.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],app.legaltracker-highq.thomsonreuters.com,300,192.29.10.82,"s3116.t.en25.com, p01d.t.en25.com","{'name': 't.en25.com', 'ns': 'ns1.p201.dns.oraclecloud.net', 'mailbox': 'hostmaster.t.en25.com', 'serial': 8007, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 1800}, {'name': 't.en25.com', 'ns': 'ns1.p201.dns.oraclecloud.net', 'mailbox': 'hostmaster.t.en25.com', 'serial': 8007, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 1800}, {'name': 't.en25.com', 'ns': 'ns1.p201.dns.oraclecloud.net', 'mailbox': 'hostmaster.t.en25.com', 'serial': 8007, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 1800}, {'name': 't.en25.com', 'ns': 'ns1.p201.dns.oraclecloud.net', 'mailbox': 'hostmaster.t.en25.com', 'serial': 8007, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],backend.lab01.taxone.thomsonreuters.com,277,"3.228.78.204, 67.202.60.209",a2026-taxon-9lly4wcmxtjr-377330720.us-east-1.elb.amazonaws.com,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,,,,,
[x],content.pendo-cobalt.thomsonreuters.com,300,,"5165410647670784-content.customer.pendo.io, dkc7976xoz2gf.cloudfront.net","{'name': 'dkc7976xoz2gf.cloudfront.net', 'ns': 'ns-1737.awsdns-25.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dkc7976xoz2gf.cloudfront.net', 'ns': 'ns-1737.awsdns-25.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"2600:9000:223e:9400:16:c094:cbc0:93a1, 2600:9000:223e:d200:16:c094:cbc0:93a1, 2600:9000:223e:e000:16:c094:cbc0:93a1, 2600:9000:223e:b000:16:c094:cbc0:93a1, 2600:9000:223e:4800:16:c094:cbc0:93a1, 2600:9000:223e:b400:16:c094:cbc0:93a1, 2600:9000:223e:e800:16:c094:cbc0:93a1, 2600:9000:223e:6200:16:c094:cbc0:93a1","ns-1165.awsdns-17.org, ns-1737.awsdns-25.co.uk, ns-228.awsdns-28.com, ns-899.awsdns-48.net",,,,
[x],deliveryinterface-qa.thomsonreuters.com,300,"35.153.90.54, 184.72.102.117, 54.237.57.102, 205.251.193.85",d-5jlftbj2dd.execute-api.us-east-1.amazonaws.com,"{'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,2600:9000:5301:5500::1,"ns-aws-5.thomsonreuters.com, ns-aws-6.thomsonreuters.net, ns-aws-7.thomsonreuters.org, ns-aws-8.thomsonreuters.co.uk",,,,
[x],deliveryinterface.thomsonreuters.com,232,"52.206.80.228, 54.85.152.119, 52.87.131.65",d-hwjiamna61.execute-api.us-east-1.amazonaws.com,"{'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'execute-api.us-east-1.amazonaws.com', 'ns': 'ns-1982.awsdns-55.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],h3egillespiemacandrewstrategy.uk.preview.3e.thomsonreuters.com,300,51.104.28.65,,"{'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,,,,
[x],h3esimmonssample.uk.preview.3e.thomsonreuters.com,300,"51.104.28.65, 205.251.193.85",,"{'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,2600:9000:5301:5500::1,"ns-aws-5.thomsonreuters.com, ns-aws-6.thomsonreuters.net, ns-aws-7.thomsonreuters.org, ns-aws-8.thomsonreuters.co.uk",,,,
