new,host,ttl,a,soa,has_internal_ips,internal_ips,status_code,cname,ns,mx,txt,aaaa,cdn,cdn-name
[x],0.jd.com,120.0,36.110.181.169,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,0.jd.com.gslb.qianxun.com,,,,,,
[x],000.jd.com,120.0,106.39.171.148,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,000.jd.com.gslb.qianxun.com,,,,,,
[x],007.jd.com,120.0,,"{'name': '007.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,,,,,,,
[x],0t.jd.com,120.0,"10.169.253.87, 172.29.5.22, 172.28.57.46, 172.18.230.90, 10.199.201.9, 172.20.36.216","{'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",True,"10.169.253.87, 172.29.5.22, 172.28.57.46, 172.18.230.90, 10.199.201.9, 172.20.36.216",NOERROR,prod-jsmd.jd.com,,,,,,
[x],1.jd.com,120.0,"172.20.37.218, 172.28.63.115, 10.169.253.34","{'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '1.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '1.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",True,"172.20.37.218, 172.28.63.115, 10.169.253.34",NOERROR,,,,,,,
[x],100.jd.com,119.0,103.107.90.250,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015182372, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,100.jd.com.gslb.qianxun.com,,,,,,
[x],10023.jd.com,119.0,111.13.28.138,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '10023.jd.com.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,10023.jd.com.gslb.qianxun.com,,,,,,
[x],101.jd.com,119.0,,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '101.jd.com.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015182372, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '101.jd.com.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,101.jd.com.gslb.qianxun.com,,,,,,
[x],1024.jd.com,120.0,10.187.95.102,"{'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '1024.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015251044, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",True,10.187.95.102,NOERROR,,,,,,,
[x],11-22.shop.jd.com,120.0,111.13.28.191,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015214775, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",,,NOERROR,ym.gslb.qianxun.com,,,,,,
