input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_dn,tls_subject_cn,tech_,final_url,cdn_name,webserver,cdn
admin.jooki.rocks,,401,14,admin.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-06T13:06:59Z,2023-10-04T13:06:58Z,admin.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ac4745753a80584ecc6db1cfed07a207,9c3e07c4b5a1e6b7d06ef5668be75d1b75c84b62bac32440734946b20acd7642,ctls,admin.jooki.rocks,443,https://admin.jooki.rocks:443,https,text/plain,GET,146.185.152.37,/,-1820392526,146.185.152.37,2,False,CN=admin.jooki.rocks,admin.jooki.rocks,Basic,,,,
alpha.jooki.rocks,,404,19,alpha.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-17T23:35:43Z,2024-01-13T22:59:00Z,my.jooki.rocks,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,37b4627443e9893493e4e319e0f8f212,aa642275ecb6a5aef74c166c641e90313cce7ce6607b81a61230bd6826dea294,ctls,alpha.jooki.rocks,443,https://alpha.jooki.rocks:443,https,text/plain,GET,146.185.152.37,/,-138391155,146.185.152.37,2,False,,,,,,,
beta.jooki.rocks,My Jooki - Download,200,4029,beta.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-02T08:50:58Z,2023-09-30T08:50:57Z,beta.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b1d7bd9d843d64c14a0b9a0b6ab4357e,51a6291d6a55b6ad8092c572eb73f1227c81ad1e4c8dcc4d48cdee519aa9e7c5,ctls,beta.jooki.rocks,443,https://beta.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,-319909135,146.185.152.37,58,False,CN=beta.jooki.rocks,beta.jooki.rocks,,,,,
blog.jooki.rocks,Jooki - blog,200,69274,blog.jooki.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-26T11:03:12Z,2023-08-24T11:03:11Z,blog.jooki.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,960fd321364c05ef011a655208e57ba9,c0e37303feac4b56bded73a46a3eed4fb5fe31fb1be758855e9854f17df0ef2a,ctls,blog.jooki.com,443,https://blog.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,1198047028,146.185.152.37,962,False,CN=blog.jooki.com,blog.jooki.com,Yoast SEO:17.5,https://blog.jooki.com/,,Apache/2.4.57 () OpenSSL/1.0.2k-fips PHP/8.0.28,
changelog.jooki.rocks,Jooki Changelog,200,9398,changelog.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-06T13:07:15Z,2023-10-04T13:07:14Z,changelog.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fca984b6463890cf2839af5df048d421,17da965d02942cc2264eac4b2ec07ca4c6037f0f53129da611260636742ebb81,ctls,changelog.jooki.rocks,443,https://changelog.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,-847023156,146.185.152.37,299,False,CN=changelog.jooki.rocks,changelog.jooki.rocks,,,,,
desktop.muuselabs.com,My Jooki,200,2354,desktop.muuselabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-20T22:17:49Z,2023-09-18T22:17:48Z,desktop.muuselabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e227f9296b184f8876a28f1306bac912,c165cd2786fb5269af13e360b1de480e850e8c12b3b427487a68eb28c7edcdda,ctls,desktop.muuselabs.com,443,https://desktop.muuselabs.com:443,https,text/html,GET,146.185.152.37,/,-319909135,146.185.152.37,26,False,CN=desktop.muuselabs.com,desktop.muuselabs.com,,,,,
eu.jooki.rocks,"Kid's Music and Stories Player | Screen-Free
– Jooki EU",200,184883,eu.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-20T00:53:33Z,2023-09-18T00:53:32Z,eu.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a284cda72918c9f3ba796ee77d231129,475d8c57ee82508a3bd5ae8ffca323126f7095e2507d013593656ab185a1e12c,ctls,eu.jooki.rocks,443,https://eu.jooki.rocks:443,https,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,2966,False,CN=eu.jooki.rocks,eu.jooki.rocks,Shopify,,,cloudflare,
feedback.jooki.rocks,FAQs | Jooki Support,200,16391,support.jooki.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-16T10:56:05Z,2023-09-14T10:56:04Z,support.jooki.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1809f7a807508fd76a0ccfd51d1de116,952383a5e8d8dc18030b69284077a5d54a3fd23fdf8d4a68acb60cb00940c2a5,ctls,support.jooki.com,443,https://feedback.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,-769450522,146.185.152.37,365,False,CN=support.jooki.com,support.jooki.com,Python,https://support.jooki.com/faq-landing,,Odoo.sh,
get.jooki.rocks,,530,1150,,,,,,,,,,,,,,,,,80,http://get.jooki.rocks:80,http,text/html,GET,104.18.27.189,/,-859619341,2606:4700::6812:1abd,32,False,,,Cloudflare,,cloudflare,cloudflare,True
jooki.rocks,"Home
 – Jooki USA",200,116987,jooki.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-26T00:00:00Z,2023-12-26T23:59:59Z,www.jooki.com,"CN=Encryption Everywhere DV TLS CA - G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Encryption Everywhere DV TLS CA - G1,DigiCert Inc,d77007ea7153429962456e5ed85a30ae,7622eafae908b5e9398b786a92d50ecf63444ab1480a84173c746835d8de81b4,ctls,jooki.com,443,https://jooki.rocks:443,https,text/html,GET,146.185.152.37,/,-1840324437,146.185.152.37,2182,False,CN=jooki.com,jooki.com,jQuery,https://jooki.com/,,cloudflare,
