input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,tls_expired,csp_domains_,final_url
app.groww.in,,404,16,app.groww.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T07:56:21Z,2023-09-06T07:56:20Z,CN=app.groww.in,app.groww.in,app.groww.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b803b3ba9fe99a4e2f7434f437c3927,192da61d5c667be78ffa15efcc9ae503b4e5035351470206ca2432ce526f15df,ctls,app.groww.in,,443,https://app.groww.in:443,https,,text/plain,GET,34.246.127.31,/,786476039,52.209.121.193,,2,False,,,,,,,
assets-netstorage.groww.in,,403,111,assets-netstorage.groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T07:06:53Z,2024-02-28T07:06:53Z,CN=*.groww.in,*.groww.in,groww.in,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",cae2250c259c8ea4c93deb2c87135747,dbad207915d31006879188900855fdfc6297e503a4cb5681b1d73e7ae458243b,ctls,assets-netstorage.groww.in,cloudflare,443,https://assets-netstorage.groww.in:443,https,cloudflare,application/xml,GET,104.18.39.134,/,2028370544,2606:4700:4400::ac40:947a,Cloudflare Bot Management,1,False,True,,,True,,,
cms-assets.groww.in,,403,111,cms-assets.groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T07:06:53Z,2024-02-28T07:06:53Z,CN=*.groww.in,*.groww.in,groww.in,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",cae2250c259c8ea4c93deb2c87135747,dbad207915d31006879188900855fdfc6297e503a4cb5681b1d73e7ae458243b,ctls,cms-assets.groww.in,cloudflare,443,https://cms-assets.groww.in:443,https,cloudflare,application/xml,GET,172.64.148.122,/,1343071695,2606:4700:4400::6812:2786,Cloudflare Bot Management,1,False,True,,,True,,,
cms-resources.groww.in,,403,111,cms-resources.groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T07:06:53Z,2024-02-28T07:06:53Z,CN=*.groww.in,*.groww.in,groww.in,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",cae2250c259c8ea4c93deb2c87135747,dbad207915d31006879188900855fdfc6297e503a4cb5681b1d73e7ae458243b,ctls,cms-resources.groww.in,cloudflare,443,https://cms-resources.groww.in:443,https,cloudflare,application/xml,GET,172.64.148.122,/,1343071695,2606:4700:4400::6812:2786,Cloudflare Bot Management,1,False,True,,,True,,,
cmsapi.groww.in,,403,111,cmsapi.groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T07:06:53Z,2024-02-28T07:06:53Z,CN=*.groww.in,*.groww.in,groww.in,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",cae2250c259c8ea4c93deb2c87135747,dbad207915d31006879188900855fdfc6297e503a4cb5681b1d73e7ae458243b,ctls,cmsapi.groww.in,cloudflare,443,https://cmsapi.groww.in:443,https,cloudflare,application/xml,GET,104.18.39.134,/,1343071695,2606:4700:4400::ac40:947a,Cloudflare Bot Management,1,False,True,,,True,,,
delivery.digest.groww.in,404 Not Found,404,112,delivery.digest.groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-22T23:59:59Z,"CN=trans.sbicard.com, O=SBI CARDS AND PAYMENT SERVICES LIMITED, ST=Haryana, C=IN",trans.sbicard.com,www.trans.sbicard.com,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,c5b05d1c990603af9852a684450e0e85,6c12b4789fb7c35061e5a510b1c82ca13d2563e7e21e528bd52f7bec866245e0,ctls,delivery.digest.groww.in,google,443,https://delivery.digest.groww.in:443,https,nginx,text/html,GET,34.117.197.73,/,1362163372,34.117.197.73,Nginx,7,False,True,True,SBI CARDS AND PAYMENT SERVICES LIMITED,,,,
delivery.groww.in,404 Not Found,404,112,delivery.groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T11:48:48Z,2023-07-30T12:42:22Z,CN=delivery.groww.in,delivery.groww.in,delivery.groww.in,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,bb7f02b4699422cd26637e23e8ee766c,338b8ed3ccae2c16f7510c19981677f44bc8a47c55225856e10568bc48213f93,ctls,delivery.groww.in,google,443,https://delivery.groww.in:443,https,nginx,text/html,GET,34.117.197.73,/,1362163372,34.117.197.73,Nginx,7,False,True,,,,,,
digest.groww.in,Daily and Weekly Digest - Latest News and Updates on Digest at Groww,200,26617,groww.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T07:06:53Z,2024-02-28T07:06:53Z,CN=*.groww.in,*.groww.in,groww.in,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",cae2250c259c8ea4c93deb2c87135747,dbad207915d31006879188900855fdfc6297e503a4cb5681b1d73e7ae458243b,ctls,groww.in,cloudflare,443,https://digest.groww.in:443,https,cloudflare,text/html,GET,172.64.148.122,/,2112052397,2606:4700:4400::ac40:947a,React,6,False,True,,,True,,https://*.freshchat.com/,https://groww.in/digest
http://cdn.widgets.webengage.com/,Welcome to Webengage,200,947,cdn.widgets.webengage.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=webengage.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",webengage.com,*.widgets.webengage.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",793694e40a1dcef14ba34e9c7767677c,d4daba57c839250d701ac55e0b2d172aa8b5ff1a3c30c0875e2637ca265086ff,ctls,cdn.widgets.webengage.com,cloudflare,443,https://cdn.widgets.webengage.com:443,https,cloudflare,text/html,GET,104.18.29.147,/,1092173176,2606:4700::6812:1c93,Cloudflare,13,False,True,True,"Cloudflare, Inc.",True,,,
https://accounts.google.com,Sign in - Google Accounts,200,581645,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-22T08:22:40Z,2023-08-14T08:22:39Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,51d472ed8bfa0c9c5a5d5c8d7b2b4c13,6460d3507cc61af558a2b0abfa3ade14800c80c13e32c14a6b270142762e8780,ctls,accounts.google.com,,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.181.237,/,708578229,2a00:1450:4001:812::200d,HTTP/3,46,False,,,,True,,,https://accounts.google.com/v3/signin/identifier?dsh=S1963961079%3A1687230927174223&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneFPlMIeZiBtgI7dCZne70ZJGnfYqYXVXCp3aPNWCEObB6bnFzz_zcKasxK5sn8zWaKZXqpc&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin
