input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,webserver,final_url,csp_domains_
*.addthis.com,AddThis,200,7972,www.addthis.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-07T00:00:00Z,2024-02-07T23:59:59Z,"CN=odc-addthis-prod-01.oracle.com, O=Oracle Corporation, L=Austin, ST=Texas, C=US",odc-addthis-prod-01.oracle.com,addthis.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,44cc2f79ba10b1a453178b4c8fcde651,61f5a9c9257b1a7b5aa3340b83c26e318ec6c997da70ad1af1d896db30cac8a0,,ctls,www.addthis.com,,443,https://addthis.com:443,https,text/html,GET,23.38.84.123,/,-1945796879,23.38.84.123,HSTS,127,False,,Oracle Corporation,Oracle API Gateway,https://www.addthis.com/,
*.jobvite.com,Streamline Complex Talent Acquisition Activities with Jobvite,200,409281,www.jobvite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-12T00:00:00Z,2023-09-12T23:59:59Z,"CN=www.jobvite.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.jobvite.com,www.jobvite.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dbb7bd77ea72a56ecf1c5662fed08e8a,e62d3a15f5749c45156a6fd35b7733b54aa7eaa65efb9caef8b8695519e59b2f,,ctls,www.jobvite.com,,443,https://jobvite.com:443,https,text/html,GET,34.195.26.151,/,-1189113128,44.210.250.139,WordPress,2803,False,,"Cloudflare, Inc.",cloudflare,https://www.jobvite.com,
app.varonis.io,DatAdvantage Cloud,200,5838,app.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,app.varonis.io,incapsula,443,https://app.varonis.io:443,https,text/html,GET,45.60.154.169,/,-1489841842,45.60.154.169,Imperva,27,False,True,,,,https://uploads.intercomcdn.eu
armaninollp.varonis.io,Varonis,200,2861,armaninollp.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,armaninollp.varonis.io,incapsula,443,https://armaninollp.varonis.io:443,https,text/html,GET,45.60.154.169,/,-235670227,45.60.154.169,Imperva,53,False,True,,,,https:
ask.varonis.com,Log in with Atlassian account,200,6778,id.atlassian.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-06-13T23:59:59Z,"CN=*.atlassian.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.atlassian.com,atlassian.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f32503becfe209a68c0d6a9267da521f,0e176f42d94d031e009c8a36c8e6f79c365d0a240d7c73dae9dab1d43afaf5f5,True,ctls,id.atlassian.com,,443,https://ask.varonis.com:443,https,text/html,GET,13.107.253.45,/,1120311351,2620:1ec:48:1::45,HSTS,1,False,,Atlassian Pty Ltd,AtlassianEdge,https://id.atlassian.com/login?continue=https%3A%2F%2Fid.atlassian.com%2Fjoin%2Fuser-access%3Fresource%3Dari%253Acloud%253Aconfluence%253A%253Asite%252F4c58313c-4894-46fa-a857-14f94749436d%26continue%3Dhttps%253A%252F%252Fvaronis.atlassian.net%252Fwiki%252Fspaces%252FEN%252Fpages%252F215778194%252FQuandora%252Bmigration&application=confluence,https://metal.prod.atl-paas.net/
bcg29o.142972m.varonis.com,Trust & Safety Policies,200,101566,policy.hubspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-21T00:14:30Z,2023-08-19T00:14:29Z,CN=policy.hubspot.com,policy.hubspot.com,policy.hubspot.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,af3d4c9fce578b0d014e028680fe38a6,f5a42f42320fbb732a115205017306548a66bb01b8163a8f5b78964cfad8e0f1,,ctls,policy.hubspot.com,,80,http://bcg29o.142972m.varonis.com:80,http,text/html,GET,3.210.190.58,/,-2078428639,3.210.190.58,HubSpot CMS Hub,1674,False,,,cloudflare,https://policy.hubspot.com/abuse-complaints,
bgc.varonis.io,Varonis,200,2861,bgc.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,bgc.varonis.io,incapsula,443,https://bgc.varonis.io:443,https,text/html,GET,45.60.154.169,/,-235670227,45.60.154.169,Imperva,53,False,True,,,,https:
blue.varonis.io,Varonis,200,2860,blue.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,blue.varonis.io,incapsula,443,https://blue.varonis.io:443,https,text/html,GET,45.60.154.169,/,-235670227,45.60.154.169,Imperva,53,False,True,,,,https:
btc.varonis.io,Varonis,200,2861,btc.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,btc.varonis.io,incapsula,443,https://btc.varonis.io:443,https,text/html,GET,45.60.154.169,/,-235670227,45.60.154.169,Imperva,53,False,True,,,,https:
careers.varonis.com,Varonis Careers,200,6853,careers.varonis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,careers.varonis.com,incapsula,443,https://careers.varonis.com:443,https,text/html,GET,45.60.154.169,/,-1851491385,45.60.154.169,Imperva,15,False,True,,,,https:
