input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,final_url,tls_expired,tls_self_signed,location
join.avc.berec.europa.eu,Cisco Meeting App,200,384,join.avc.berec.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-17T23:59:59Z,"CN=berec-expe01.avc.berec.europa.eu, O=Agency for Support for BEREC, L=Riga, C=LV",berec-expe01.avc.berec.europa.eu,Agency for Support for BEREC,avc.berec.europa.eu,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,24a3afd57d683f1592e8b0dc30b639ec,827c28fa28b86c60d34179644a0ef8d0f6ef43504a391efded9c59d59359f21d,ctls,join.avc.berec.europa.eu,443,https://join.avc.berec.europa.eu:443,https,CE_C,text/html,GET,195.227.88.99,/,-1840324437,195.227.88.99,1,False,,HSTS,,,,,,,,
join.curia.europa.eu,!!! Nouveau Cisco Meeting Server,200,2096,curia.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-20T00:00:00Z,2023-07-21T23:59:59Z,"CN=curia.europa.eu, O=Cour de Justice de l'Union Européenne, L=Luxembourg, C=LU",curia.europa.eu,Cour de Justice de l'Union Européenne,curia.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,dea9553b1f73ca68d70f9181d4326720,c1e1eb10d12934a0a653d0c28d761cfc9f3d04cd2883ef6b0682418343125f28,ctls,curia.europa.eu,443,https://join.curia.europa.eu:443,https,Europa,text/html,GET,80.246.100.51,/,-1594518032,80.246.100.51,68,False,,,,,,,https://curia.europa.eu/join/,,,
join.ec.europa.eu,403 - Forbidden: Access is denied.,403,1233,join.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T10:52:02Z,2023-12-09T11:46:05Z,"CN=join.ucc.tech.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",join.ucc.tech.ec.europa.eu,European Commission,webappsext07.ucc.tech.ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4f1d73846133139de1e2c90429a07f10,fa22499675f37c1efc455ee95e60454f984b5fa7ceccaa7f92c722e7b2b93379,ctls,join.ec.europa.eu,443,https://join.ec.europa.eu:443,https,Europa,text/html,GET,147.67.211.60,/,-1807411396,147.67.35.60,30,False,,HSTS,,,,,,,,
join.frontex.europa.eu,Cisco Meeting Server web app,200,991,join.frontex.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=expe.frontex.europa.eu, O=European Border and Coast Guard Agency (Frontex), L=Warsaw, C=PL",expe.frontex.europa.eu,European Border and Coast Guard Agency (Frontex),frontex.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cb012ffdaee91bf7b01a7a1289552ed5,41278da4f8eda565e3adc52c51e48ef5ff430ab440ccf12259fb788b6f9c183b,ctls,join.frontex.europa.eu,443,https://join.frontex.europa.eu:443,https,nginx,text/html,GET,91.212.30.131,/,-353379864,91.212.30.133,1,False,,Nginx,,,,,,,,
join.meet.curia.europa.eu,Cisco Meeting Server web app,200,991,join.meet.curia.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2024-04-20T23:59:59Z,"CN=expressway-E-CMS-cluster.curia.europa.eu, O=Cour de Justice de l'Union Européenne, L=Luxembourg, C=LU",expressway-E-CMS-cluster.curia.europa.eu,Cour de Justice de l'Union Européenne,meet.curia.europa.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4d77b20e97cd48e0ebbd34904fe455e7,36a69f7e0e87f99e41bfab874d448d09ab2413bee55f3fe9d60b178e4b925e3b,ctls,join.meet.curia.europa.eu,443,https://join.meet.curia.europa.eu:443,https,nginx,text/html,GET,80.246.97.155,/,-1610685307,80.246.97.156,1,False,https:,Nginx,,,,,,,,
join.publications.europa.eu,403 - Forbidden: Access is denied.,403,1233,join.publications.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T10:52:02Z,2023-12-09T11:46:05Z,"CN=join.ucc.tech.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",join.ucc.tech.ec.europa.eu,European Commission,webappsext07.ucc.tech.ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4f1d73846133139de1e2c90429a07f10,fa22499675f37c1efc455ee95e60454f984b5fa7ceccaa7f92c722e7b2b93379,ctls,join.publications.europa.eu,443,https://join.publications.europa.eu:443,https,Europa,text/html,GET,147.67.35.60,/,-1807411396,147.67.211.60,30,False,,HSTS,,,,,,,,
join.ucc.tech.ec.europa.eu,Access Denied,403,642,join.ucc.tech.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T10:52:02Z,2023-12-09T11:46:05Z,"CN=join.ucc.tech.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",join.ucc.tech.ec.europa.eu,European Commission,webappsext07.ucc.tech.ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4f1d73846133139de1e2c90429a07f10,fa22499675f37c1efc455ee95e60454f984b5fa7ceccaa7f92c722e7b2b93379,ctls,join.ucc.tech.ec.europa.eu,443,https://join.ucc.tech.ec.europa.eu:443,https,,text/html,GET,147.67.211.60,/,-444315832,147.67.35.60,37,False,,,,,,,,,,
join.yumprd.tech.ec.europa.eu,403 - Forbidden: Access is denied.,403,1233,join.yumprd.tech.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T10:52:02Z,2023-12-09T11:46:05Z,"CN=join.ucc.tech.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",join.ucc.tech.ec.europa.eu,European Commission,webappsext07.ucc.tech.ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4f1d73846133139de1e2c90429a07f10,fa22499675f37c1efc455ee95e60454f984b5fa7ceccaa7f92c722e7b2b93379,ctls,join.yumprd.tech.ec.europa.eu,443,https://join.yumprd.tech.ec.europa.eu:443,https,Europa,text/html,GET,147.67.211.60,/,-1807411396,147.67.35.60,30,False,,HSTS,,,,,,,,
joinup.ec.europa.eu,Joinup,200,152249,joinup.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-14T23:59:59Z,CN=www.joinup.ec.europa.eu,www.joinup.ec.europa.eu,,joinup.ec.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b165de71726a522acec14c0a6f325302,a255ce2bf62a6719e467f78ce7414e689a59517ac8373c5de16a9ce752b7c0a4,ctls,joinup.ec.europa.eu,443,https://joinup.ec.europa.eu:443,https,,text/html,GET,52.222.214.62,/,-780928015,2600:9000:223d:1200:13:4e3b:5680:93a1,2405,False,,PHP,,,cloudfront,True,,,,
jt.ec.europa.eu,Juvenes Translatores,200,72719,commission.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-12-09T23:59:59Z,CN=commission.europa.eu,commission.europa.eu,,*.commission.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a3abd29b5f6a0b833cbf2fcb49d2bd36,f4d5867b1b78fe9433798edf9ad00f3a500e33cba08920c82c0dcc644b8683c1,ctls,commission.europa.eu,443,https://jt.ec.europa.eu:443,https,,text/html,GET,99.86.4.38,/,-1077511222,2600:9000:2057:8200:1e:5890:8c40:93a1,602,False,,PHP,True,,cloudfront,True,https://commission.europa.eu:443/education/skills-and-qualifications/develop-your-skills/language-skills/juvenes-translatores_en,,,
