new,host,ttl,a,aaaa,cname,soa,status_code,ns,cdn,cdn-name,mx,txt,caa,has_internal_ips,internal_ips
[x],a-talent.ecb.europa.eu,900,,,"uatecb.avature.net, iatsapp-prod-gu07.avature.net","{'name': 'avature.net', 'ns': 'ns-753.awsdns-30.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 360}, {'name': 'avature.net', 'ns': 'ns-753.awsdns-30.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 360}, {'name': 'avature.net', 'ns': 'ns-753.awsdns-30.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 360}",NOERROR,,,,iatsapp-prod-gu07.avature.net,v=spf1 redirect=spf.avature.net,,,
[x],acc.work-plans-reports.dcf.ec.europa.eu,900,,,,"{'name': 'acc.work-plans-reports.dcf.ec.europa.eu', 'ns': 'ns-1920.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acc.work-plans-reports.dcf.ec.europa.eu', 'ns': 'ns-1920.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acc.work-plans-reports.dcf.ec.europa.eu', 'ns': 'ns-1920.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acc.work-plans-reports.dcf.ec.europa.eu', 'ns': 'ns-1920.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acc.work-plans-reports.dcf.ec.europa.eu', 'ns': 'ns-1920.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acc.work-plans-reports.dcf.ec.europa.eu', 'ns': 'ns-1920.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-945.awsdns-54.net, ns-1476.awsdns-56.org, ns-1920.awsdns-48.co.uk, ns-52.awsdns-06.com",,,,,,,
[x],acceptance.data.health.europa.eu,60,"13.32.27.84, 13.32.27.39, 13.32.27.87, 13.32.27.15",,,"{'name': 'acceptance.data.health.europa.eu', 'ns': 'ns-1205.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acceptance.data.health.europa.eu', 'ns': 'ns-1205.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'acceptance.data.health.europa.eu', 'ns': 'ns-1205.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,True,cloudfront,,,,,
[x],aquaculture.ec.europa.eu,1800,"108.138.7.114, 108.138.7.11, 108.138.7.28, 108.138.7.106","2600:9000:2490:b600:19:a41a:d3c0:93a1, 2600:9000:2490:600:19:a41a:d3c0:93a1, 2600:9000:2490:8a00:19:a41a:d3c0:93a1, 2600:9000:2490:ee00:19:a41a:d3c0:93a1, 2600:9000:2490:e400:19:a41a:d3c0:93a1, 2600:9000:2490:2200:19:a41a:d3c0:93a1, 2600:9000:2490:a600:19:a41a:d3c0:93a1, 2600:9000:2490:f800:19:a41a:d3c0:93a1",dt90535f0ujpr.cloudfront.net,"{'name': 'dt90535f0ujpr.cloudfront.net', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dt90535f0ujpr.cloudfront.net', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dt90535f0ujpr.cloudfront.net', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dt90535f0ujpr.cloudfront.net', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-747.awsdns-29.net, ns-1211.awsdns-23.org, ns-1673.awsdns-17.co.uk, ns-270.awsdns-33.com",True,cloudfront,,,,,
[x],asa-bru.europarl.europa.eu,128,136.173.170.105,,,"{'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}",NOERROR,,,,,,,,
[x],auth.in.ep.europa.eu,300,136.173.72.97,,auth.wip.ep.europa.eu,"{'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,,,,
[x],auth.wip.ep.europa.eu,60,,,,"{'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'wip.ep.europa.eu', 'ns': 'gslb-lux.wip.ep.europa.eu', 'mailbox': 'dnsadmin.wip.ep.europa.eu', 'serial': 2024020804, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,,,,
[x],authnapp.ecb.europa.eu,900,,,authnapp-ecb-europa-eu.ax4z.com,"{'name': 'ax4z.com', 'ns': 'a.ax4z.com', 'mailbox': 'support.myracloud.com', 'serial': 1111111111, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 2560}, {'name': 'ax4z.com', 'ns': 'a.ax4z.com', 'mailbox': 'support.myracloud.com', 'serial': 1111111111, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 2560}, {'name': 'ax4z.com', 'ns': 'a.ax4z.com', 'mailbox': 'support.myracloud.com', 'serial': 1111111111, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 2560}, {'name': 'ax4z.com', 'ns': 'a.ax4z.com', 'mailbox': 'support.myracloud.com', 'serial': 1111111111, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 2560}",NOERROR,,,,,,,,
[x],candform.cor.europa.eu,300,193.41.42.49,,cor49.cor.europa.eu,"{'name': 'cor.europa.eu', 'ns': 'ns.cor.europa.eu', 'mailbox': 'hostmaster.ns.cor.europa.eu', 'serial': 2018091211, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 300}, {'name': 'cor.europa.eu', 'ns': 'ns.cor.europa.eu', 'mailbox': 'hostmaster.ns.cor.europa.eu', 'serial': 2018091211, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 300}, {'name': 'cor.europa.eu', 'ns': 'ns.cor.europa.eu', 'mailbox': 'hostmaster.ns.cor.europa.eu', 'serial': 2018091211, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 300}, {'name': 'cor.europa.eu', 'ns': 'ns.cor.europa.eu', 'mailbox': 'hostmaster.ns.cor.europa.eu', 'serial': 2018091211, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 300}, {'name': 'cor.europa.eu', 'ns': 'ns.cor.europa.eu', 'mailbox': 'hostmaster.ns.cor.europa.eu', 'serial': 2018091211, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 300}, {'name': 'cor.europa.eu', 'ns': 'ns.cor.europa.eu', 'mailbox': 'hostmaster.ns.cor.europa.eu', 'serial': 2018091211, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 300}",NOERROR,,,,,,,,
[x],citizen-led-renovation.ec.europa.eu,1800,"18.165.140.15, 18.165.140.102, 18.165.140.28, 18.165.140.129","2600:9000:2662:2600:1:a872:3f80:93a1, 2600:9000:2662:9000:1:a872:3f80:93a1, 2600:9000:2662:ba00:1:a872:3f80:93a1, 2600:9000:2662:600:1:a872:3f80:93a1, 2600:9000:2662:8600:1:a872:3f80:93a1, 2600:9000:2662:c00:1:a872:3f80:93a1, 2600:9000:2662:b200:1:a872:3f80:93a1, 2600:9000:2662:a800:1:a872:3f80:93a1",d2sjyor2obdibi.cloudfront.net,"{'name': 'd2sjyor2obdibi.cloudfront.net', 'ns': 'ns-579.awsdns-08.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2sjyor2obdibi.cloudfront.net', 'ns': 'ns-579.awsdns-08.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2sjyor2obdibi.cloudfront.net', 'ns': 'ns-579.awsdns-08.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2sjyor2obdibi.cloudfront.net', 'ns': 'ns-579.awsdns-08.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1299.awsdns-34.org, ns-1669.awsdns-16.co.uk, ns-346.awsdns-43.com, ns-579.awsdns-08.net",True,cloudfront,,,,,
