input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,final_url
mehrdadtavana.fm.quizlet.com,403 Forbidden,403,151,mehrdadtavana.fm.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,mehrdadtavana.fm.quizlet.com,cloudflare,443,https://mehrdadtavana.fm.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
misc.quizlet.com,Captcha Challenge…,403,163715,misc.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,misc.quizlet.com,cloudflare,443,https://misc.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,1222153943,104.17.187.102,Cloudflare Bot Management,99,False,True,True,,
mobile.quizlet.com,Captcha Challenge…,403,163738,mobile.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mobile.quizlet.com,cloudflare,443,https://mobile.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-212990705,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
mongodb.quizlet.com,Captcha Challenge…,403,163765,mongodb.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mongodb.quizlet.com,cloudflare,443,https://mongodb.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,448871187,104.17.187.102,Cloudflare Bot Management,99,False,True,True,,
mp.quizlet.com,Captcha Challenge…,403,163730,mp.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mp.quizlet.com,cloudflare,443,https://mp.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1174053066,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
mpdhzz.quizlet.com,Captcha Challenge…,403,163738,mpdhzz.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mpdhzz.quizlet.com,cloudflare,443,https://mpdhzz.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1151376746,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
mta-sts.quizlet.com,Captcha Challenge…,403,163743,mta-sts.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mta-sts.quizlet.com,cloudflare,443,https://mta-sts.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1824611518,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
mx.quizlet.com,Captcha Challenge…,403,163709,mx.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mx.quizlet.com,cloudflare,443,https://mx.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1406216220,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
mx01.quizlet.com,Captcha Challenge…,403,163736,mx01.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mx01.quizlet.com,cloudflare,443,https://mx01.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,-695262623,104.17.187.102,Cloudflare Bot Management,99,False,True,True,,
mx2.quizlet.com,Captcha Challenge…,403,163689,mx2.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mx2.quizlet.com,cloudflare,443,https://mx2.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1586274162,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
