input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,csp_domains_,tls_mismatched,tls_subject_org_,final_url
analytics-sdk-dev.onfido.com,,403,43,analytics-sdk-dev.onfido.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-03-10T23:59:59Z,CN=analytics-sdk-dev.onfido.com,analytics-sdk-dev.onfido.com,analytics-sdk-dev.onfido.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c588c43f81acaafb78dc50895224d1bd,25ecc054058b10dcc29ad3b963e137d633dfb3e422575c9ee99857d69beb0309,,ctls,analytics-sdk-dev.onfido.com,443,https://analytics-sdk-dev.onfido.com:443,https,,application/json,GET,34.246.88.24,/,1389954466,3.248.35.47,1,False,,,,,,,
api-1.onfido.com,Onfido API,200,269,api-1.onfido.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T16:17:34Z,2024-05-04T16:17:33Z,CN=api-1.onfido.com,api-1.onfido.com,api-1.onfido.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,84de71abf37dbb1986cbaaa48cc01426,0686614084edda5552add7629ae0baef24b40d2c16b25aa53d3f32d727fdd5f1,,ctls,api-1.onfido.com,443,https://api-1.onfido.com:443,https,,text/html,GET,34.248.236.189,/,-1840324437,63.32.32.21,16,False,,HSTS,,https://*.onfido.com/,,,
api.eu.onfido.com,Onfido API,200,269,api.eu.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=api.onfido.com,api.onfido.com,api.eu.onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4f4bf8e0dc83cb07db1d7f37f09efc8f,0c96f558471cf752ce153c68fec624e2118a19834f0dba272394d7aba3a397e2,,ctls,api.eu.onfido.com,443,https://api.eu.onfido.com:443,https,,text/html,GET,65.9.66.127,/,968070783,65.9.66.51,16,False,cloudfront,HTTP/3,True,,,,
api.onfido.com,Onfido API,200,269,api.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=api.onfido.com,api.onfido.com,api.eu.onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4f4bf8e0dc83cb07db1d7f37f09efc8f,0c96f558471cf752ce153c68fec624e2118a19834f0dba272394d7aba3a397e2,,ctls,api.onfido.com,443,https://api.onfido.com:443,https,,text/html,GET,65.9.86.46,/,968070783,65.9.86.120,16,False,cloudfront,HTTP/3,True,,,,
api.us.onfido.com,Onfido API,200,269,api.us.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=api.us.onfido.com,api.us.onfido.com,api.us.onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8e5d8e1dd545a8f7b89bd36f8eb789c,394d4809551c265588ac02df8c6635e773097cb9c2cd52a6f314c15943c434e3,,ctls,api.us.onfido.com,443,https://api.us.onfido.com:443,https,,text/html,GET,52.222.139.19,/,968070783,52.222.139.118,16,False,cloudfront,HTTP/3,True,,,,
applicants.us.onfido.com,404 Not Found,404,146,applicants.us.onfido.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-23T00:00:00Z,2024-07-21T23:59:59Z,CN=*.us.onfido.com,*.us.onfido.com,us.onfido.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6736b363bb295f5877ada4c4fa9ff933,2ca3b0d2668b7c2e7769637ae674798c389e5e686ccde44c831da649ef4a2c32,True,ctls,applicants.us.onfido.com,443,https://applicants.us.onfido.com:443,https,,text/html,GET,52.72.145.106,/,1494302000,34.205.239.84,8,False,,,,,,,
cdn.onfido.com,,403,243,cdn.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-11T23:59:59Z,CN=*.onfido.com,*.onfido.com,onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,657e4a6302381f12d296954a4de0dd83,2ba1c4bc83624c6983d9236faa2a3bdbfe92d9b2b1b014ad0b4e69d9c9977793,True,ctls,cdn.onfido.com,443,https://cdn.onfido.com:443,https,AmazonS3,application/xml,GET,18.66.97.45,/,-1240350807,2600:9000:223c:5a00:1c:f97c:a00:93a1,2,False,cloudfront,HTTP/3,True,,,,
dashboard-api.onfido.com,Onfido,200,4408,dashboard.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-11T23:59:59Z,CN=*.onfido.com,*.onfido.com,onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,657e4a6302381f12d296954a4de0dd83,2ba1c4bc83624c6983d9236faa2a3bdbfe92d9b2b1b014ad0b4e69d9c9977793,True,ctls,dashboard.onfido.com,443,https://dashboard-api.onfido.com:443,https,AmazonS3,text/html,GET,34.248.236.189,/,1203627467,63.32.32.21,38,False,,HTTP/3,,,,,https://dashboard.onfido.com/?
dashboard.ca.onfido.com,Onfido,200,4408,dashboard.ca.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-13T23:59:59Z,CN=*.ca.onfido.com,*.ca.onfido.com,*.ca.onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4a5dde6756a410c034a70f5b6324dbb0,5166682560726f7a8bf9c536a2b0df3ca9b49b5f2853f87ecff7171c840f632c,True,ctls,dashboard.ca.onfido.com,443,https://dashboard.ca.onfido.com:443,https,AmazonS3,text/html,GET,13.225.78.66,/,-664752161,13.225.78.73,38,False,cloudfront,HTTP/3,True,,,,
dashboard.us.onfido.com,Onfido,200,4408,dashboard.us.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-23T00:00:00Z,2024-07-21T23:59:59Z,CN=*.us.onfido.com,*.us.onfido.com,us.onfido.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6736b363bb295f5877ada4c4fa9ff933,2ca3b0d2668b7c2e7769637ae674798c389e5e686ccde44c831da649ef4a2c32,True,ctls,dashboard.us.onfido.com,443,https://dashboard.us.onfido.com:443,https,AmazonS3,text/html,GET,13.227.219.49,/,1902246311,13.227.219.123,38,False,cloudfront,HTTP/3,True,,,,
developers.onfido.com,Developer Hub Guides | Onfido Developer Hub,200,123977,developers.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-11T23:59:59Z,CN=*.onfido.com,*.onfido.com,onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,657e4a6302381f12d296954a4de0dd83,2ba1c4bc83624c6983d9236faa2a3bdbfe92d9b2b1b014ad0b4e69d9c9977793,True,ctls,developers.onfido.com,443,https://developers.onfido.com:443,https,AmazonS3,text/html,GET,65.9.86.35,/,1494302000,65.9.86.75,93,False,cloudfront,webpack,True,https://developers.onfido.com,,,
documentation.onfido.com,Onfido API v3.6 Reference,200,1254872,documentation.onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-11T23:59:59Z,CN=*.onfido.com,*.onfido.com,onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,657e4a6302381f12d296954a4de0dd83,2ba1c4bc83624c6983d9236faa2a3bdbfe92d9b2b1b014ad0b4e69d9c9977793,True,ctls,documentation.onfido.com,443,https://documentation.onfido.com:443,https,AmazonS3,text/html,GET,13.225.78.57,/,-1049441694,13.225.78.88,3155,False,cloudfront,webpack,True,,,,
go.onfido.com,Digital identity made simple,200,212314,onfido.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-11T23:59:59Z,CN=*.onfido.com,*.onfido.com,onfido.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,657e4a6302381f12d296954a4de0dd83,2ba1c4bc83624c6983d9236faa2a3bdbfe92d9b2b1b014ad0b4e69d9c9977793,True,ctls,onfido.com,443,https://go.onfido.com:443,https,nginx,text/html,GET,3.92.120.28,/,-1840324437,18.208.125.13,2146,False,,Yoast SEO:20.12,,https://*.onfido.com/,,,https://onfido.com/
