input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_wildcard_certificate,webserver,tech_,final_url
app.passit.io,Passit,200,11744,app.passit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:21:17Z,2023-07-28T00:21:16Z,CN=passit.io,passit.io,*.passit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,df976c3dc5a4d0316c4b696911462506,f1672a9fe05d795221b604231e023ea92a78595fec20e621633a18ad9baba1c7,ctls,app.passit.io,cloudflare,443,https://app.passit.io:443,https,text/html,GET,172.67.171.35,/,1731071363,2606:4700:3036::6815:2f78,97,False,True,True,cloudflare,HTTP/3,
email.passit.io,,404,19,email.passit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.passit.io,google,443,https://email.passit.io:443,https,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,2,False,True,,,,
passit.io,Passit,200,21002,passit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:21:17Z,2023-07-28T00:21:16Z,CN=passit.io,passit.io,*.passit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,df976c3dc5a4d0316c4b696911462506,f1672a9fe05d795221b604231e023ea92a78595fec20e621633a18ad9baba1c7,ctls,passit.io,cloudflare,443,https://passit.io:443,https,text/html,GET,104.21.47.120,/,245966716,2606:4700:3036::ac43:ab23,342,False,True,True,cloudflare,MailChimp,
www.passit.io,Passit,200,21002,passit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:21:17Z,2023-07-28T00:21:16Z,CN=passit.io,passit.io,*.passit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,df976c3dc5a4d0316c4b696911462506,f1672a9fe05d795221b604231e023ea92a78595fec20e621633a18ad9baba1c7,ctls,passit.io,cloudflare,443,https://www.passit.io:443,https,text/html,GET,104.21.47.120,/,245966716,2606:4700:3036::ac43:ab23,342,False,True,True,cloudflare,MailChimp,https://passit.io/
