new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,txt,mx,caa,ns
[x],platform.purevpn.com,"96.45.82.4, 96.45.83.166, 96.45.83.50, 96.45.82.182","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],proxy.purevpn.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],pure-ai-be.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],pure-ai-comm.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],purevpn-stripe-webhooks.purevpn.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],purevpn.com,"104.18.24.105, 104.18.25.105","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,True,cloudflare,"MS=ms87241975, bugcrowd-verification=d5f9212dbf387c8ad1ac4ddd1e9ae35a, v=spf1 include:_spf.google.com include:spf.mandrillapp.com include:mail.zendesk.com include:_spf.postaffiliatepro.com include:amazonses.com ~all, google-site-verification=HlfLSTmEAoAAH6yV9j77HCEfKGtYya2JTLgG2WsLA0Y, google-site-verification=X8NxAtx6Aft4BTJyb5-yBsZr6qgJjMo-3P-UdFDUAu0, MS=34234D5BB5A544EC138014C85FF4C78EEFFF652E, MS=ms72811485, google-site-verification=sNEsg5v1Z2V5mZDfwThgkajJZT8JlWX0ZEsfaqPlhgg","alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com",,
[x],qa-staging-billing.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],referral-scheduler.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],reseller.purevpn.com,"104.21.18.20, 172.67.179.161","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,reseller.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],resellers.purevpn.com,166.78.1.40,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
