new,host,ttl,a,mx,soa,ns,txt,status_code
[x],bmc.nl,60,"52.31.73.202, 54.228.99.118","alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com","{'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-708.awsdns-24.net, ns-100.awsdns-12.com, ns-1444.awsdns-52.org, ns-1697.awsdns-20.co.uk","google-site-verification=D5wUmtP5y0uBe_xuf5nQxebUqLd_bYP-QoS3l5qGH8Q, SFMC-ApANKmozIO1utH5c35CHC9Octf39S7a1Sgle9pDH, MS=ms34147392, MS=25E506741EB3F62F063C2E1B781E77F47B89DF15, atlassian-domain-verification=k68y70oNgJC4eZeAmJIHZ2aO4iWqzW5JtiXbnPgOhgTgab/RxiEWAfW1etrnw0qy, v=spf1 include:spf.formdesk.com include:servers.mcsv.net include:_spf.google.com include:spf.viper365.nl a:c.spf.service-now.com ip4:54.240.90.157 ip4:54.240.90.158 ip4:185.2.25.42/32 ip4:145.131.174.99/32 ~all, MS=ms86770196, google-site-verification=IMDp3qOb9XyejyzwsVuObJ_HcCGbZCxHM84esd4pJ9E, bw+i/t3MjrReHCTVVaBbgWs23sLbvhjqvFfeCDUD1Sdw91oGNopbFNtzz1sQKWiRXEt7Xgsfr4HBAXmS98nUUw==, onetrust-domain-verification=6233bdadbc674076886a91a1b23fd133, jdb9zqbygcsc7x5ltbkcn4s3fb53dzt5",NOERROR
,onderzoek.bmc.nl,40,"99.80.84.206, 34.241.247.240",,"{'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,v=spf1 a:onderzoek.bmc.nl ip4:213.53.109.24 all,NOERROR
,www.bmc.nl,60,"52.31.73.202, 54.228.99.118",,"{'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bmc.nl', 'ns': 'ns-1697.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR
