input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed
bmc.nl,Partners in verbetering | BMC,200,134541,www.bmc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.bmc.nl, O=Randstad Groep Nederland B.V., L=Diemen, C=NL",*.bmc.nl,Randstad Groep Nederland B.V.,bmc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eff74124245cb65706bd770f6301eac1,90b36006675c39addf8b817f783fe0d11683455311bed8847ff3750fdfac5127,True,ctls,www.bmc.nl,443,https://bmc.nl:443,https,,text/html,GET,63.33.239.21,/,117817516,https://www.bmc.nl/,54.220.185.231,HSTS,3053,False
onderzoek.bmc.nl,Page not found | BMC,404,117240,www.bmc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.bmc.nl, O=Randstad Groep Nederland B.V., L=Diemen, C=NL",*.bmc.nl,Randstad Groep Nederland B.V.,bmc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eff74124245cb65706bd770f6301eac1,90b36006675c39addf8b817f783fe0d11683455311bed8847ff3750fdfac5127,True,ctls,www.bmc.nl,443,https://onderzoek.bmc.nl:443,https,,text/html,GET,52.212.240.230,/,159998731,https://www.bmc.nl/info/,34.240.142.125,HSTS,2680,False
www.bmc.nl,Partners in verbetering | BMC,200,134541,www.bmc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.bmc.nl, O=Randstad Groep Nederland B.V., L=Diemen, C=NL",*.bmc.nl,Randstad Groep Nederland B.V.,bmc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eff74124245cb65706bd770f6301eac1,90b36006675c39addf8b817f783fe0d11683455311bed8847ff3750fdfac5127,True,ctls,www.bmc.nl,443,https://www.bmc.nl:443,https,,text/html,GET,54.220.185.231,/,117817516,,63.33.239.21,HSTS,3053,False
zzp-app.bmc.nl,BMC ZZP App | Web portal,200,6128,zzp-app.bmc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.bmc.nl, O=Randstad Groep Nederland B.V., L=Diemen, C=NL",*.bmc.nl,Randstad Groep Nederland B.V.,bmc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eff74124245cb65706bd770f6301eac1,90b36006675c39addf8b817f783fe0d11683455311bed8847ff3750fdfac5127,True,ctls,zzp-app.bmc.nl,443,https://zzp-app.bmc.nl:443,https,Apache,text/html,GET,54.76.86.86,/,-1309951014,https://zzp-app.bmc.nl/login,52.215.242.205,ZURB Foundation,127,False
zzp.bmc.nl,BMC ZZP App | Web portal,200,6128,zzp.bmc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.bmc.nl, O=Randstad Groep Nederland B.V., L=Diemen, C=NL",*.bmc.nl,Randstad Groep Nederland B.V.,bmc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eff74124245cb65706bd770f6301eac1,90b36006675c39addf8b817f783fe0d11683455311bed8847ff3750fdfac5127,True,ctls,zzp.bmc.nl,443,https://zzp.bmc.nl:443,https,Apache,text/html,GET,54.76.86.86,/,-1309951014,https://zzp.bmc.nl/login,52.215.242.205,ZURB Foundation,127,False
