input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,lines,failed,tech_,webserver,tls_mismatched,cdn_name,cdn,location,tls_expired
001-zdwryf4ireoblhxr.foxtrot.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://001-zdwryf4ireoblhxr.foxtrot.shutterfly.com:443,https,text/html,GET,44.215.208.112,/,,https://www.shutterfly.com:443/,3.222.233.53,147,False,,,,,,,
004fb1e.zulu.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://004fb1e.zulu.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,,https://www.shutterfly.com:443/,34.204.112.107,147,False,,,,,,,
017-49-9.foxtrot.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://017-49-9.foxtrot.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,,https://www.shutterfly.com:443/,34.204.112.107,147,False,,,,,,,
03-512-9.foxtrot.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://03-512-9.foxtrot.shutterfly.com:443,https,text/html,GET,44.215.208.112,/,,https://www.shutterfly.com:443/,3.222.233.53,147,False,,,,,,,
031-v3-client.zulu.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.onehippo.io,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://031-v3-client.zulu.shutterfly.com:443,https,text/html,GET,34.204.112.107,/,,https://www.shutterfly.com:443/,44.215.208.112,147,False,,,,,,,
04-02-05.zulu.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://04-02-05.zulu.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,,https://www.shutterfly.com:443/,44.215.208.112,147,False,,,,,,,
04-77-68.zulu.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.shutterfly.com,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://04-77-68.zulu.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,,https://www.shutterfly.com:443/,44.215.208.112,147,False,,,,,,,
04sjotnqcaucd3m.foxtrot.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://04sjotnqcaucd3m.foxtrot.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,,https://www.shutterfly.com:443/,44.215.208.112,147,False,,,,,,,
05-3-4-4.zulu.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://05-3-4-4.zulu.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,-1907518596,https://www.shutterfly.com:443/,34.204.112.107,147,False,,,,,,,
057-29.foxtrot.shutterfly.com,"Shutterfly: Photo Books, Cards, Prints, Wall Art, Gifts, Wedding",200,660142,*.bloomreach.cloud,www.shutterfly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-24T23:59:59Z,"CN=*.shutterfly.com, O=Shutterfly\, LLC, L=Redwood City, ST=CALIFORNIA, C=US",*.shutterfly.com,"Shutterfly, LLC",weddingpaperdivas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab02572cb2513add3640a6aa3b032612,b385cbcc1cdb212f76224fc50b3e2b35a37b37844ab2b27d8e907c6b52934e8f,True,ctls,www.shutterfly.com,443,https://057-29.foxtrot.shutterfly.com:443,https,text/html,GET,3.222.233.53,/,-1184685200,https://www.shutterfly.com:443/,34.204.112.107,147,False,,,,,,,
