new,host,a,cname,soa,status_code,ns,aaaa,cdn,cdn-name,mx,txt,has_internal_ips,internal_ips,caa
[x],shutterfly.com,"76.223.88.49, 13.248.216.157",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,"a20-66.akam.net, a1-239.akam.net, a2-65.akam.net, a5-65.akam.net, a10-66.akam.net, a3-67.akam.net",,,,"mxb-00204601.gslb.pphosted.com, mxa-00204601.gslb.pphosted.com","facebook-domain-verification=a5ormtx5wn49xeqbcd5kzfp7q2d2a1, adobe-idp-site-verification=0cdadd63-6d79-4eca-8a95-363d28603959, google-site-verification=FkdmAWsv2Otks4LsHHOL38cNKlKlRl1s72J1wL8kDJU, google-site-verification=z_X2OLSdVvF4jDVQN82IQ3Q29wGn7hKq9Dhh3D4UesQ, teamviewer-sso-verification=73db9c92e58b48e7a0ce6a2dac29ba21, +PbngGdnnFBKCsIQvKgn2BFKrTWmg7Rm8Jx3hwL5yQRBiaMI2GiQyeVTG4wK3JBkThQ5Zs3KL0BS/eEx5zSDoQ==, google-site-verification=Sasfy5f1UkwBAiuoYPx23XIviZc6gYUhMEYBruBXNOc, MS=ms66033050, miro-verification=96e76065ec97d0446990574fee360e8769bd7832, atlassian-domain-verification=74NzmiSNPkRep+Df7PR4WqAwfxslvg2UMPtMf6NFLrjHcWeMyIFpeSsR1T-DWV70, ca3-9bedc0a721044a338d1ec4b580ccd984, mongodb-site-verification=hc452NvFHtrlWeGBanVmAYT7WsW7Wvc8, v=spf1 a:smtpauth.shutterfly.com include:spf.protection.outlook.com include:amazonses.com include:aspmx.pardot.com include:sendgrid.net , ip4:136.179.236.38/32 ip4:205.220.173.120/32 ip4:205.220.161.120/32 ip4:167.89.71.136/32 ip4:160.20.208.110/32 ip4:160.20.208.111/32 mx -all, docusign=50c2339b-907f-41e5-a4a5-4183b40b27f0, docusign=a1d2768d-abdf-4ef3-934e-414384f1e8fa, google-site-verification=TCjntpYI3Uxpi5hNHXwHUCfKCN2xwemqGmAqCgM0FbE, apple-domain-verification=abGHeYlDQebSjkei, google-site-verification=quf0mk7xogFQZMNQk6AI-N53DY7-U2xZxGBgm1FvFdg, vmware-cloud-verification-04d4351d-18dd-4c92-bf81-ce573a0490e0",,,
[x],uncover-whitelabel.ignite.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0-98-2.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0-backend-okta-ios-auth-api-client.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,000-602-0readme.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,001-zcbkkbkuswhx7usp.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,001-zdwryf4ireoblhxr.foxtrot.shutterfly.com,"44.208.17.177, 44.195.250.119, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,004fb1e.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,005b.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,01-8-7.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,017-46.zulu.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,017-49-9.foxtrot.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,02b5.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,03-0-7.zulu.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,03-512-9.foxtrot.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,030-graph-0-9-7.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,031-9-2-4.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,031-9-67.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,031-v3-client.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,039-46-0.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,04-02-05.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,04-029-7.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,04-4-9.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,04-77-68.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,04sjotnqcaucd3m.foxtrot.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,,,
,05-19-7.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-3-4-34.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-3-4-4.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-3-69-7.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-3-9-84.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-4-02.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-61-6.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-7-4-1-1.zulu.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-7-4-8-6.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-8-48.zulu.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05-90-8.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,057-29.foxtrot.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,057-44.foxtrot.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,057-v3-client.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,058-01.zulu.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,059-0-42.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,059-00.foxtrot.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,05eb.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,06-5-7-2.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,06-6-4.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,06-7-0-7.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,063-22.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,068-v3-client.zulu.shutterfly.com,,"site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,06a6.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,07-6.zulu.shutterfly.com,"44.208.17.177, 44.195.250.119, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,,,
,08a7.foxtrot.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0c30.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0caa303e.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0rtforum-mdf1-bi8k-1-ve-62-api-v9-certe-resource.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0z7v.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,1-77-7.zulu.shutterfly.com,"44.195.250.119, 67.202.8.178, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,1-costatest-alb-okta-default-w3.foxtrot.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,1-costatest-alb-okta-defaultsandbox.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,1-courier2.zulu.shutterfly.com,"67.202.8.178, 44.208.17.177, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,100vlan-39.foxtrot.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,101-it.zulu.shutterfly.com,"67.202.8.178, 44.195.250.119, 44.208.17.177","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,101c.zulu.shutterfly.com,"44.195.250.119, 44.208.17.177, 67.202.8.178","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,102d.zulu.shutterfly.com,"44.208.17.177, 67.202.8.178, 44.195.250.119","site2.shutterfly.com, detours-alb-1341917858.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,,,
