new,host,ttl,a,cname,mx,soa,ns,txt,status_code
[x],briefe.io,1800,,,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","{'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,"google-site-verification=XR6qSyn4xko0QGXDHhprhx8bmfr-kzJvkSzuC3n-T6g, v=spf1 +include:spf.messagingengine.com -all",NOERROR
[x],delight.im,1798,,,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","{'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com",v=spf1 +include:spf.messagingengine.com -all,NOERROR
[x],moviecontentfilter.com,7200,46.101.104.129,,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","{'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","brad.ns.cloudflare.com, addilyn.ns.cloudflare.com","google-site-verification=GZeORB88CX986Oo6HG5mngKPcbbMe693WKTkzgrY2yc, v=spf1 +include:spf.messagingengine.com -all",NOERROR
,000.delight.im,86400,46.101.104.129,delight.im,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","{'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com",v=spf1 +include:spf.messagingengine.com -all,NOERROR
,gifts.delight.im,42623,176.34.148.75,"requests-vpbfsa2.frb.io, requests-vpbfsa2.eu2.frbit.net",,"{'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR
,go.delight.im,85815,176.34.148.75,"requests-vpbfsa2.frb.io, requests-vpbfsa2.eu2.frbit.net",,"{'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu2.frbit.net', 'ns': 'ns-1551.awsdns-01.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR
,sites.delight.im,300,,,,"{'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR
,www.briefe.io,85811,46.101.104.129,briefe.io,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","{'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'briefe.io', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355630619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","brad.ns.cloudflare.com, addilyn.ns.cloudflare.com","google-site-verification=XR6qSyn4xko0QGXDHhprhx8bmfr-kzJvkSzuC3n-T6g, v=spf1 +include:spf.messagingengine.com -all",NOERROR
,www.delight.im,86400,46.101.104.129,delight.im,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","{'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'delight.im', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354958192, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com",,NOERROR
,www.moviecontentfilter.com,85912,46.101.104.129,moviecontentfilter.com,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","{'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'moviecontentfilter.com', 'ns': 'addilyn.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355490546, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com",,NOERROR
