input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,csp_domains_,final_url
aiq-in.vacations.united.com,,404,18,aiq-in.vacations.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-07T00:00:00Z,2023-10-05T23:59:59Z,CN=alg-prod.actioniq.mr-in.com,alg-prod.actioniq.mr-in.com,,aiq-in.vacations.united.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,b6b95664c99a0107969142e75116520f,7fc4d7e602069e3de7a7f946396b5e944fa8fd58eab3ae225ac4d2925837973e,ctls,aiq-in.vacations.united.com,443,https://aiq-in.vacations.united.com:443,https,,text/plain,GET,34.67.95.98,/,-429073533,34.67.95.98,1,False,HSTS,,,google,True,,
assets.mystatus.united.com,,403,275,assets.mystatus.united.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-04T23:59:59Z,"CN=assets.mystatus.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",assets.mystatus.united.com,"United Airlines, Inc.",assets.mystatus.united.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,66f2733dc181a71f71434362c27af4b2,05e8b59544024221c8459dec47a2a41e9a772db978c86c98cb2632d023f83e96,ctls,assets.mystatus.united.com,443,https://assets.mystatus.united.com:443,https,AmazonS3,application/xml,GET,108.138.7.31,/,-763645230,2600:9000:2490:1c00:19:4bb3:c280:93a1,2,False,Amazon Web Services,,,cloudfront,True,,
aws.webauth.united.com,Jet,200,10030,aws.webauth.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T00:00:00Z,2024-06-28T23:59:59Z,"CN=wingtips.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips.ual.com,United Airlines Inc,www.unitedcargo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9a47a574639b0b6e37f94de9f5a7a7,f17c79084084c3b7e4eba9916db0021f616ec79028248f8d772cea494c6bf410,ctls,aws.webauth.united.com,443,https://aws.webauth.united.com:443,https,,text/html,GET,92.122.215.93,/,1901287122,92.122.215.54,229,False,IBM DataPower,,,,,,
beta.vacations.united.com,,200,139,beta.vacations.united.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",beta.vacations.united.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d8dc80fc3e80e3c5b9322b85638c1f53,9ca933f67490d8feb9551ee4dc278c47a37bdd53daf90dc7def820f1a5060484,ctls,beta.vacations.united.com,443,https://beta.vacations.united.com:443,https,cloudflare,text/html,GET,104.18.17.8,/,782567373,2606:4700::6812:1008,10,False,Microsoft ASP.NET:4.0.30319,,,cloudflare,True,,https://beta.vacations.united.com/Error?errortypeid=0
careers.united.com,Careers at United Airlines | United Airlines jobs,200,685549,careers.united.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-10-15T23:59:59Z,"CN=careers.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",careers.united.com,"United Airlines, Inc.",careers.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cc0f658654ea0112d71045d4031655aa,fbf4fc361e988a3596246aca82f39d976f0874d9d8b082c2c0a8c0ca14412472,ctls,careers.united.com,443,https://careers.united.com:443,https,,text/html,GET,3.234.99.123,/,1654018811,54.236.144.209,5836,False,Scala,,,,,,https://careers.united.com/us/en
cargoivr-ndcdp.auth.ual.com,,401,,cargoivr-ndcdp.auth.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,cargoivr-ndcdp.auth.ual.com,443,https://cargoivr-ndcdp.auth.ual.com:443,https,,,GET,23.215.22.102,/,-1840324437,23.215.22.102,1,False,IBM DataPower,True,True,,,,
cargoivr-sdp.auth.ual.com,,401,,cargoivr-sdp.auth.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T00:00:00Z,2024-06-28T23:59:59Z,"CN=wingtips.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips.ual.com,United Airlines Inc,www.unitedcargo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9a47a574639b0b6e37f94de9f5a7a7,f17c79084084c3b7e4eba9916db0021f616ec79028248f8d772cea494c6bf410,ctls,cargoivr-sdp.auth.ual.com,443,https://cargoivr-sdp.auth.ual.com:443,https,,,GET,2.23.209.165,/,-1840324437,2.23.209.132,1,False,IBM DataPower,,,,,,
cruises.united.com,,200,827,cruises.united.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-03T23:59:59Z,"CN=cruises.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",cruises.united.com,"United Airlines, Inc.",www.cruises.united.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,b4b7f05518c9e134a3a662adb72bde12,362930913939e704c77305157303121e0cb3355c40d5a897cdd96c948df0a615,ctls,cruises.united.com,443,https://cruises.united.com:443,https,,text/html,GET,45.60.121.26,/,-1068123353,45.60.121.26,1,False,Imperva,,,incapsula,True,,
csmc.api.united.com,,401,80,csmc.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T00:00:00Z,2024-06-28T23:59:59Z,"CN=wingtips.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips.ual.com,United Airlines Inc,www.unitedcargo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9a47a574639b0b6e37f94de9f5a7a7,f17c79084084c3b7e4eba9916db0021f616ec79028248f8d772cea494c6bf410,ctls,csmc.api.united.com,443,https://csmc.api.united.com:443,https,,application/json,GET,2.23.209.165,/,-1156996142,2.23.209.132,1,False,IBM DataPower,,,,,,
csmc.auth.united.com,,500,94,csmc.auth.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T00:00:00Z,2024-06-28T23:59:59Z,"CN=wingtips.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips.ual.com,United Airlines Inc,www.unitedcargo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9a47a574639b0b6e37f94de9f5a7a7,f17c79084084c3b7e4eba9916db0021f616ec79028248f8d772cea494c6bf410,ctls,csmc.auth.united.com,443,https://csmc.auth.united.com:443,https,,application/json,GET,104.126.37.138,/,-795439491,104.126.37.145,1,False,IBM DataPower,,,,,,
