input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,csp_domains_,tls_wildcard_certificate
build-dev.genasys.tech,Build UI,200,1347,build-dev.genasys.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-21T09:10:35Z,2023-08-19T09:10:34Z,CN=build-dev.genasys.tech,build-dev.genasys.tech,build-dev.genasys.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e4c11d43a82d0eb0d44201a03202abcc,33b1bff27490e7d3649fa0d5af386972f0af0379d601511f5fe12d9be6031873,ctls,build-dev.genasys.tech,azure,443,https://build-dev.genasys.tech:443,https,nginx/1.19.1,text/html,GET,51.11.123.119,/,497897808,51.11.123.119,Nginx:1.19.1,20,False,True,,,,https://fonts.gstatic.com,
build-temp.genasys.tech,404 Not Found,404,153,build-temp.genasys.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-11T16:16:20Z,2024-04-10T16:16:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,7057943f3c489039b8a149fdb5513346,a494616ff6649ed112593df1f4a78e6e76664dd7c95d32dbefcae4cd9716f5a7,ctls,build-temp.genasys.tech,azure,443,https://build-temp.genasys.tech:443,https,nginx/1.19.1,text/html,GET,51.11.123.119,/,-118197599,51.11.123.119,Nginx:1.19.1,8,False,True,True,True,Acme Co,,
build-test.genasys.tech,404 Not Found,404,153,build-test.genasys.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T09:48:44Z,2023-08-10T09:48:43Z,CN=build-test.genasys.tech,build-test.genasys.tech,build-test.genasys.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c7970513bcbf914cf62c76a8908b8e5c,cc8f44d0494c8ccf7674cc03fabb73c8334283bcf71daabc221b93a94aa75318,ctls,build-test.genasys.tech,azure,443,https://build-test.genasys.tech:443,https,nginx/1.19.1,text/html,GET,51.11.123.119,/,-118197599,51.11.123.119,Nginx:1.19.1,8,False,True,,,,,
build.genasys.tech,Build UI,200,1347,build.genasys.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-03T20:37:02Z,2023-09-01T20:37:01Z,CN=build.genasys.tech,build.genasys.tech,build.genasys.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0f84a054e8735e1d5e822c048f0f58a9,81fb5a45c1603032890215326566035d6d69db826ef8f604670631e8a168ca54,ctls,build.genasys.tech,azure,443,https://build.genasys.tech:443,https,nginx/1.19.1,text/html,GET,51.11.123.119,/,497897808,51.11.123.119,Nginx:1.19.1,20,False,True,,,,https://dc.services.visualstudio.com,
genasys.tech,Login,200,7860,genasys.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T00:00:00Z,2023-07-12T23:59:59Z,CN=*.jnb1.host-h.net,*.jnb1.host-h.net,jnb1.host-h.net,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",dc4b06bdfccf94728b45336ead78a785,521dc02a1c835605d4dae70a8b272d7fb23d97d2cdf5e01b0dea933b773f5345,ctls,genasys.tech,,443,https://genasys.tech:443,https,Apache,text/html,GET,129.232.249.177,/,-274219886,129.232.249.177,Apache,116,False,,,True,,,True
https://az416426.vo.msecnd.net,,404,223,az416426.vo.msecnd.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2024-04-28T23:59:59Z,"CN=*.vo.msecnd.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",*.vo.msecnd.net,ec-cert-deploy-prod-default.cdn.azure.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,33ba047917549e69f7b9bae2634c2f34,bf6070230a9bf0f9bcee56404bf6c34bf6be14871429cfbd475c31e885a57fc3,ctls,az416426.vo.msecnd.net,,443,https://az416426.vo.msecnd.net:443,https,Windows-Azure-Blob/1.0 Microsoft-HTTPAPI/2.0,application/xml,GET,152.199.19.161,/,543175933,2606:2800:133:206e:1315:22a5:2006:24fd,Microsoft HTTPAPI:2.0,3,False,,,,Microsoft Corporation,,True
https://dc.services.visualstudio.com,,404,14,dc.services.visualstudio.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T21:06:44Z,2024-04-14T21:06:44Z,"CN=in.applicationinsights.azure.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",in.applicationinsights.azure.com,dc.services.visualstudio.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,b704297e943a9eb3e06bf2ea9aaeff5c,2ef7cb9ea86e81891097bbf5a7cbc354e45e7cceae83591e32ac1fee50633d66,ctls,dc.services.visualstudio.com,azure,443,https://dc.services.visualstudio.com:443,https,,text/plain,GET,13.69.106.89,/,716467437,13.69.106.89,HSTS,1,False,True,,,Microsoft Corporation,,True
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e31063166fb44c05048b4c83f636c4f5,1b195bc79767bf8017bc902501eb378f46d1685421e0b9531b7a521ca9cfd844,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.74,/,-606046040,2a00:1450:4001:802::200a,HTTP/3,1,False,,,,,,True
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d3c6d877158e986041e67ea61715ac95,406b96cf48d5fd63d08df732c86ca70aed167ff661c04b07663ff21a022fb117,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.163,/,302920777,2a00:1450:4001:82a::2003,HTTP/3,12,False,,,,,,True
portal.genasys.tech,IIS Windows Server,200,703,portal.genasys.tech,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-09-22T23:59:59Z,CN=*.genasys.tech,*.genasys.tech,genasys.tech,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ac76a5384256d5a68b2f9163e84120f9,6193e8eafdf0035802c1b9a8fe7401f34d82bee8711612abcaa9eab6cf22d55b,ctls,portal.genasys.tech,azure,443,https://portal.genasys.tech:443,https,HAL 9000,text/html,GET,102.133.132.134,/,1631801191,102.133.132.134,HSTS,32,False,True,,,,,True
