new,host,a,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,cname,aaaa,txt,caa,mx
,b2b-sandbox.skypicker.com,"104.18.0.23, 104.18.1.23","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"alina.ns.cloudflare.com, ernest.ns.cloudflare.com",,,,,,,
,backbone.autobooking-prod.skypicker.com,"104.18.24.237, 104.18.25.237","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,balkan-prod.skypicker.com,"108.162.192.61, 172.64.32.61, 173.245.58.61, 108.162.193.164, 172.64.33.164, 173.245.59.164","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"ernest.ns.cloudflare.com, alina.ns.cloudflare.com",,,,"2606:4700:50::adf5:3a3d, 2803:f800:50::6ca2:c03d, 2a06:98c1:50::ac40:203d",,,
,balkan-sandbox.skypicker.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"ernest.ns.cloudflare.com, alina.ns.cloudflare.com",,,,,,,
,balkan.kiwi.com,34.149.87.41,"fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,,
,be.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,bed.cs-systems-prod.skypicker.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,bed.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,bergamolynk.kiwi.com,"104.16.192.226, 104.16.193.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,best-deals.bi-prod.skypicker.com,"104.18.2.209, 104.18.3.209","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,beta-balkan.kiwi.com,34.149.87.41,"fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,,
,bg.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,bi-prod.skypicker.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,black-box.autobooking-prod.skypicker.com,"104.18.24.237, 104.18.25.237","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,blackhole.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,blkn.skypicker.com,,"nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
