new,host,a,cname,soa,status_code,txt,cdn,cdn-name,ns,aaaa,caa,mx
[x],deribit.com,193.72.79.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"v=spf1 mx a ip4:193.72.79.190 ip4:193.72.79.200 ip4:3.8.61.26 include:_spf.google.com  include:_spf.getresponse.com include:eu.zcsend.net include:mail.zendesk.com -all, MS=ms22900445, atlassian-domain-verification=3aaFj4JjvcQRGcRsF/i6Jvt2y2xtBA7JAmaJabmzyW6mQhK7C3xoBh1Z7XEZGcuv, google-site-verification=NdYRNwrkwgOmfaivCYBf8NRMPvpUK8SC5acaUA6ZYo4, google-site-verification=XsoRwSEKTSrmlE8aLnHkAX8eTFwtug_T3-9eI1jiXqw",,,"malavika.ns.cloudflare.com, vicky.ns.cloudflare.com",,,"alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com"
[x],zero.deribit.com,"104.18.5.240, 104.18.4.240",,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,"2606:4700::6812:5f0, 2606:4700::6812:4f0",,
,5dabcbc1-2b62-4.analyze.deribit.com,,_5e00ce681320bb8a8d1105d79bdd1752.ltfvzjuylp.acm-validations.aws,"ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,041e5d7e9d5f4d3b8d14896b2eb55872,,,,,,
,ai-api.deribit.com,34.147.13.156,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,google-site-verification=7G3PXxKIMVzcxi7Abqlbtxp9q_Tcxw1Ic5FQBns6OlY,True,google,,,,
,ai.deribit.com,"18.132.80.120, 3.9.111.138, 18.135.239.90",k8s-bigdatad-ingressd-76bdd4dd5e-504362817.eu-west-2.elb.amazonaws.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,alt.deribit.com,193.72.79.190,www.deribit.com,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,analyze.deribit.com,,_5e00ce681320bb8a8d1105d79bdd1752.ltfvzjuylp.acm-validations.aws,"ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,041e5d7e9d5f4d3b8d14896b2eb55872,,,,,,
,api.pb.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,apt.deribit.com,193.72.79.190,www.deribit.com,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,asia.deribit.com,46.235.39.12,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,assets-asia.deribit.com,"104.18.4.240, 104.18.5.240",,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,"2606:4700::6812:4f0, 2606:4700::6812:5f0",,
,assets-test.deribit.com,"104.18.4.240, 104.18.5.240",,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,"2606:4700::6812:4f0, 2606:4700::6812:5f0",,
,assets.deribit.com,"104.18.5.240, 104.18.4.240",,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,
,bacchus.deribit.com,193.72.79.190,www.deribit.com,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,beta.status.deribit.com,18.246.31.133,gsjyzwnpcv2r.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"letsencrypt.org, globalsign.com;",
,blog.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,"2606:4700::6812:4f0, 2606:4700::6812:5f0",,
,chat.deribit.com,18.170.89.253,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,chattest.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,conference.chat.deribit.com,18.170.89.253,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,docs.deribit.com,"104.18.5.240, 104.18.4.240",,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,"2606:4700::6812:4f0, 2606:4700::6812:5f0",,
,gateway.deribit.com,193.72.79.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
