new,host,a,soa,status_code,cname,ns,aaaa,has_internal_ips,internal_ips,mx,txt,cdn,cdn-name,caa
[x],baidu.com,"110.242.68.66, 39.156.66.10, 110.242.68.134, 220.181.33.31, 112.80.248.64, 36.152.45.193, 14.215.178.80, 111.45.3.226, 180.76.76.92, 111.202.115.85, 220.181.3.85, 119.63.196.201, 12.0.243.41","dns.baidu.com, sa.baidu.com",NOERROR,,"ns7.baidu.com, dns.baidu.com, ns2.baidu.com, ns3.baidu.com, ns4.baidu.com","240e:bf:b801:1002:0:ff:b024:26de, 240e:940:603:4:0:ff:b01b:589a",,,"mx1.baidu.com, mx50.baidu.com, mx.n.shifen.com, usmx01.baidu.com, mx.maillb.baidu.com, jpmx.baidu.com","v=spf1 include:spf1.baidu.com include:spf2.baidu.com include:spf3.baidu.com include:spf4.baidu.com mx ptr -all, _globalsign-domain-verification=qjb28W2jJSrWj04NHpB0CvgK9tle5JkOq-EcyWBgnE, google-site-verification=GHb98-6msqyx_qqjGl5eRatD3QTHyVB6-xQ3gJB5UwM",,,
[x],baiyue.beareditor.bce.baidu.com,114.92.20.230,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
[x],beareditor.bce.baidu.com,,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,videoworks-paas.n.shifen.com,,,,,,,,,
[x],bh-gdown.baidu.com,"183.60.219.38, 219.151.25.38, 220.169.152.38, 36.99.3.38, 106.225.194.38, 111.170.26.38, 113.142.207.38, 113.219.142.38, 125.64.104.38, 125.74.42.38","ns1.jomodns.com, baidu_dns_master.baidu.com",NOERROR,"bh-gdown.baidu.com.a.bdydns.com, opencdnbd.jomodns.com",,,,,,,,,
[x],dev-aibp.baidu.com,"111.45.3.45, 220.181.43.98, 111.206.208.69, 39.156.68.77","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
[x],dula.bce.baidu.com,"111.45.3.213, 36.110.192.161, 103.211.221.218","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
[x],dula.bcetest.baidu.com,36.110.192.173,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
[x],hao123.com,"124.237.176.248, 110.242.69.86, 39.156.68.154","dns.baidu.com, sa.baidu.com",NOERROR,,"dns.baidu.com, ns1.baidu.com, ns4.baidu.com, ns3.baidu.com, ns1.hao123.com, ns2.baidu.com",,,,,"_globalsign-domain-verification=SI37DRmxcv9t-eGSXrXihb1zKdZyPeP-fmWy4fL7nZ, v=spf1 include:spf1.baidu.com include:spf2.baidu.com include:spf3.baidu.com a mx ptr -all",,,
[x],ib.map.baidu.com,103.235.47.105,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,ib.map.n.shifen.com,,,,,,,,,
[x],mtongji.baidu.com,,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,mtj.e.shifen.com,,,,,,,,,
[x],oasis.baidu.com,180.76.116.250,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
[x],oss.baidu.com,,,NOERROR,jpaasne.sdns.baidu.com,,,,,,,,,
[x],overseadia.bce.baidu.com,"193.118.54.136, 193.118.54.133, 193.118.54.134, 193.118.54.135","i3.zenecn.net, Support-ECN-DNS.zenlayer.com",NOERROR,"overseadia.bce.baidu.com.wshifen.com, overseadia.bce.baidu.com.g0.bdydns.com, overseadia.bce.baidu.com.g4.bdydns.com",,,,,,,,,
[x],panup.baidu.com,111.63.96.22,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,panup.n.shifen.com,,,,,,,,,
[x],portal-flv.bce.baidu.com,185.10.104.115,"ns1.gshifen.com, baidu_dns_master.baidu.com",NOERROR,"portal-flv.bce.baidu.com.a.bcelive.com, bcelive.jomodns.com, bcelive.gshifen.com",,,,,,,,,
[x],sv0.map.baidu.com,112.34.116.10,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,sv.map.n.shifen.com,,,,,,,,,
[x],translator.noah.baidu.com,"10.26.3.220, 10.36.4.96","noah.baidu.com, test.noah.baidu.com",NOERROR,,,,True,"10.26.3.220, 10.36.4.96",,,,,
[x],xcloud.baidu.com,,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,apollo-home.n.shifen.com,,,,,,,,,
[x],xcloud.im.baidu.com,,"ns1.wshifen.com, baidu_dns_master.baidu.com",NOERROR,"im.n.shifen.com, in.m.wshifen.com",,,,,,,,,
[x],zoomtam32-test.baidu.com,,,NOERROR,,,,,,,,,,
,0.baidu.com,111.206.223.136,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,wwwyq.n.shifen.com,,,,,,,,,
,01.baidu.com,110.242.68.125,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,cdss01.n.shifen.com,,,,,,,,,
,1.1.0searchapp.baidu.com.r.bae.baidu.com,"10.42.132.25, 10.46.156.63","bae.baidu.com, wangpeng.baidu.com",NOERROR,,,,True,"10.42.132.25, 10.46.156.63",,,,,
,1.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,1.hao123.com,,"dns1.yunjiasu-cdn.net, dns.yjs-cdn.com",NOERROR,1.hao123.com.cname.yunjiasu-cdn.net,,,,,,,,,
,100.baidu.com,"103.211.221.225, 111.63.96.139, 124.237.177.90","ns1.c.shifen.com, baidu_dns_master.baidu.com",NOERROR,dep.c.shifen.com,,,,,,,,,
,11.baidu.com,182.61.62.50,"dns.baidu.com, sa.baidu.com",NOERROR,"jpaasmatrix.e.shifen.com, domain-offline.baidu.com",,,,,,,,,
,110.baidu.com,"180.101.49.171, 124.237.176.84","dns.baidu.com, sa.baidu.com",NOERROR,bsb.baidu.com,,,,,,,,,
,1111.baidu.com,153.37.235.31,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,sfc.n.shifen.com,,,,,,,,,
,119.baidu.com,10.46.11.104,"dns.baidu.com, sa.baidu.com",NOERROR,,,,True,10.46.11.104,,,,,
,1212.baidu.com,185.10.104.115,"ns1.gshifen.com, baidu_dns_master.baidu.com",NOERROR,"1212.baidu.com.a.bcelive.com, bcelive.jomodns.com, bcelive.gshifen.com",,,,,,,,,
,12306.hao123.com,103.235.46.234,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,cn.hao123.n.shifen.com,,,,,,,,,
,188.baidu.com,"153.37.235.12, 112.80.255.214","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,730.nuomi.n.shifen.com,,,,,,,,,
,2.hao123.com,,"dns1.yunjiasu-cdn.net, dns.yjs-cdn.com",NOERROR,2.hao123.com.cname.yunjiasu-cdn.net,,,,,,,,,
,2012.baidu.com,"103.235.46.122, 110.242.68.39, 220.181.33.34, 36.152.45.197, 112.80.248.31, 14.215.178.45, 111.20.4.27, 180.76.76.96","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,news.n.shifen.com,"ns4.n.shifen.com, ns5.n.shifen.com, ns1.n.shifen.com, ns2.n.shifen.com, ns3.n.shifen.com","240e:bf:b801:1004:0:ff:b0df:15ef, 240e:940:603:7:0:ff:b0bc:8bde",,,,,,,
,2014.baidu.com,103.235.46.122,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,news.n.shifen.com,,,,,,,,,
,2019.baidu.com,"119.96.52.38, 118.180.40.38, 118.112.225.38, 124.239.243.38, 125.74.1.38, 150.138.110.38, 175.6.243.38, 182.84.110.38, 182.107.80.38, 182.242.59.38, 180.76.76.118, 182.61.200.72, 220.181.111.24, 111.45.3.163, 110.242.68.26, 180.101.49.224","ns1.jomodns.com, baidu_dns_master.baidu.com",NOERROR,sfdynamic.jomodns.com,"ns2.jomodns.com, ns3.jomodns.com, ns4.jomodns.com, ns5.jomodns.com, ns6.jomodns.com, ns1.jomodns.com",,,,,,,,
,3g.hao123.com,"110.242.69.104, 110.242.69.107, 110.242.69.109, 112.80.248.187, 153.37.235.51, 153.37.235.85, 103.211.221.12","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,waphao123bfe.n.shifen.com,,,,,,,,,
,3w.hao123.com,103.235.46.234,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,cn.hao123.n.shifen.com,,,,,,,,,
,4s.baidu.com,110.242.68.89,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,echarts.e.shifen.com,,,,,,,,,
,6viyij.smartapps.baidu.com,182.61.200.64,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,smartapps.n.shifen.com,,,,,,,,,
,7dapi7.smartapps.baidu.com,182.61.200.64,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,smartapps.n.shifen.com,,,,,,,,,
,8.hao123.com,103.235.46.234,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,cn.hao123.n.shifen.com,,,,,,,,,
,863.baidu.com,10.67.29.55,"dns.baidu.com, sa.baidu.com",NOERROR,,,,True,10.67.29.55,,,,,
,91.gdown.baidu.com,104.193.88.105,"ns1.gshifen.com, baidu_dns_master.baidu.com",NOERROR,"gdown91.jomodns.com, gdown.gshifen.com",,,,,,,,,
,911.baidu.com,10.92.154.58,"dns.baidu.com, sa.baidu.com",NOERROR,,,,True,10.92.154.58,,,,,
,a.baidu.com,112.34.113.160,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,asp.e.shifen.com,,,,,,,,,
,a.gdown.baidu.com,,"ns1.gshifen.com, baidu_dns_master.baidu.com",NOERROR,"a.gdown.baidu.com.a.bdydns.com, opencdnbdgdown.jomodns.com, gdown.gshifen.com",,,,,,,,,
,a.xueshu.baidu.com,"103.235.46.116, 103.235.46.119","ns1.a.shifen.com, baidu_dns_master.baidu.com",NOERROR,open.a.shifen.com,,,,,,,,,
,aade.pos.baidu.com,,,NOERROR,,,,,,,,,,
,ab.baidu.com,36.152.44.68,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,ab.n.shifen.com,,,,,,,,,
,abc.baidu.com,103.235.46.40,"ns1.wshifen.com, baidu_dns_master.baidu.com",NOERROR,"www.a.shifen.com, www.wshifen.com",,,,,,,,,
,abcxueyuan.baidu.com,"39.156.68.186, 110.242.68.76, 110.242.68.77","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,abcxueyuan.cloud.baidu.com,"110.242.68.77, 39.156.68.186, 110.242.68.76, 110.242.68.134, 220.181.33.31, 36.152.45.193, 112.80.248.64, 14.215.178.80, 111.45.3.226, 180.76.76.92","dns.baidu.com, sa.baidu.com",NOERROR,,"dns.baidu.com, ns7.baidu.com, ns2.baidu.com, ns3.baidu.com, ns4.baidu.com","240e:bf:b801:1002:0:ff:b024:26de, 240e:940:603:4:0:ff:b01b:589a",,,,,,,
,abg.baidu.com,"103.235.47.122, 103.235.47.114, 103.235.47.115, 110.242.68.39, 220.181.33.34, 36.152.45.197, 112.80.248.31, 14.215.178.45, 111.20.4.27, 180.76.76.96","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,wenku.n.shifen.com,"ns2.n.shifen.com, ns3.n.shifen.com, ns4.n.shifen.com, ns5.n.shifen.com, ns1.n.shifen.com","240e:bf:b801:1004:0:ff:b0df:15ef, 240e:940:603:7:0:ff:b0bc:8bde",,,,,,,
,ability.api.sao.baidu.com,110.242.69.161,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,"api-sao.baidu.com, apis.sao.n.shifen.com",,,,,,,,,
