input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_wildcard_certificate,tls_expired,csp_domains_,final_url
2020corsair.lincoln.com,,409,16,,,,,,,,,,,,,,,,,,,,80,http://2020corsair.lincoln.com:80,http,cloudflare,text/plain,GET,162.159.130.11,/,1000520165,162.159.130.11,1,False,cloudflare,Cloudflare,True,,,,
aboutpresidentabrahamlincoln.comodo.bluesnap.com,All-in-One Payment Orchestration Platform to Increase Revenue & Reduce Costs | BlueSnap,200,136832,home.bluesnap.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=home.bluesnap.com, O=BlueSnap\, Inc., ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, serialNumber=2428061, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",home.bluesnap.com,"BlueSnap, Inc.",www.home.bluesnap.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,390e3be31595325f767447b20fc0cc68,2eb33ac2fdca94a8ec21935c87638e05c8f9237920dcc120c476072948b2f0d2,ctls,home.bluesnap.com,443,https://aboutpresidentabrahamlincoln.comodo.bluesnap.com:443,https,cloudflare,text/html,GET,141.226.142.181,/,,141.226.142.181,1145,False,,Yoast SEO:20.4,,,,*.bluesnap.com,https://home.bluesnap.com
access-edu.cf.app.ford.com,Common Security Provisioning Services,200,343,access-edu.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:26:06Z,2024-04-24T01:26:05Z,"CN=access-edu.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",access-edu.pp.cf.app.ford.com,Ford Motor Company,access-edu.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c477f05235a401c6059a4a5a8be2627c,267ee6bf633eca433bf73fb2a9a053b0181d0d2b554d3d4c251ca3d6f8733fca,ctls,access-edu.cf.app.ford.com,80,http://access-edu.cf.app.ford.com:80,http,,text/html,GET,19.12.120.16,/,-1840324437,2620:0:403:2013:0:ffff:130c:7810,14,False,,,,,,URL=/CspsWeb/cspsHomeBegin.do,https://access-edu.cf.app.ford.com/
access-edu.pp.cf.app.ford.com,Common Security Provisioning Services,200,343,access-edu.pp.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:26:06Z,2024-04-24T01:26:05Z,"CN=access-edu.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",access-edu.pp.cf.app.ford.com,Ford Motor Company,access-edu.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c477f05235a401c6059a4a5a8be2627c,267ee6bf633eca433bf73fb2a9a053b0181d0d2b554d3d4c251ca3d6f8733fca,ctls,access-edu.pp.cf.app.ford.com,80,http://access-edu.pp.cf.app.ford.com:80,http,,text/html,GET,19.12.120.16,/,-1840324437,2620:0:402:2013:0:ffff:130c:6810,14,False,,,,,,URL=/CspsWeb/cspsHomeBegin.do,https://access-edu.pp.cf.app.ford.com/
accessoriesazok.ford.com,Service Unavailable,503,268,accessoriesazok.ford.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-26T00:00:00Z,2023-07-18T23:59:59Z,"CN=accessories.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",accessories.ford.com,Ford Motor Company,wwwqa2.fordpass.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,efc325172d0efe7d4eb54fa57cb07455,1d4559c0c3fba7036583ef9a1214e5aee9a9f4cc561b567e6d6b0016903cd16b,ctls,accessoriesazok.ford.com,443,https://accessoriesazok.ford.com:443,https,AkamaiGHost,text/html,GET,23.41.253.35,/,,23.41.253.35,9,False,,,,,,,
accessoriesazok.lincoln.com,Service Unavailable,503,268,accessoriesazok.lincoln.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-26T00:00:00Z,2023-07-18T23:59:59Z,"CN=accessories.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",accessories.ford.com,Ford Motor Company,wwwqa2.fordpass.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,efc325172d0efe7d4eb54fa57cb07455,1d4559c0c3fba7036583ef9a1214e5aee9a9f4cc561b567e6d6b0016903cd16b,ctls,accessoriesazok.lincoln.com,443,https://accessoriesazok.lincoln.com:443,https,AkamaiGHost,text/html,GET,23.41.253.35,/,,23.41.253.35,9,False,,,,,,,
accountmanager.ford.com,Account Manager | Official Site of Ford Credit,200,4860,accountmanager.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-09T21:07:57Z,2024-06-09T21:07:56Z,"CN=accountmanager.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",accountmanager.prod.cf.app.ford.com,Ford Motor Company,accountmanager.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,67c308af1a668d3c8529dd7ab4b399a4,080e5e5bf8de98c8498de9e657f584519491434838a4fdc742cf7a8fc45062bd,ctls,accountmanager.ford.com,443,https://accountmanager.ford.com:443,https,nginx/1.23.2,text/html,GET,19.12.137.207,/,62298769,2620:0:403:2012:0:ffff:130c:89cf,43,False,,Nginx:1.23.2,,,,,
accountmanager.lincoln.com,Account Manager | Lincoln Automotive Financial Services,200,5289,accountmanager.lincoln.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-08T16:47:40Z,2024-06-08T16:47:39Z,"CN=accountmanager-lincoln-com.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",accountmanager-lincoln-com.prod.cf.app.ford.com,Ford Motor Company,accountmanager-lincoln-com.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,54bcfabfc0081d1faeb4873c6e513629,916b859aadfd6cb051dc0f1435855927de99879a978d9b42e3a190ce905ec14c,ctls,accountmanager.lincoln.com,443,https://accountmanager.lincoln.com:443,https,nginx/1.23.2,text/html,GET,19.12.128.145,/,62298769,2620:0:403:2012:0:ffff:130c:8891,46,False,,Nginx:1.23.2,,,,,
adfsauth-fdspcl2-dealerconnection-com.cf.app.ford.com,,401,153,adfsauth-fdspcl2-dealerconnection-com.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-08T18:04:02Z,2024-06-08T18:04:01Z,"CN=adfsauth-fdspcl2-dealerconnection-com.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",adfsauth-fdspcl2-dealerconnection-com.prod.cf.app.ford.com,Ford Motor Company,adfsauth-fdspcl2-dealerconnection-com.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1c516ae96aaf2263424854f1217551de,0c726ad65275eee5b3452df648b5d33ad0a0ce1996c53df3f5ba3df7c845b2a1,ctls,adfsauth-fdspcl2-dealerconnection-com.cf.app.ford.com,443,https://adfsauth-fdspcl2-dealerconnection-com.cf.app.ford.com:443,https,,application/json,GET,19.12.128.146,/,-1966995783,2620:0:403:2012:0:ffff:130c:8892,1,False,,HSTS,,,,,
ahcvp124-vpnin1.ford.com,,200,315,ahcvp124-vpnin1.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-22T12:01:27Z,2023-12-24T12:01:26Z,"CN=vpnin1.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",vpnin1.ford.com,Ford Motor Company,vpnin4.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,286c3b881af1efe0509ea38b60f1ccc2,9250025e86703f1ca93934c9f48bef890ab372a761937cbee31f8ee4fa32ca0b,ctls,ahcvp124-vpnin1.ford.com,443,https://ahcvp124-vpnin1.ford.com:443,https,,text/html,GET,103.147.129.6,/,-1840324437,103.147.129.6,9,False,,HSTS,,,,,
