new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name,caa
[x],2020corsair.lincoln.com,162.159.130.11,,webfarm-09.q4web.com,"ns-431.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudflare,
[x],20fltfpgfleet.ford.com,,,,"extdns001.ford.com, dnsadmin.ford.com",NOERROR,"cluster4.us.messagelabs.com, cluster4a.us.messagelabs.com",,,,,
[x],3d.ford.com,23.52.49.207,,"redirect.ford.com.edgekey.net, e7206.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],a3d1.ford.com,19.66.14.22,,pah144.ford.com,"extdns001.ford.com, dnsadmin.ford.com",NOERROR,,,,,,
[x],access-edu.cf.app.ford.com,19.12.104.16,2620:0:403:2013:0:ffff:130c:7810,access-edu.pp.cf.app.ford.com,"extdns019.ford.com, prxlbaas.ford.com",NOERROR,,,,,,
[x],access-edu.pp.cf.app.ford.com,19.12.104.16,2620:0:403:2013:0:ffff:130c:7810,,"extdns019.ford.com, prxlbaas.ford.com",NOERROR,,,,,,
[x],accessories.lincoln.com,2.16.30.92,,"accessories.lincoln.com.edgekey.net, e90.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accessoriesazok.ford.com,2.16.30.92,,"accessoriesazok.ford.com.edgekey.net, e90.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accessoriesazok.lincoln.com,23.208.148.49,,"accessoriesazok.lincoln.com.edgekey.net, e90.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],account.ford.com,34.120.209.181,,www.account.ford.com,"extdns001.ford.com, dnsadmin.ford.com",NOERROR,,,,True,google,
[x],accountmanager-lincoln-com.cf.app.ford.com,19.12.136.145,2620:0:402:2012:0:ffff:130c:8091,accountmanager-lincoln-com.prod.cf.app.ford.com,"extdns017.ford.com, prxlbaas.ford.com",NOERROR,,,,,,
[x],accountmanager-lincoln-com.prod.cf.app.ford.com,19.12.128.145,2620:0:403:2012:0:ffff:130c:8891,,"extdns017.ford.com, prxlbaas.ford.com",NOERROR,,,,,,
[x],accountmanager.ford.com,19.12.129.207,2620:0:402:2012:0:ffff:130c:81cf,accountmanager.prod.cf.app.ford.com,"extdns017.ford.com, prxlbaas.ford.com",NOERROR,,,,,,
[x],accountmanager.lincoln.com,19.12.128.145,,accountmanager-lincoln-com.prod.cf.app.ford.com,"extdns017.ford.com, prxlbaas.ford.com",NOERROR,,,,,,
[x],achscorecard2.ford.com,209.104.140.244,,,"extdns001.ford.com, dnsadmin.ford.com",NOERROR,,,,,,
