input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_subject_org_,csp_domains_,tls_mismatched,final_url
*.adroll.com,Digital Marketing & Growth Marketing Platform | AdRoll,200,50678,adroll.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T19:50:19Z,2024-03-24T19:50:18Z,CN=*.adroll.com,*.adroll.com,adroll.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,fe595f968b2d529b9b92f87a09e7d3fa,db1979ccaf8494e96ecfcf7b70d923e6b0b20bde1ba23fd172324e8e33a179a1,True,ctls,adroll.com,443,https://adroll.com:443,https,nginx,text/html,GET,151.101.2.133,/,-1840324437,151.101.194.133,Varnish,863,False,fastly,True,,https://*.adroll.com,,
*.directly.com,Directly is now part of Movate | On Demand and Automated Customer Support,200,43504,directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,directly.com,443,https://directly.com:443,https,nginx,text/html,GET,52.200.227.66,/,1899044793,44.213.34.225,WordPress,418,False,,,,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.185.110,/,708578229,2a00:1450:4001:829::200e,HTTP/3,2179,False,,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,https://marketingplatform.google.com/about/enterprise/
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.181.228,/,302920777,2a00:1450:4001:82f::2004,HTTP/3,1831,False,,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,https://marketingplatform.google.com/about/analytics/
*.iteratehq.com,Iterate: The world’s leading Customer Insights Manager (CIM),200,13404,iteratehq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,iteratehq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cc151fe549bc592f2ac32c639fac468c,6f4d507177872b39f9b19e8c6b34247c0785145ad4e83fa2e1b669dd7e3edcd8,True,ctls,iteratehq.com,443,https://iteratehq.com:443,https,cloudflare,text/html,GET,172.67.71.156,/,1887854373,2606:4700:20::681a:7e5,Typekit,136,False,cloudflare,True,"Cloudflare, Inc.",,,
*.smooch.io,,200,155,smooch.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=media.smooch.io,media.smooch.io,smooch.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4356bb18ba380cc0dcf6544c12886f59,946a484d3d3a2183fb595ad8908545fad4afbc1de75fe23ed6b00e33d498598f,,ctls,smooch.io,443,https://smooch.io:443,https,AmazonS3,text/html,GET,18.165.61.11,/,-1507958442,18.165.61.127,Amazon Web Services,8,False,cloudfront,True,,,,
cdn.heapanalytics.com,,200,112549,cdn.heapanalytics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-27T23:59:59Z,CN=cdn.heapanalytics.com,cdn.heapanalytics.com,cdn.heapanalytics.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1bf815c1fbe0de90adc8bbd1502cc3b5,61aaeb6d6948b891986aab6a83e6ef5d4ec06bc04c992712f550229eaccf039d,,ctls,cdn.heapanalytics.com,443,https://cdn.heapanalytics.com:443,https,nginx,application/javascript,GET,13.32.27.35,/,-569758382,13.32.27.116,React,1,False,cloudfront,True,,,,
connect.facebook.net,Facebook - log in or sign up,200,59923,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,0c122a64f87702aff7e3e0999967242e,f2d13631ab4a109befa09d230a308f6a2d7e35fbf7ccf595aebdcf9fba6dbfed,True,ctls,m.facebook.com,443,https://connect.facebook.net:443,https,,text/html,GET,157.240.253.1,/,-1337433285,2a03:2880:f080:9:face:b00c:0:3,HTTP/3,21,False,,,"Meta Platforms, Inc.",fonts.googleapis.com,,https://m.facebook.com/?_rdr
core.app,Core | The Best Way to Connect to Web3,200,146133,core.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T02:43:33Z,2023-07-14T02:43:32Z,CN=core.app,core.app,core.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,07e695725240b4acc8d27f0e9a52ec7f,cab65fde7141f26457b7e692a2ce59782e54be9cb0e3f91f3254f27d5583e329,,ctls,core.app,443,https://core.app:443,https,cloudflare,text/html,GET,188.114.96.3,/,463760993,2a06:98c1:3120::3,HTTP/3,113,False,cloudflare,True,,,,
core.app.speakap.io,404 Not Found,404,564,core.app.speakap.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-01T19:04:22Z,2023-07-30T19:04:21Z,CN=*.app.speakap.io,*.app.speakap.io,*.app.speakap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e2624ec5907059206d1ad58296503dd,be2f5e0856f5dd39d9492dd2def9740fc0d8a0f6fb70e33788c78a32fc88ef03,True,ctls,core.app.speakap.io,443,https://core.app.speakap.io:443,https,nginx,text/html,GET,83.149.119.27,/,1506877856,83.149.119.27,Nginx,14,False,,,,,,
