input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn
bridge-s1-preprod.polkalokr.com,503 Service Temporarily Unavailable,503,162,bridge-s1-preprod.polkalokr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-12-01T23:59:59Z,CN=*.sandbox.api.finndon.com,*.sandbox.api.finndon.com,*.sandbox.api.finndon.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1fb347d703a689b5a199e920cfdb54d1,b436907516ca732f9c26739dd408fa267e793c5b951bb2c0dd44fbc74506630a,ctls,bridge-s1-preprod.polkalokr.com,443,https://bridge-s1-preprod.polkalokr.com:443,https,awselb/2.0,text/html,GET,18.169.214.221,/,1862162275,18.169.214.221,,7,False,True,True,,
bridge-s1.polkalokr.com,502 Bad Gateway,502,166,bridge-s1.polkalokr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T05:19:11Z,2023-07-30T05:19:10Z,CN=bridge-s1.polkalokr.com,bridge-s1.polkalokr.com,bridge-s1.polkalokr.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0658506fa1f246ccaf9151a78569041c,5b8f40e53ff57c1dbb55ffabf20c5c6ad151864a189fe1bad10d2f393fed9a1f,ctls,bridge-s1.polkalokr.com,443,https://bridge-s1.polkalokr.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,18.170.236.184,/,366277485,18.170.236.184,Ubuntu,8,False,,,,
bridgr.polkalokr.com,Polkalokr Migration,200,3342,bridgr.polkalokr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2024-07-11T23:59:59Z,CN=bridgr.polkalokr.com,bridgr.polkalokr.com,bridgr.polkalokr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,692003228032a49ff2d05eada2c7bf5d,3d846eb51ca396297afa7497832abc0b99e2b64785a6682a8d0d851a7e620686,ctls,bridgr.polkalokr.com,443,https://bridgr.polkalokr.com:443,https,AmazonS3,text/html,GET,108.138.17.81,/,-307610420,2600:9000:2491:a800:13:1a31:6f40:93a1,Amazon Web Services,1,False,,,cloudfront,True
dev.polkalokr.com,Lokr,200,119810,dev.polkalokr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T17:57:52Z,2023-09-29T17:57:51Z,CN=polkalokr.com,polkalokr.com,polkalokr.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,43adfbf9e6423dc7a2a85fe0a2b8e209,37ab465944cf3c448b426b6c1f3cc9448e8c1ede56cdd052f3b8fa26b2569a5d,ctls,dev.polkalokr.com,443,https://dev.polkalokr.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,-2070047203,2a06:98c1:3120::3,webpack,11,False,,True,cloudflare,True
