new,host,ttl,a,soa,status_code,cname,mx,ns,txt,aaaa
[x],bridge-s1-preprod.polkalokr.com,300,18.169.214.221,"{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],bridge-s1-testnet.polkalokr.com,300,18.168.129.204,"{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],bridge-s1.polkalokr.com,1800,,"{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],bridgr-testnet.polkalokr.com,300,"188.114.96.1, 188.114.97.1","{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],bridgr.polkalokr.com,300,,"{'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}",NOERROR,d2zy9ufv40rf7h.cloudfront.net,,,,
[x],dev.polkalokr.com,300,"188.114.97.12, 188.114.96.12","{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"2a06:98c1:3121::3, 2a06:98c1:3120::3"
[x],polkalokr.com,300,76.76.21.21,"{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","lars.ns.cloudflare.com, penny.ns.cloudflare.com","google-site-verification=QNW5hDk11LoaN0G_N3jv-hrZ4S46ivmiHeJ6_PmhQhY, Y56J9D7ABMWY73A9Z5VEVNTHQXSYGTU8, v=spf1 include:_spf.google.com ~all",
[x],www.polkalokr.com,300,"172.67.169.227, 104.21.87.143","{'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'polkalokr.com', 'ns': 'lars.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349420526, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"2a06:98c1:3120::c, 2a06:98c1:3121::c"
