input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_mismatched,tls_subject_org_,final_url
admin.myndr.net,Myndr – Inloggen Myndr voor school,200,10421,admin.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,admin.myndr.net,443,https://admin.myndr.net:443,https,nginx,text/html,GET,34.254.111.193,/,-2126744309,54.195.167.212,Nginx,150,False,,,,,https://admin.myndr.net/auth/login-admin
api.myndr.net,,404,143,api.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,api.myndr.net,443,https://api.myndr.net:443,https,nginx,application/json,GET,54.195.167.212,/,1121159891,52.48.50.2,Nginx,6,False,,,,,
core-api.myndr.net,Not Found,404,140,core-api.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,core-api.myndr.net,443,https://core-api.myndr.net:443,https,awselb/2.0,text/html,GET,54.194.56.231,/,407535352,54.72.123.150,,1,False,,,,,
help.myndr.nl,Help center Myndr,200,15190,help.myndr.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-03-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,myndr.nl,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",852f1c2a12c0e9f7b18e5e900ce1a91d,ae4a154b2b2d8e079700f4115a3b4961f26ee61f1765da03c50f513eb37e578e,True,ctls,help.myndr.nl,443,https://help.myndr.nl:443,https,cloudflare,text/html,GET,188.114.97.3,/,741037190,2a06:98c1:3120::3,HTTP/3,110,False,cloudflare,True,,"Cloudflare, Inc.",https://help.myndr.nl/en-us/
links.support.myndr.nl,Crisp - Email Domain,200,2710,go.crisp.chat,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,2024-05-06T23:59:59Z,"CN=crisp.chat, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",crisp.chat,*.mail.support.crisp.chat,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",665fcae2d46e17f6be20ec8e31fa753e,a3a0b00de6c0a406f5edba9b741c8984c154d80ed221bc72cba9dc3e76b457dd,True,ctls,go.crisp.chat,443,https://links.support.myndr.nl:443,https,cloudflare,text/html,GET,172.65.225.161,/,1494302000,2606:4700:90:0:c84b:ae46:715d:e545,HTTP/3,1,False,cloudflare,True,,"Cloudflare, Inc.",https://go.crisp.chat/notice/domain-email/
meta.myndr.net,Myndr status,200,689,meta.myndr.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-16T03:11:47Z,2023-09-14T03:11:46Z,CN=meta.myndr.net,meta.myndr.net,meta.myndr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dc7460766139984ccf9d246a4c0aff3b,f1206220e84df51bbb7417f59355b248244582f706d6f8583d68871c6357e8a2,,ctls,meta.myndr.net,443,https://meta.myndr.net:443,https,nginx,text/html,GET,37.46.140.20,/,428256592,37.46.140.20,Plesk,21,False,,,,,
mqtt-us.myndr.net,404 Not Found,404,162,mqtt-us.myndr.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-22T04:30:18Z,2023-09-20T04:30:17Z,CN=preparsed.myndr.net,preparsed.myndr.net,preparsed.myndr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,64d76df4047c7ddf9885bf143ad8e6d2,2f84db3dd45e4b9c25862a370c426aded375a3c258126e7d282076173cb4e739,,ctls,mqtt-us.myndr.net,443,https://mqtt-us.myndr.net:443,https,nginx,text/html,GET,52.203.25.139,/,190856733,52.203.25.139,Nginx,8,False,,,True,,
myndr.nl,"Blokkeer Youtube, socials & gamesites. In een handomdraai.",200,65751,www.myndr.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-03-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,myndr.nl,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",852f1c2a12c0e9f7b18e5e900ce1a91d,ae4a154b2b2d8e079700f4115a3b4961f26ee61f1765da03c50f513eb37e578e,True,ctls,www.myndr.nl,443,https://myndr.nl:443,https,cloudflare,text/html,GET,188.114.96.3,/,-1840324437,2a06:98c1:3121::3,WordPress,986,False,cloudflare,True,,"Cloudflare, Inc.",https://www.myndr.nl/nl/
permalink.myndr.net,,403,243,permalink.myndr.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=permalink.myndr.net,permalink.myndr.net,permalink.myndr.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef42e703ed4510f28ec7851d821e5480,65a681e0f9b643732476a488e8b2b7edb2ce7f5dd7c5cc00eca49c0b210e1926,,ctls,permalink.myndr.net,443,https://permalink.myndr.net:443,https,AmazonS3,application/xml,GET,13.32.99.119,/,-996170655,2600:9000:2251:e00:13:bf9c:31c0:93a1,Amazon Web Services,2,False,cloudfront,True,,,
preparsed.myndr.net,403 Forbidden,403,162,preparsed.myndr.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-21T21:49:40Z,2023-09-19T21:49:39Z,CN=preparsed.myndr.net,preparsed.myndr.net,preparsed.myndr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e6da127a601cd64bc44977cff8ab1f16,16225c4fbe513272e290616ddda5d496575f4b4e82f4c605bbdab537a07bae49,,ctls,preparsed.myndr.net,443,https://preparsed.myndr.net:443,https,nginx,text/html,GET,34.241.190.105,/,190856733,34.241.190.105,Nginx,8,False,,,,,
public.myndr.net,,200,640,public.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-17T23:54:44Z,2023-09-15T23:54:43Z,CN=public.myndr.net,public.myndr.net,public.myndr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ff81a761f3494fe873b6d7e7319d4d4c,c49ff8f3db8a3fb74cd4552159a40ba299391e6590d6acbd964d6f14960b08e8,,ctls,public.myndr.net,443,https://public.myndr.net:443,https,Apache,text/html,GET,174.138.5.226,/,-488507843,174.138.5.226,Apache,21,False,,,,,
public2.myndr.net,Not Found,404,140,public2.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,public2.myndr.net,443,https://public2.myndr.net:443,https,awselb/2.0,text/html,GET,52.209.114.23,/,407535352,54.72.123.150,,1,False,,,,,
