new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,has_internal_ips,internal_ips
,api.devcloud.intel.com,12.229.61.118,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,api.intelondemand-prx.intel.com,"54.198.33.98, 52.20.185.193, 3.215.165.46",api.intelondemand-prx.skunp.adsdcsp.com,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.intelondemand-test.intel.com,,api.intelondemand-test.skuprd.adsdcsp.com,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.intelondemand.intel.com,"54.144.165.81, 52.200.85.225, 35.174.75.17",api.intelondemand.skuprd.adsdcsp.com,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.iot.devcloud.intel.com,12.229.61.118,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,api.pioneer.one-edge.intel.com,"43.205.184.145, 13.127.238.159, 65.1.49.103",,"ns-1780.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.portal.bridge.trustedservices.intel.com,20.241.133.54,"liv21-bridge.az.sgxprod.adsdcsp.com, liv21-blue-bridge.az.sgxprod.adsdcsp.com","ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
,api.portal.trustedservices.intel.com,,"sgxintel.portal.azure-api.net, apimgmthsvmzinmu3tvpglxj0erhgyee9rmyuhzecwzzlnyae0.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,api.sdsi-prx.intel.com,"18.233.219.110, 34.230.151.79, 3.224.70.31",api.sdsi-prx.skunp.adsdcsp.com,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.sdsi-test.intel.com,"34.233.239.48, 18.211.79.119, 54.197.176.143",api.sdsi-test.skuprd.adsdcsp.com,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
