input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_wildcard_certificate,final_url,csp_domains_
access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,-138391155,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com/web,
access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://access.use1.upgrade.com:443,https,,text/html,GET,50.19.155.36,/,-138391155,100.25.83.128,1,False,,HSTS,,True,https://access.use1.upgrade.com/web,
asset.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://asset.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-1132305660,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/asset.access.upgrade.com?path=%2F,https://asset.access.upgrade.com:*
bluesky2.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://bluesky2.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-1617914006,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/bluesky2.access.upgrade.com?path=%2F,https://bluesky2.access.upgrade.com:*
cargofy-langings-prod.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://cargofy-langings-prod.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1024038161,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/cargofy-langings-prod.access.upgrade.com?path=%2F,https://cargofy-langings-prod.access.upgrade.com:*
ci.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://ci.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1524389010,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/ci.access.upgrade.com?path=%2F,https://ci.access.upgrade.com:*
ci.access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://ci.access.use1.upgrade.com:443,https,,text/html,GET,50.19.155.36,/,-1435697730,100.25.83.128,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/ci.access.use1.upgrade.com?path=%2F,https://ci.access.use1.upgrade.com:*
corp.access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://corp.access.use1.upgrade.com:443,https,,text/html,GET,50.19.155.36,/,-1205002852,100.25.83.128,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/corp.access.use1.upgrade.com?path=%2F,https://corp.access.use1.upgrade.com:*
credapi.upgrade.com,,404,,credapi.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=www.upgrade.com, O=Upgrade\, Inc., L=San Francisco, ST=California, C=US, serialNumber=6049832, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.upgrade.com,"Upgrade, Inc.",static.upgrade.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7f647d540b9adc6340f7cedfe161e098,97a0889a8101386f84e64abed01ca0877f3224992c7a69b16252796f67243fb3,ctls,credapi.upgrade.com,443,https://credapi.upgrade.com:443,https,istio-envoy,,GET,2.17.100.130,/,-1840324437,2.17.100.144,1,False,,HSTS,,,,
docs.upgrade.com,Sign In - Onehub,200,33423,docs.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-22T13:39:21Z,2023-09-20T13:39:20Z,CN=docs.upgrade.com,docs.upgrade.com,,docs.upgrade.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f2015d9e3f7edc17d89a11c39c43d115,b2e8a8d8b95ab66e5f941e10485f81e25744c8897f1187b5f54b535b53e5058b,ctls,docs.upgrade.com,443,https://docs.upgrade.com:443,https,nginx,text/html,GET,34.229.9.238,/,-1104214726,34.229.9.238,179,False,,Ruby on Rails,,,,
