input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,favicon_path,final_url,a_,lines,failed,knowledgebase_PageType,knowledgebase_pHash,csp_domains_,cdn_name,tech_,cdn,tls_wildcard_certificate,tls_mismatched
*.adroll.com,Digital Advertising Platform for Brands and Agencies | AdRoll,200,51666,www.adroll.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-09-27T20:00:20Z,2025-10-29T20:00:19Z,CN=*.adroll.com,*.adroll.com,,adroll.com,"CN=GlobalSign Atlas R3 DV TLS CA 2024 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2024 Q3,GlobalSign nv-sa,36453726d5b65b8227c0e863769ae9e4,dd131052aee9559264b78fb82604cf92e158992f10e0898747469c432afea2cd,ctls,www.adroll.com,443,https://adroll.com,https,nginx,text/html,GET,151.101.66.133,/,-2022592763,/favicon.png,https://www.adroll.com/,151.101.2.133,1027,False,other,0,https://app.mutinyhq.com,fastly,Varnish,True,True,
*.bing.com,Suche – Microsoft Bing,200,109602,www.bing.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-06-24T16:16:15Z,2025-06-19T16:16:15Z,"CN=r.bing.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",r.bing.com,Microsoft Corporation,thaka.msftstatic.com,"CN=Microsoft Azure ECC TLS Issuing CA 04, O=Microsoft Corporation, C=US",Microsoft Azure ECC TLS Issuing CA 04,Microsoft Corporation,add974c50a78c02134e3548ec01c4938,5ab436cec11e63b0fab6a2f6fa28a5a0db7a0e9ab565bcc5a39468d6a78c57b1,ctls,www.bing.com,443,https://bing.com,https,,text/html,GET,204.79.197.200,/,-583637433,/sa/simg/favicon-trans-bg-blue-mg-png.png,https://www.bing.com:443/?toWww=1&redig=E1CB13E5601D40D59BED76E9B7596775,2620:1ec:c11::200,17,False,nonerror,0,https:,,HTTP/3,,True,
*.cookieyes.com,CookieYes Cookie Consent Solution,200,111534,www.cookieyes.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2025-01-31T15:18:40Z,2025-05-01T15:18:39Z,CN=cookieyes.com,cookieyes.com,,www.cookieyes.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,e5f7f6d5554f0f482c8b4d19388429bc,f30e047a13a3305bea74952ce88a483bc4d2b7c088972e85edae58fc8873f3ca,ctls,www.cookieyes.com,443,https://cookieyes.com,https,nginx,text/html,GET,167.71.46.236,/,821964975,/wp-content/uploads/2024/03/cropped-cy-favicon-32x32.png,https://www.cookieyes.com/,167.71.46.236,1508,False,other,0,https://api-iam.intercom.io,,Yoast SEO:24.4,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,125554,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:36Z,2025-04-21T08:35:35Z,CN=*.google.com,*.google.com,,*.developers.google.cn,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,2d4be8c378e3011e2e4d07392b9dc2d9,e5f128dd590140b99c51dd70fc6eab89dce8b60d54f1a0c273694c890035982b,ctls,marketingplatform.google.com,443,https://doubleclick.net,https,sffe,text/html,GET,172.217.18.14,/,873962860,/images/branding/product/ico/googleg_standard_32dp.ico,https://marketingplatform.google.com/about/enterprise/,2a00:1450:4001:80b::200e,2108,False,other,0,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,google,HTTP/3,True,True,
*.facebook.com,Facebook – Anmelden oder Registrieren,200,270688,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-11-23T00:00:00Z,2025-02-21T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,702d2b0932fd5ebea31c76206978f179,f2c8f008ba1906ce652abb157d56d10ba23475770baf3d844bcdc48f37b15766,ctls,m.facebook.com,443,https://facebook.com,https,,text/html,GET,157.240.0.35,/,-560962771,/favicon.ico,https://m.facebook.com/?wtsid=rdr_0Sri7WhVYwZ1Agilj,2a03:2880:f177:185:face:b00c:0:25de,30,False,nonerror,0,wss://edge-chat.facebook.com,,HTTP/3,,True,
*.google.com,Google,200,260812,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:37:23Z,2025-04-21T08:37:22Z,CN=www.google.com,www.google.com,,www.google.com,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,63f15ff9f2f55a05b138cb99273c3b11,5991b59e9a9d39dbaa87cdd0426f5057bf81f7c19f09d75eabb9729cb4098082,ctls,www.google.com,443,https://google.com,https,gws,text/html,GET,172.217.23.110,/,,/images/branding/product_ios/3x/gsa_ios_60dp.png,https://www.google.com/,2a00:1450:4001:828::200e,145,False,other,0,https://csp.withgoogle.com/csp/gws/other-hp,google,HTTP/3,True,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:36:37Z,2025-04-21T08:36:36Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,e7757995d20fcf44a07227e036565729,1d2e177034df0e1b874458708a26a949299cea48477f4b0ec942e790459a1b1e,ctls,www.gstatic.com,443,https://gstatic.com,https,sffe,text/html,GET,172.217.23.99,/,,/favicon.ico,https://www.gstatic.com/,2a00:1450:4001:830::2003,12,False,error,0,,google,HTTP/3,True,True,
*.hackerone.com,HackerOne | #1 Trusted Security Platform and Hacker Program,200,133989,www.hackerone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-02-23T00:00:00Z,2025-03-11T23:59:59Z,"CN=hackerone.com, O=HackerOne Inc, L=San Francisco, ST=California, C=US, serialNumber=5308693, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",hackerone.com,HackerOne Inc,docs.hackerone.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,99b59f077fc9504489052789e1c02b13,cb73b7238012ce6851e2b45d452e922c16df07e584024e1d0e5ba5c797a2b15f,ctls,www.hackerone.com,443,https://hackerone.com,https,cloudflare,text/html,GET,172.64.151.42,/,,/sites/default/files/favicon_0.ico,https://www.hackerone.com/,2606:4700:4400::ac40:972a,7,False,other,0,https:,cloudflare,YouTube,True,,
*.helpscout.net,"Help Scout: Shared Inbox, Help Center, & Live Chat Software",200,828956,www.helpscout.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T20:15:16Z,2025-03-18T20:15:15Z,CN=www.helpscout.com,www.helpscout.com,,www.helpscout.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,92c2faa69738cee11e92bbe88e772a8f,4772351e31364effd82f3f4073210e69502c4f5d6873fece55b9f4726cfdc6f4,ctls,www.helpscout.com,443,https://helpscout.net,https,Vercel,text/html,GET,65.9.66.46,/,,/static/images/favicon/android-chrome-192x192.png,https://www.helpscout.com/,65.9.66.94,712,False,other,0,,cloudfront,Webpack,True,,
*.hotjar.com,Hotjar: Website Heatmaps & Behavior Analytics Tools,200,316312,www.hotjar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-24T00:00:00Z,2025-09-21T23:59:59Z,CN=*.hotjar.com,*.hotjar.com,,hotjar.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,8f0136b31c27ac67c6dfb6dd57a892ed,418f3f14767d2306391137b13cf129c3036a6aefb7dd191dabcefc55c1b02fab,ctls,www.hotjar.com,443,https://hotjar.com,https,,text/html,GET,3.167.227.101,/,139473036,/images/touch-icon-192x192.png,https://www.hotjar.com/,3.167.227.24,701,False,other,0,,,Webpack,,True,
*.theukdomain.uk,The UK Domain - Support for buying and managing your .UK domain name,200,43887,theukdomain.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-17T22:04:31Z,2025-04-17T23:02:49Z,CN=theukdomain.uk,theukdomain.uk,,*.theukdomain.uk,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,cca1aae30c0d6ec5187f6915fb522483,8d624b14963411d8589a6c16a24349c75e290cb66a5ff16fd85e5c39833f1da4,ctls,theukdomain.uk,443,https://theukdomain.uk,https,cloudflare,text/html,GET,162.159.134.42,/,-1551525117,/wp-content/uploads/2020/12/cropped-UKD_RGB_Roundal_Purple-32x32.png,,2606:4700:7::a29f:872a,464,False,other,0,connect.facebook.net,cloudflare,Yoast SEO:23.9,True,True,
ajax.googleapis.com,Hosted Libraries  |  Google for Developers,200,66529,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:36Z,2025-04-21T08:35:35Z,CN=*.google.com,*.google.com,,*.developers.google.cn,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,2d4be8c378e3011e2e4d07392b9dc2d9,e5f128dd590140b99c51dd70fc6eab89dce8b60d54f1a0c273694c890035982b,ctls,developers.google.com,443,https://ajax.googleapis.com,https,Google Frontend,text/html,GET,172.217.18.10,/,-1447683254,/devrel-devsite/prod/v3c0f23dc71a21e4d2a8c7b2751c39b46b4623bf451753f74e45c24d20984aff9/developers/images/favicon-new.png,https://developers.google.com/speed/libraries,2a00:1450:4001:82b::200a,2009,False,other,0,https://csp.withgoogle.com/csp/devsite/v2,google,HTTP/3,True,True,
