input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,tls_subject_org_
admin.hotbit.io,,403,16,admin.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,admin.hotbit.io,cloudflare,443,https://admin.hotbit.io:443,https,cloudflare,text/plain,GET,104.18.43.175,/,1268003052,2606:4700:4400::ac40:9051,HSTS,1,False,True,,,
api.hotbit.io,,200,70,api.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,api.hotbit.io,cloudflare,443,https://api.hotbit.io:443,https,cloudflare,text/plain,GET,104.18.43.175,/,898550753,2606:4700:4400::ac40:9051,HSTS,1,False,True,,,
appapi.hotbit.io,DNS resolution error,530,839,appapi.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,appapi.hotbit.io,cloudflare,443,https://appapi.hotbit.io:443,https,cloudflare,text/html,GET,172.64.144.81,/,-1652029196,2606:4700:4400::ac40:9051,Cloudflare,24,False,True,,,
appversion.hotbit.io,DNS resolution error,530,852,appversion.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,appversion.hotbit.io,cloudflare,443,https://appversion.hotbit.io:443,https,cloudflare,text/html,GET,104.18.43.175,/,391663589,2606:4700:4400::ac40:9051,Cloudflare,24,False,True,,,
claim.hotbit.io,Hotbit,200,2372,claim.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,claim.hotbit.io,cloudflare,443,https://claim.hotbit.io:443,https,cloudflare,text/html,GET,104.18.43.175,/,476532490,2606:4700:4400::ac40:9051,HSTS,1,False,True,,,
contract.hotbit.io,DNS resolution error,530,846,contract.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,contract.hotbit.io,cloudflare,443,https://contract.hotbit.io:443,https,cloudflare,text/html,GET,172.64.144.81,/,357650443,2606:4700:4400::ac40:9051,Cloudflare,24,False,True,,,
dist.hotbit.io,,403,16,dist.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,dist.hotbit.io,cloudflare,443,https://dist.hotbit.io:443,https,cloudflare,text/plain,GET,172.64.144.81,/,1268003052,2606:4700:4400::6812:2baf,HSTS,1,False,True,,,
down.hotbit.io,,403,260,down.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,down.hotbit.io,cloudflare,443,https://down.hotbit.io:443,https,cloudflare,application/xml,GET,104.18.43.175,/,-35880334,2606:4700:4400::6812:2baf,HSTS,9,False,True,,,
ethmainnode.hotbit.io,Use Ethereum gateway · Cloudflare Web3 docs,200,90944,developers.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T17:01:35Z,2023-09-02T17:01:34Z,CN=developers.cloudflare.com,developers.cloudflare.com,developers.cloudflare.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,1fd8e84c964152a5e90b2727e43a9bd6,fbe5b0cb139cd6aa635c75e060271d957918e9e1bbdc30bda4a8f847313ad342,,ctls,developers.cloudflare.com,cloudflare,443,https://ethmainnode.hotbit.io:443,https,cloudflare,text/html,GET,104.18.43.175,/,1475484955,2606:4700:4400::ac40:9051,HTTP/3,133,False,True,https://developers.cloudflare.com/web3/how-to/use-ethereum-gateway/,,
grafana.hotbit.io,,403,16,grafana.hotbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T10:19:51Z,2024-01-07T10:19:51Z,CN=*.hotbit.io,*.hotbit.io,hotbit.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3c22786d56d3310d69ab9f23170feff9,1ac61f983fbaa32c5970567bfba4cb77a91657c0ee9965fd411685e004efe620,True,ctls,grafana.hotbit.io,cloudflare,443,https://grafana.hotbit.io:443,https,cloudflare,text/plain,GET,104.18.43.175,/,1268003052,2606:4700:4400::ac40:9051,HSTS,1,False,True,,,
