input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched
amp.secnews.gr,Homepage | SecNews.gr,200,68955,amp.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,amp.secnews.gr,cloudflare,443,https://amp.secnews.gr:443,https,cloudflare,text/html,GET,104.19.139.56,/,-1253911925,2606:4700:1::6813:8c38,WordPress,13,False,True,,,
calendar.secnews.gr,Sign in - Google Accounts,200,1406,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,,80,http://calendar.secnews.gr:80,http,GSE,text/html,GET,142.250.186.115,/,193895861,2a00:1450:4001:829::2013,OpenGSE,32,False,,https://www.google.com/a/secnews.gr/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,url=https://www.google.com/accounts/AccountChooser?hd=secnews.gr&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,
docs.secnews.gr,Sign in - Google Accounts,200,1459,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,,80,http://docs.secnews.gr:80,http,GSE,text/html,GET,142.250.186.115,/,312543921,2a00:1450:4001:829::2013,OpenGSE,32,False,,https://www.google.com/a/secnews.gr/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/secnews.gr/&followup=https://drive.google.com/a/secnews.gr/&faa=1,url=https://www.google.com/accounts/AccountChooser?hd=secnews.gr&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Fsecnews.gr%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Fsecnews.gr%2F&osid=1&service=wise&faa=1,
en.secnews.gr,,403,35,en.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,en.secnews.gr,cloudflare,443,https://en.secnews.gr:443,https,cloudflare,text/html,GET,104.19.139.56,/,-588557165,2606:4700:1::6813:8f38,HTTP/3,2,False,True,,,
feeds.secnews.gr,Error 404 (Not Found)!!1,404,1638,,,,,,,,,,,,,,,,,,,,,80,http://feeds.secnews.gr:80,http,ESF,text/html,GET,142.250.186.115,/,1776703604,2a00:1450:4001:802::2013,,1,False,,,,
fr.secnews.gr,,403,35,fr.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,fr.secnews.gr,cloudflare,443,https://fr.secnews.gr:443,https,cloudflare,text/html,GET,104.19.139.56,/,-588557165,2606:4700:1::6813:8f38,HTTP/3,2,False,True,,,
hack.secnews.gr,Facebook Hack: Δείτε εάν έχει παραβιαστεί ο λογαριασμός σας,200,11537,hack.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,hack.secnews.gr,cloudflare,443,https://hack.secnews.gr:443,https,cloudflare,text/html,GET,104.19.140.56,/,1494302000,2606:4700:1::6813:8e38,Yoast SEO:16.3,176,False,True,https://hack.secnews.gr/facebook-hack/,,
img.secnews.gr,,200,289532,img.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:20:45Z,2023-10-02T08:20:44Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5cfd1da9e9d828394dec3d23655d7285,39260a1dac593d1a23aa50269ce175afd73a3a69e9d225e71417311bda0f2b32,True,ctls,img.secnews.gr,,443,https://img.secnews.gr:443,https,UploadServer,application/xml,GET,142.250.185.176,/,2028370544,2a00:1450:4001:811::2010,HTTP/3,1,False,,,,True
imgcdn.secnews.gr,,200,289532,imgcdn.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T06:29:16Z,2023-09-25T07:22:09Z,CN=imgcdn.secnews.gr,imgcdn.secnews.gr,,imgcdn.secnews.gr,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e55e6a6e434812cd95aa63289f3a7dca,05386698e8a3cb17bba5729b5dec343a537f33baeb7f92268c46199234bb81ea,,ctls,imgcdn.secnews.gr,google,443,https://imgcdn.secnews.gr:443,https,UploadServer,application/xml,GET,34.96.67.103,/,2028370544,34.96.67.103,HTTP/3,1,False,True,,,
mail.secnews.gr,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,,80,http://mail.secnews.gr:80,http,ghs,text/html,GET,142.250.186.115,/,302920777,2a00:1450:4001:829::2013,,12,False,,,,
report.secnews.gr,GlobaLeaks,200,6171,report.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,report.secnews.gr,cloudflare,443,https://report.secnews.gr:443,https,cloudflare,text/html,GET,104.19.142.56,/,-380922778,2606:4700:1::6813:8d38,HTTP/3,129,False,True,,,
ru.secnews.gr,,403,35,ru.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,ru.secnews.gr,cloudflare,443,https://ru.secnews.gr:443,https,cloudflare,text/html,GET,104.19.143.56,/,-588557165,2606:4700:1::6813:8f38,HTTP/3,2,False,True,,,
secnews.gr,"SecNews.gr | No1 Portal για Τεχνολογικές ειδήσεις, Security, Hacking",200,770875,www.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,www.secnews.gr,cloudflare,443,https://secnews.gr:443,https,cloudflare,text/html,GET,104.19.139.56,/,-1253911925,2606:4700:1::6813:8f38,WordPress,12347,False,True,https://www.secnews.gr/,,
webmail.secnews.gr,Sign in - Google Accounts,200,1335,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,,80,http://webmail.secnews.gr:80,http,GSE,text/html,GET,142.250.186.147,/,-1358472625,2a00:1450:4001:813::2013,OpenGSE,32,False,,https://www.google.com/a/secnews.gr/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1,url=https://www.google.com/accounts/AccountChooser?hd=secnews.gr&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm,
www.secnews.gr,"SecNews.gr | No1 Portal για Τεχνολογικές ειδήσεις, Security, Hacking",200,770873,www.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,www.secnews.gr,cloudflare,443,https://www.secnews.gr:443,https,cloudflare,text/html,GET,104.19.142.56,/,-1253911925,2606:4700:1::6813:8c38,WordPress,12344,False,True,,,
zh-cn.secnews.gr,,403,35,zh-cn.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,zh-cn.secnews.gr,cloudflare,443,https://zh-cn.secnews.gr:443,https,cloudflare,text/html,GET,104.19.139.56,/,-588557165,2606:4700:1::6813:8f38,HTTP/3,2,False,True,,,
zh-tw.secnews.gr,,403,35,zh-tw.secnews.gr,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-19T23:59:59Z,"CN=secnews.gr, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",secnews.gr,"Cloudflare, Inc.",*.secnews.gr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e87a6e71587dbe08789da71380a003a5,152400f870aeab53bfb312c802cf4543fd1fdbb5095e8e526d5a1f7e42ed77ee,True,ctls,zh-tw.secnews.gr,cloudflare,443,https://zh-tw.secnews.gr:443,https,cloudflare,text/html,GET,104.19.139.56,/,-588557165,2606:4700:1::6813:8f38,HTTP/3,2,False,True,,,
