new,host,ttl,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt
[x],0d198ng5wk.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],0f9p4s2zcw.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],af.secnews.gr,1564,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],am.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],amp.secnews.gr,300,"104.19.140.56, 104.19.141.56, 104.19.142.56, 104.19.139.56, 104.19.143.56","2606:4700:1::6813:8b38, 2606:4700:1::6813:8c38, 2606:4700:1::6813:8d38, 2606:4700:1::6813:8e38, 2606:4700:1::6813:8f38",,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],ar.secnews.gr,300,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],attack.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],az.secnews.gr,1466,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],b32f745a77e94b456a7fa5f503c527c5.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],be.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
[x],bg.secnews.gr,1800,,,,"{'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'secnews.gr', 'ns': 'ns1.secnews.gr', 'mailbox': 'dns.cloudflare.com', 'serial': 2357270475, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
