new,host,a,soa,status_code,mx,txt,aaaa,ns,caa
,connectis.com,"62.84.245.90, 37.48.84.96, 5.61.250.177, 95.211.223.25, 185.21.189.50","ns1.mijndnsserver.nl, hostmaster.connectis.com",NOERROR,,"google-site-verification=CQpS7P0lfnI3C-dLFVXxYHWFeex_Xyet7lL2s22Ds0A, v=spf1 include:_spf.google.com include:amazonses.com -all","2001:1af8:4700:a104:11::, 2a01:7860::db:8425:1:1, 2001:1af8:4500:a049:2::1, 2a02:348:a1:bd32::1","ns4.mijndnsserver.net, ns2.mijndnsserver.nl, ns1.mijndnsserver.nl, ns3.mijndnsserver.eu","letsencrypt.org, sectigo.com"
,ma.connectis.com,52.30.53.134,"ns1.mijndnsserver.nl, hostmaster.connectis.com",NOERROR,,,,,
,mail.connectis.com,,"ns1.mijndnsserver.nl, hostmaster.connectis.com",NOERROR,feedback-smtp.eu-west-1.amazonses.com,v=spf1 include:amazonses.com -all,,,
,www.connectis.com,,,NOERROR,,,,,
