input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
api.dex-trade.com,,200,,api.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,api.dex-trade.com,cloudflare,443,https://api.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,-1298108480,2606:4700:3034::6815:3dd5,PHP,1,False,True,
api1.dex-trade.com,,200,,api1.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,api1.dex-trade.com,cloudflare,443,https://api1.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,-1298108480,2606:4700:3034::6815:3dd5,PHP,1,False,True,
api2.dex-trade.com,,200,,api2.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,api2.dex-trade.com,cloudflare,443,https://api2.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,-1298108480,2606:4700:3036::ac43:d766,PHP,1,False,True,
asia.dex-trade.com,,521,,asia.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,asia.dex-trade.com,cloudflare,443,https://asia.dex-trade.com:443,https,cloudflare,,GET,104.21.61.213,/,-1840324437,2606:4700:3036::ac43:d766,HTTP/3,1,False,True,
beta.dex-trade.com,404 Not Found,404,146,beta.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,beta.dex-trade.com,cloudflare,443,https://beta.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,1494302000,2606:4700:3036::ac43:d766,HTTP/3,8,False,True,
dex-trade.com,"Crypto Exchange | Bitcoin trading | Buy, Sell Bitcoin | Dex-Trade",200,2085927,dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,dex-trade.com,cloudflare,443,https://dex-trade.com:443,https,cloudflare,text/html,GET,172.67.215.102,/,-1971781253,2606:4700:3034::6815:3dd5,Vue.js,294,False,True,
docs.dex-trade.com,Dex-Trade API,200,30091,docs.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,docs.dex-trade.com,cloudflare,443,https://docs.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,-47665443,2606:4700:3036::ac43:d766,Handlebars,708,False,True,
mail.dex-trade.com,404 Not Found,404,162,mail.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,mail.dex-trade.com,cloudflare,443,https://mail.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,190856733,2606:4700:3036::ac43:d766,HTTP/3,8,False,True,
pay.dex-trade.com,Okipays Widget,404,8031,pay.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,pay.dex-trade.com,cloudflare,443,https://pay.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,102855332,2606:4700:3034::6815:3dd5,Vue.js,10,False,True,
s3.dex-trade.com,"Crypto Exchange | Bitcoin trading | Buy, Sell Bitcoin | Dex-Trade",200,2086125,s3.dex-trade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T03:17:13Z,2023-08-31T03:17:12Z,CN=dex-trade.com,dex-trade.com,dex-trade.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e052f5e8344a26bd9422a3f6c0500a8f,ae3af514582f615b968be46d60f63f79d51616a21057a52784ee2466fd718135,True,ctls,s3.dex-trade.com,cloudflare,443,https://s3.dex-trade.com:443,https,cloudflare,text/html,GET,104.21.61.213,/,-1971781253,2606:4700:3036::ac43:d766,Vue.js,294,False,True,
