new,host,ttl,a,cname,soa,status_code,aaaa,ns,txt
[x],api.localizestaging.com,300,"172.66.40.216, 172.66.43.40",,"{'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,
[x],app.localizestaging.com,300,,,"{'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3108::ac42:2b28, 2606:4700:3108::ac42:28d8",,
[x],cdn.localizestaging.com,300,"172.66.43.40, 172.66.40.216",,"{'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3108::ac42:2b28, 2606:4700:3108::ac42:28d8",,
[x],de.localizestaging.com,300,"51.20.161.157, 13.50.141.112, 16.171.217.48","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","{'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,
[x],fr.localizestaging.com,300,"34.234.52.18, 3.233.126.24, 52.206.163.162","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","{'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,
[x],ja.localizestaging.com,300,"16.171.217.48, 51.20.161.157, 13.50.141.112","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","{'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,
[x],localize.live,300,"188.114.96.0, 188.114.97.0",,"{'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2a06:98c1:3120::3, 2a06:98c1:3121::3","todd.ns.cloudflare.com, ruth.ns.cloudflare.com",google-site-verification=zMadKNNadAKGBcwnAN0hLJaEy_NjKjrF8TydcRlpzik
[x],localizestaging.com,3600,"75.2.70.75, 99.83.190.102",,"{'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localizestaging.com', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352261275, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"ruth.ns.cloudflare.com, todd.ns.cloudflare.com",
[x],pt-br.localizestaging.com,300,"16.171.217.48, 51.20.161.157, 13.50.141.112","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","{'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webflow.com', 'ns': 'ns-1078.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,
[x],www.localize.live,1800,,,"{'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'localize.live', 'ns': 'ruth.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351052038, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
