input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_
api.localizestaging.com,,404,80,api.localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,api.localizestaging.com,cloudfront,443,https://api.localizestaging.com:443,https,nginx,application/json,GET,13.32.99.19,/,-1759861177,13.32.99.67,Nginx,1,False,True,,
app.localizestaging.com,Login - Localize,200,31165,app.localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,app.localizestaging.com,cloudfront,443,https://app.localizestaging.com:443,https,nginx,text/html,GET,18.66.97.85,/,-1590918837,18.66.97.73,Typekit,119,False,True,https://app.localizestaging.com/api/csp/violation-report,
cdn.localizestaging.com,,403,255,cdn.localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,cdn.localizestaging.com,cloudfront,443,https://cdn.localizestaging.com:443,https,AmazonS3,application/xml,GET,13.32.99.84,/,-130721175,2600:9000:2251:aa00:e:eaea:ddc0:93a1,Amazon Web Services,2,False,True,,
https://app.localizestaging.com,Login - Localize,200,31165,app.localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,app.localizestaging.com,cloudfront,443,https://app.localizestaging.com:443,https,nginx,text/html,GET,18.66.97.85,/,-1590918837,18.66.97.73,Typekit,119,False,True,https://app.localizestaging.com/api/csp/violation-report,
https://app.localizestaging.com/api/csp/violation-report,,403,29,app.localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,app.localizestaging.com,cloudfront,443,https://app.localizestaging.com:443/api/csp/violation-report,https,nginx,application/json,GET,18.66.97.85,/api/csp/violation-report,-1590918837,18.66.97.73,Nginx,1,False,True,https:,
https://editor.localizejs.com,Context Editor | Localize,200,7206,editor.localizejs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-04T00:00:00Z,2024-03-04T23:59:59Z,CN=editor.localizejs.com,editor.localizejs.com,www.localize.live,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,80a75cd96eed8884aa5d877fef79c3e3,0a34db55db267326a29351b4fdcb091648150b219db6e8059f72b6f5b808fbaf,,ctls,editor.localizejs.com,cloudfront,443,https://editor.localizejs.com:443,https,nginx,text/html,GET,18.66.122.32,/,1593207841,2600:9000:2250:3e00:1c:6da0:6e80:93a1,Nginx,245,False,True,https://app.localizejs.com/api/csp/violation-report,
https://localizejs.com/,Translate Web Apps and Websites - Localize,200,85440,localizejs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-07T00:00:00Z,2023-11-07T23:59:59Z,"CN=localizejs.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",localizejs.com,localizejs.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f43a935bfd8318d62fe258ccd87bee42,a6887f93bc67e9a43054c3b01f741606ea1d0587d20ea59310abadde4d8c1f16,True,ctls,localizejs.com,cloudflare,443,https://localizejs.com:443,https,cloudflare,text/html,GET,172.66.40.57,/,598161451,2606:4700:3108::ac42:2bc7,Webflow,245,False,True,,"Cloudflare, Inc."
localize.live,Context Editor | Localize,200,7206,localize.live,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T01:51:27Z,2023-07-31T01:51:26Z,CN=localize.live,localize.live,*.localize.live,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,9e023b3af6156a3a9f8e17648bfcff36,67b625028f7c7161a3d26116d552827d8a4aac2637b28f33939662e8e59a31d4,True,ctls,localize.live,cloudflare,443,https://localize.live:443,https,cloudflare,text/html,GET,188.114.96.3,/,1593207841,2a06:98c1:3120::3,HTTP/3,245,False,True,https://app.localizejs.com/api/csp/violation-report,
localizestaging.com,Localize: Website and App Translation Platform,200,31689,localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,localizestaging.com,cloudfront,443,https://localizestaging.com:443,https,nginx,text/html,GET,18.66.97.19,/,-1590918837,2600:9000:223c:fc00:19:cc98:5c00:93a1,Typekit,129,False,True,https://app.localizestaging.com/api/csp/violation-report,
www.localizestaging.com,Localize: Website and App Translation Platform,200,31689,www.localizestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=localizestaging.com,localizestaging.com,*.localizestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,296b05afd778a92865c5e053d9a675b1,a423a0d567d46e8013a2b1caeab40dd88024d7a21947961d58274b0fdd2b440a,True,ctls,www.localizestaging.com,cloudfront,443,https://www.localizestaging.com:443,https,nginx,text/html,GET,18.66.97.116,/,-1590918837,2600:9000:223c:3e00:19:cc98:5c00:93a1,Typekit,129,False,True,https:,
