new,host,ttl,a,soa,status_code,cname,ns,has_internal_ips,internal_ips,mx,aaaa,cdn,cdn-name,caa,txt
[x],054-8-9-4.vercel.zapier.com,1800.0,"76.76.21.61, 76.76.21.241",,NOERROR,,,,,,,,,,
[x],09-19.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],090-1.vercel.zapier.com,1021.0,"76.76.21.98, 76.76.21.241",,NOERROR,,,,,,,,,,
[x],0rtwork-api-v9-certeengineering.vercel.zapier.com,1800.0,"76.76.21.164, 76.76.21.123",,NOERROR,,,,,,,,,,
[x],1-08-7.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],15-2-60.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],152-17.vercel.zapier.com,1800.0,"76.76.21.98, 76.76.21.61",,NOERROR,,,,,,,,,,
[x],155-9-171-95.vercel.zapier.com,1800.0,"76.76.21.241, 76.76.21.22",,NOERROR,,,,,,,,,,
[x],15endcoronaviru.vercel.zapier.com,1800.0,"76.76.21.22, 76.76.21.98",,NOERROR,,,,,,,,,,
[x],17-121-119-79.vercel.zapier.com,1800.0,"76.76.21.164, 76.76.21.93",,NOERROR,,,,,,,,,,
[x],17-121-120-36.vercel.zapier.com,1800.0,"76.76.21.241, 76.76.21.93",,NOERROR,,,,,,,,,,
[x],17-121-120-46.vercel.zapier.com,1800.0,"76.76.21.98, 76.76.21.93",,NOERROR,,,,,,,,,,
[x],17-121-124-32.vercel.zapier.com,1800.0,"76.76.21.241, 76.76.21.93",,NOERROR,,,,,,,,,,
[x],17-58-98-62.vercel.zapier.com,1800.0,"76.76.21.61, 76.76.21.22",,NOERROR,,,,,,,,,,
[x],178-130-1.vercel.zapier.com,1800.0,"76.76.21.123, 76.76.21.22",,NOERROR,,,,,,,,,,
[x],18-courier2.vercel.zapier.com,1100.0,"76.76.21.61, 76.76.21.164",,NOERROR,,,,,,,,,,
[x],205-185-203-76.vercel.zapier.com,1238.0,"76.76.21.93, 76.76.21.164",,NOERROR,,,,,,,,,,
[x],215-72.vercel.zapier.com,1800.0,"76.76.21.93, 76.76.21.142",,NOERROR,,,,,,,,,,
[x],33-14.vercel.zapier.com,1800.0,"76.76.21.61, 76.76.21.164",,NOERROR,,,,,,,,,,
[x],33-45.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],357-1.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],3aapi.vercel.zapier.com,1800.0,"76.76.21.241, 76.76.21.61",,NOERROR,,,,,,,,,,
[x],42-40-7.vercel.zapier.com,1800.0,"76.76.21.61, 76.76.21.98",,NOERROR,,,,,,,,,,
[x],458-8-33.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],4b69.vercel.zapier.com,1021.0,"76.76.21.241, 76.76.21.142",,NOERROR,,,,,,,,,,
[x],4ed8.vercel.zapier.com,1023.0,"76.76.21.164, 76.76.21.22",,NOERROR,,,,,,,,,,
[x],4uygjp42kq.vercel.zapier.com,1800.0,"76.76.21.123, 76.76.21.142",,NOERROR,,,,,,,,,,
[x],5-98-26.vercel.zapier.com,1800.0,"76.76.21.61, 76.76.21.22",,NOERROR,,,,,,,,,,
[x],50zy-edc20.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],55-46-9.vercel.zapier.com,1800.0,"76.76.21.98, 76.76.21.93",,NOERROR,,,,,,,,,,
[x],557-49.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],64-3.vercel.zapier.com,1800.0,"76.76.21.164, 76.76.21.98",,NOERROR,,,,,,,,,,
[x],65-3-64.vercel.zapier.com,1800.0,"76.76.21.93, 76.76.21.61",,NOERROR,,,,,,,,,,
[x],65-73-1.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],66-0-78.vercel.zapier.com,,,,NOERROR,,,,,,,,,,
[x],7-3-6.vercel.zapier.com,1800.0,"76.76.21.241, 76.76.21.98",,NOERROR,,,,,,,,,,
[x],7-69.vercel.zapier.com,1800.0,"76.76.21.93, 76.76.21.123",,NOERROR,,,,,,,,,,
[x],7-support53.vercel.zapier.com,1800.0,"76.76.21.93, 76.76.21.241",,NOERROR,,,,,,,,,,
[x],739-8.vercel.zapier.com,1800.0,"76.76.21.98, 76.76.21.61",,NOERROR,,,,,,,,,,
[x],75-3-7-9.vercel.zapier.com,1800.0,"76.76.21.98, 76.76.21.61",,NOERROR,,,,,,,,,,
[x],757-4-6-8.vercel.zapier.com,1800.0,"76.76.21.241, 76.76.21.123",,NOERROR,,,,,,,,,,
[x],8-20.vercel.zapier.com,1800.0,"76.76.21.61, 76.76.21.98",,NOERROR,,,,,,,,,,
[x],8k-staging.vercel.zapier.com,1800.0,"76.76.21.123, 76.76.21.93",,NOERROR,,,,,,,,,,
